Time,NORD,CNOR,CSUD,SUD,SICI,SARD
01/01/2019 00:00:00,-13056853.61,-2177221.883,-5237792.244,-2467227.626,-1985031.567,-964207.024
01/01/2019 01:00:00,-12678142.41,-2094039.645,-5034357.843,-2357454.652,-1886192.293,-937197.66
01/01/2019 02:00:00,-11940027.5,-2002585.59,-4749939.905,-2151816.767,-1891533.704,-901400.6691
01/01/2019 03:00:00,-11352774.63,-1932990.862,-4518382.288,-1963118.117,-1797107.681,-880735.632
01/01/2019 04:00:00,-10964275.28,-1833573.88,-4415630.026,-1805059.544,-1734052.241,-865126.7398
01/01/2019 05:00:00,-11010181.57,-1837198.612,-4423271.207,-1794223.026,-1713367.17,-869975.3641
01/01/2019 06:00:00,-11587474.06,-1897928.267,-4533334.231,-1834817.508,-1749650.967,-893634.4976
01/01/2019 07:00:00,-11956497.28,-1943050.225,-4528013.453,-1818437.142,-1726293.545,-917461.0829
01/01/2019 08:00:00,-12041256.85,-2041454.124,-4730105.249,-2012625.218,-1888412.225,-973686.8843
01/01/2019 09:00:00,-12574512.83,-2275761.837,-5246117.883,-2483947.68,-2262363.307,-1116798.299
01/01/2019 10:00:00,-13349147.16,-2425863.762,-5610008.108,-2704684.926,-2315228.712,-1122933.311
01/01/2019 11:00:00,-14403823.86,-2611311.157,-5786248.947,-3036548.514,-2325137.667,-1235172.908
01/01/2019 12:00:00,-14627966.66,-2619867.342,-5644867.967,-3256375.242,-2315699.37,-1200192.244
01/01/2019 13:00:00,-13989941.83,-2602676.031,-5596581.769,-3112975.272,-2204431.292,-1163220.699
01/01/2019 14:00:00,-13434232.37,-2612412.75,-5286246.192,-2784908.353,-2090685.826,-1114850.775
01/01/2019 15:00:00,-13497328.18,-2578890.411,-5217755.749,-2642058.283,-2145077.433,-1103780.124
01/01/2019 16:00:00,-14405151.82,-2530881.406,-5342578.744,-2612140.641,-2103117.92,-1053992.243
01/01/2019 17:00:00,-16053970.24,-2790097.562,-5823959.373,-3138932.98,-2304834.445,-1106289.208
01/01/2019 18:00:00,-16706277.5,-2873681.984,-5978201.841,-3321886.839,-2431210.256,-1168991.803
01/01/2019 19:00:00,-17074557.95,-2979934.285,-6133160.764,-3362232.237,-2476302.014,-1206997.661
01/01/2019 20:00:00,-16523915.41,-2911493.18,-6086632.809,-3403083.579,-2504398.319,-1207713.517
01/01/2019 21:00:00,-15595258.38,-2752028.61,-5875750.993,-3303475.523,-2455483.878,-1159537.359
01/01/2019 22:00:00,-14390444.17,-2545308.568,-5505654.291,-3094801.379,-2333612.817,-1084075.243
01/01/2019 23:00:00,-13072361.73,-2303045.403,-5007460.313,-2766549.963,-2162186.214,-984595.4667
02/01/2019 00:00:00,-11825774.3,-2092715.281,-4609902.127,-2363092.692,-1917538.358,-911708.8174
02/01/2019 01:00:00,-11105746.86,-1938481.185,-4439033.497,-2095254.268,-1790998.085,-872260.781
02/01/2019 02:00:00,-10751909.13,-1901278.198,-4234624.587,-1965300.97,-1685101.918,-851350.2478
02/01/2019 03:00:00,-10645547.38,-1902122.633,-4170813.821,-1907721.501,-1634654.098,-846728.2813
02/01/2019 04:00:00,-10995270.29,-1922964.093,-4256828.087,-1888859.859,-1645542.945,-860409.3857
02/01/2019 05:00:00,-12101871.68,-2081418.57,-4601209.887,-2010816.739,-1734263.948,-899007.9036
02/01/2019 06:00:00,-14892113.37,-2452545.698,-5330346.097,-2374698.89,-1928272.013,-990049.3093
02/01/2019 07:00:00,-17744423.13,-2928880.05,-6071091.196,-2707605.463,-2123626.569,-1100184.696
