Time,NORD,CNOR,CSUD,SUD,SICI,SARD
01/01/2019 00:00:00,0.105,0.027,0.161,0.55,0.433,0.166
01/01/2019 01:00:00,0.117,0.343,0.727,0.768,0.712,0.272
01/01/2019 02:00:00,0.119,0.331,0.717,0.765,0.671,0.265
01/01/2019 03:00:00,0.12,0.311,0.697,0.773,0.649,0.262
01/01/2019 04:00:00,0.112,0.304,0.687,0.758,0.598,0.251
01/01/2019 05:00:00,0.09,0.296,0.686,0.761,0.626,0.245
01/01/2019 06:00:00,0.062,0.294,0.694,0.77,0.657,0.263
01/01/2019 07:00:00,0.036,0.279,0.678,0.737,0.669,0.283
01/01/2019 08:00:00,0.017,0.249,0.647,0.674,0.676,0.3
01/01/2019 09:00:00,0.006,0.257,0.638,0.665,0.693,0.279
01/01/2019 10:00:00,0.003,0.285,0.595,0.687,0.788,0.288
01/01/2019 11:00:00,0.005,0.241,0.508,0.647,0.793,0.212
01/01/2019 12:00:00,0.016,0.181,0.441,0.607,0.769,0.133
01/01/2019 13:00:00,0.034,0.133,0.388,0.586,0.736,0.079
01/01/2019 14:00:00,0.049,0.09,0.325,0.586,0.69,0.048
01/01/2019 15:00:00,0.066,0.056,0.243,0.558,0.615,0.034
01/01/2019 16:00:00,0.091,0.047,0.2,0.514,0.484,0.032
01/01/2019 17:00:00,0.109,0.045,0.165,0.494,0.376,0.048
01/01/2019 18:00:00,0.118,0.042,0.145,0.487,0.295,0.092
01/01/2019 19:00:00,0.127,0.041,0.131,0.494,0.241,0.153
01/01/2019 20:00:00,0.147,0.044,0.115,0.51,0.223,0.227
01/01/2019 21:00:00,0.178,0.045,0.098,0.523,0.218,0.305
01/01/2019 22:00:00,0.217,0.043,0.085,0.533,0.248,0.341
01/01/2019 23:00:00,0.272,0.038,0.079,0.528,0.291,0.325
02/01/2019 00:00:00,0.318,0.034,0.074,0.524,0.308,0.321
02/01/2019 01:00:00,0.32,0.034,0.07,0.525,0.295,0.329
02/01/2019 02:00:00,0.313,0.041,0.069,0.531,0.298,0.335
02/01/2019 03:00:00,0.337,0.061,0.072,0.535,0.314,0.378
02/01/2019 04:00:00,0.368,0.067,0.064,0.495,0.327,0.438
02/01/2019 05:00:00,0.376,0.074,0.055,0.432,0.308,0.456
02/01/2019 06:00:00,0.407,0.093,0.058,0.368,0.277,0.479
02/01/2019 07:00:00,0.459,0.104,0.068,0.332,0.252,0.467
02/01/2019 08:00:00,0.545,0.122,0.1,0.278,0.209,0.368
02/01/2019 09:00:00,0.5,0.126,0.169,0.179,0.218,0.285
02/01/2019 10:00:00,0.367,0.136,0.332,0.186,0.264,0.173
02/01/2019 11:00:00,0.472,0.18,0.493,0.212,0.305,0.121
02/01/2019 12:00:00,0.683,0.234,0.584,0.266,0.322,0.135
02/01/2019 13:00:00,0.755,0.297,0.578,0.374,0.3,0.212
