Time,NORD,CNOR,CSUD,SUD,SICI,SARD
01/01/2019 00:00:00,-19977699.51,-3331268.456,-8014108.351,-3774993.089,-3037206.769,-1475289.436
01/01/2019 01:00:00,-19398250.69,-3203995.085,-7702842.602,-3607034.441,-2885977.28,-1433963.633
01/01/2019 02:00:00,-18268894.54,-3064065.384,-7267667.614,-3292397.239,-2894149.93,-1379192.281
01/01/2019 03:00:00,-17370365.55,-2957581.647,-6913371.806,-3003677.994,-2749672.954,-1347573.645
01/01/2019 04:00:00,-16775940.32,-2805468.232,-6756155.232,-2761839.74,-2653194.686,-1323691.187
01/01/2019 05:00:00,-16846179.45,-2811014.27,-6767846.656,-2745259.275,-2621545.397,-1331109.847
01/01/2019 06:00:00,-17729468.5,-2903933.96,-6936249.096,-2807371.051,-2677061.589,-1367309.614
01/01/2019 07:00:00,-18294094.19,-2972973.022,-6928108.015,-2782308.196,-2641323.458,-1403765.591
01/01/2019 08:00:00,-18423780.97,-3123536.365,-7237319.507,-3079426.563,-2889373.896,-1489794.14
01/01/2019 09:00:00,-19239691.75,-3482039.969,-8026847.035,-3800575.685,-3461539.487,-1708762.424
01/01/2019 10:00:00,-20424924.62,-3711704.117,-8583618.963,-4138315.734,-3542426.444,-1718149.328
01/01/2019 11:00:00,-22038637.61,-3995448.765,-8853277.078,-4646085.159,-3557587.687,-1889882.045
01/01/2019 12:00:00,-22381588.33,-4008540.195,-8636956.452,-4982432.064,-3543146.578,-1836359.718
01/01/2019 13:00:00,-21405375.47,-3982236.55,-8563075.931,-4763022.275,-3372900.338,-1779791.234
01/01/2019 14:00:00,-20555109.64,-3997134.263,-8088245.54,-4261061.96,-3198863.559,-1705782.607
01/01/2019 15:00:00,-20651649.67,-3945843.252,-7983451.419,-4042493.547,-3282085.69,-1688843.905
01/01/2019 16:00:00,-22040669.44,-3872386.851,-8174437.423,-3996717.921,-3217885.342,-1612665.727
01/01/2019 17:00:00,-24563451.73,-4269001.734,-8910976.09,-4802738.985,-3526522.648,-1692682.942
01/01/2019 18:00:00,-25561517.49,-4396890.467,-9146975.495,-5082668.388,-3719884.545,-1788621.338
01/01/2019 19:00:00,-26125006.71,-4559462.294,-9384071.114,-5144399.052,-3788877.398,-1846772.378
01/01/2019 20:00:00,-25282493.52,-4454743.663,-9312880.8,-5206903.837,-3831866.28,-1847867.677
01/01/2019 21:00:00,-23861597.53,-4210754.157,-8990220.099,-5054498.068,-3757024.513,-1774155.522
01/01/2019 22:00:00,-22018165.95,-3894461.196,-8423951.92,-4735215.224,-3570555.13,-1658694.361
01/01/2019 23:00:00,-20001427.79,-3523785.316,-7661687.911,-4232972.621,-3308263.06,-1506484.867
02/01/2019 00:00:00,-18094080.89,-3201968.736,-7053402.161,-3615660.949,-2933938.471,-1394964.311
02/01/2019 01:00:00,-16992399.57,-2965982.142,-6791963.821,-3205853.524,-2740324.939,-1334606.659
02/01/2019 02:00:00,-16451008.5,-2909059.538,-6479207.019,-3007017.878,-2578298.017,-1302612.401
02/01/2019 03:00:00,-16288269.22,-2910351.57,-6381573.06,-2918918.144,-2501110.095,-1295540.54
02/01/2019 04:00:00,-16823364.39,-2942240.142,-6513179.587,-2890058.801,-2517770.626,-1316473.377
02/01/2019 05:00:00,-18516524.98,-3184684.15,-7040102.56,-3076659.492,-2653518.609,-1375531.219
02/01/2019 06:00:00,-22785747.23,-3752528.937,-8155720.805,-3633419.067,-2950361.55,-1514829.544
02/01/2019 07:00:00,-27149937.03,-4481346.525,-9289101.284,-4142784.316,-3249264.696,-1683342.704
02/01/2019 08:00:00,-30411803.62,-5219633.827,-10365570.6,-4852695.872,-3736890.96,-1829992.892
02/01/2019 09:00:00,-32329037.48,-5731280.72,-11344081.11,-5442054.545,-4342015.715,-1907160.226
02/01/2019 10:00:00,-32697229.04,-5767509.768,-11736559.12,-5409991.659,-4231129.28,-1890532.636
02/01/2019 11:00:00,-32826513.66,-5790028.364,-11968897,-5476962.28,-4005459.724,-1937314.345
02/01/2019 12:00:00,-32324231.71,-5471917.225,-11798065.14,-5457167.749,-3948640.977,-1915343.856
02/01/2019 13:00:00,-31659671.66,-5239836.008,-11634925.53,-5579232.273,-4063286.841,-1903899.035
02/01/2019 14:00:00,-31903050.38,-5480353.864,-11775249.16,-5576922.263,-4021133.388,-1902446.414
02/01/2019 15:00:00,-31722498.99,-5548059.717,-11765964.28,-5404475.817,-3948233.786,-1845802.897
02/01/2019 16:00:00,-32726107.59,-5560131.339,-11901895.73,-5415410.048,-4053668.891,-1804887.488
02/01/2019 17:00:00,-33973075.7,-5836051.051,-12374019.9,-6185848.996,-4361891.685,-1885345.751
02/01/2019 18:00:00,-33365474.4,-5805702.028,-12393984.63,-6264255.288,-4615724.241,-2008672.568
02/01/2019 19:00:00,-33159418.65,-5784961.806,-12468586.65,-6302506.11,-4744508.337,-2042786.051
02/01/2019 20:00:00,-30937341.68,-5459500.177,-12000937.01,-6182321.072,-4717199.066,-2011533.43
02/01/2019 21:00:00,-28351000.03,-4970523.776,-10948311.27,-5709097.943,-4430378.065,-1889695.378
02/01/2019 22:00:00,-25657288.44,-4499959.744,-9961594.702,-5112468.388,-4045445.456,-1726930.936
02/01/2019 23:00:00,-23110829.58,-3926088.525,-8847889.342,-4552452.655,-3540829.705,-1571064.498
03/01/2019 00:00:00,-20913432.52,-3444228.365,-7858826.622,-4025944.193,-3146668.035,-1453564.634
03/01/2019 01:00:00,-19353889.71,-3249604.632,-7254640.237,-3578324.249,-2947946.311,-1389682.719
03/01/2019 02:00:00,-18750252.34,-3180342.758,-7012271.261,-3280573.134,-2817094.689,-1342696.499
03/01/2019 03:00:00,-18588182.87,-3146420.06,-6881405.456,-3189809.271,-2765803.221,-1334876.595
03/01/2019 04:00:00,-19037864.85,-3143625.538,-6909990.745,-3290972.984,-2762928.176,-1340333.874
03/01/2019 05:00:00,-20598323.62,-3322350.508,-7249250.213,-3629056.172,-2891235.996,-1396491.507
03/01/2019 06:00:00,-25048723.6,-3902117.766,-8423048.779,-4274371.169,-3284217.726,-1547268.968
03/01/2019 07:00:00,-29487197,-4613623.774,-9617654.822,-4868377.314,-3630573.303,-1720784.176
03/01/2019 08:00:00,-33187873.09,-5256858.893,-10705754.25,-5630587.336,-4061637.488,-1872260.268
03/01/2019 09:00:00,-35057853.54,-5561488.796,-11373510.07,-6330271.984,-4553025.01,-2021456.546
03/01/2019 10:00:00,-35152724.09,-5774049.993,-11556996.43,-6404862.117,-4303657.834,-2112965.249
03/01/2019 11:00:00,-34873689.6,-5729823.067,-11585394.6,-6199832.129,-3896535.127,-2000628.48
03/01/2019 12:00:00,-33825392.43,-5705370.998,-11735746.11,-5668597.045,-3881108.523,-1958964.114
03/01/2019 13:00:00,-33318872.49,-5482302.892,-11513916.96,-5870961.989,-3933233.589,-1941247.173
03/01/2019 14:00:00,-33956824.19,-5527090.736,-11390252.95,-6072223.397,-4024935.365,-1906793.753
03/01/2019 15:00:00,-33926733.21,-5528439.958,-11645097.08,-6031636.487,-4197460.961,-1772020.742
03/01/2019 16:00:00,-34720724.28,-5597776.407,-11669952.68,-6283209.816,-4227083.445,-1805000.952
03/01/2019 17:00:00,-36214430.2,-5876888.224,-12350006.59,-6844531.765,-4568787.89,-1932190.14
03/01/2019 18:00:00,-35740145.18,-5816759.789,-12373924.28,-6908007.403,-4728605.456,-2030894.692
03/01/2019 19:00:00,-35192865.38,-5799615.204,-12448644.34,-6919691.507,-4820418.41,-2069387.541
03/01/2019 20:00:00,-32702377.49,-5404978.63,-11927608.26,-6653202.164,-4760279.452,-2032682.674
03/01/2019 21:00:00,-29997771.92,-4935128.326,-10865114.3,-6025891.429,-4455057.063,-1896326.191
03/01/2019 22:00:00,-26991694.25,-4445791.401,-9753038.163,-5473595.86,-4011881.452,-1766583.136
03/01/2019 23:00:00,-24033453.31,-3905321.767,-8691720.942,-4674887.769,-3538318.387,-1578397.144
04/01/2019 00:00:00,-21594416.11,-3434096.621,-8069238.855,-3894780.544,-2965166.386,-1436274.558
04/01/2019 01:00:00,-19980640.9,-3209526.482,-7640899.192,-3445037.257,-2657142.612,-1356464.599
04/01/2019 02:00:00,-19286695.82,-3136497.402,-7369286.558,-3270242.37,-2523453.462,-1319541.953
04/01/2019 03:00:00,-19133982.6,-3119873.015,-7192554.538,-3226897.996,-2460906.585,-1297513.816
04/01/2019 04:00:00,-19473188.53,-3142428.212,-7159728.512,-3358443.673,-2472095.654,-1313558.528
04/01/2019 05:00:00,-21101219.56,-3324311.431,-7492796.84,-3699751.45,-2607060.823,-1376733.119
04/01/2019 06:00:00,-24963233.55,-3879445.901,-8523763.209,-4310091.457,-2916709.702,-1537874.744
04/01/2019 07:00:00,-29400798.77,-4602946.21,-9734948.802,-4715914.812,-3229459.641,-1737606.211
04/01/2019 08:00:00,-33595468.41,-5461786.396,-10825747.59,-5483615.97,-3667456.602,-1917892.234
04/01/2019 09:00:00,-34877548.31,-5945935.521,-11495355.9,-6318695.855,-4124966.721,-2016606.394
04/01/2019 10:00:00,-34745840.21,-5976982.259,-11543729.31,-6163616.349,-3800117.251,-2069802.51
04/01/2019 11:00:00,-33704366.02,-6053316.909,-11813019.13,-6174055.545,-3462395.503,-2079074.577
04/01/2019 12:00:00,-32181214.21,-5717804.517,-11568851.65,-6302590.294,-3620553.193,-2057818.732
04/01/2019 13:00:00,-31152601.78,-5432180.384,-11542894.34,-5616622.045,-3592706.796,-1972929.404
04/01/2019 14:00:00,-32079461.22,-5621528.472,-11571789.83,-5473926.646,-3913093.631,-2016283.843
04/01/2019 15:00:00,-32753169.35,-5429545.078,-11342842.15,-5706205.969,-3993643.855,-1909567.687
04/01/2019 16:00:00,-34297875.3,-5594329.464,-11557217.87,-5966713.26,-4005300.05,-1863875.787
04/01/2019 17:00:00,-36592038.86,-5939704.121,-12236084.06,-6632816.976,-4417063.366,-1954029.321
04/01/2019 18:00:00,-36458293.44,-5911200.728,-12370095.3,-6626348.124,-4615441.037,-2064867.717
04/01/2019 19:00:00,-35863563.95,-5872781.539,-12377756.45,-6690931.415,-4708188.7,-2099297.803
04/01/2019 20:00:00,-33426750.74,-5467781.259,-11849573.93,-6500950.121,-4667800.352,-2055529.768
04/01/2019 21:00:00,-30321244.26,-5000919.466,-10943598.37,-5953985.099,-4339616.947,-1913311.56
04/01/2019 22:00:00,-26989651.88,-4500081.444,-9897349.06,-5470560.683,-3890401.636,-1739376.35
04/01/2019 23:00:00,-24424079.28,-4033065.009,-8969144.059,-4847545.13,-3364323.242,-1585057.697
05/01/2019 00:00:00,-22458035.53,-3597609.105,-7812690.928,-4231939.087,-3086606.856,-1447422.45
05/01/2019 01:00:00,-21000776.89,-3389436.882,-7267436.567,-3783715.676,-2866225.297,-1358334.476
05/01/2019 02:00:00,-20360341.33,-3286577.605,-7001617.489,-3529012.921,-2736340.869,-1312225.777
05/01/2019 03:00:00,-19915537.87,-3284584.198,-6830666.213,-3463793.222,-2664491.272,-1291549.15
05/01/2019 04:00:00,-20248427.76,-3345624.466,-6922238.969,-3496386.372,-2702419.543,-1309253.737
05/01/2019 05:00:00,-22174969.84,-3545888.485,-7366002.034,-3705736.705,-2901408.001,-1385653.812
05/01/2019 06:00:00,-26017261.13,-4052285.813,-8588128.264,-4255930.435,-3227203.618,-1544956.67
05/01/2019 07:00:00,-30918846.04,-4822795.675,-9942784.75,-4699925.918,-3584956.435,-1737210.458
05/01/2019 08:00:00,-34371592.94,-5629287.983,-11174679.45,-5482292.369,-4065020.836,-1910016.513
05/01/2019 09:00:00,-35572111.04,-6157782.075,-12073785.37,-6110967.882,-4486894.85,-2052999.234
05/01/2019 10:00:00,-35000180.61,-6086359.799,-11848930.2,-6143281.488,-4178898.984,-2064074.38
05/01/2019 11:00:00,-34760728.77,-5757166.651,-11496100.74,-6087381.895,-3969187.669,-1946317.849
05/01/2019 12:00:00,-33553434.37,-5396757.94,-11452753.62,-5956122.625,-3950100.003,-1899601.565
05/01/2019 13:00:00,-32872753.21,-5226588.564,-11528537.42,-5648165.191,-3699874.523,-1954088.341
05/01/2019 14:00:00,-33187688.25,-5444724.622,-11531351.61,-5633418.002,-3936401.446,-1989303.071
05/01/2019 15:00:00,-33096181.38,-5480341.053,-11711214.89,-5602331.46,-4227145.21,-1985411.42
05/01/2019 16:00:00,-33476063.9,-5679614.087,-12046341.13,-5577093.375,-4164865.066,-1885186.992
05/01/2019 17:00:00,-35559839.48,-6010882.539,-12666188.83,-6228562.909,-4502966.555,-1974271.763
05/01/2019 18:00:00,-35563856.95,-6032529.563,-12665233.99,-6407858.404,-4615338.553,-2067831.521
05/01/2019 19:00:00,-34967274.06,-5989197.999,-12707478.49,-6375009.502,-4722877.784,-2088913.967
05/01/2019 20:00:00,-32611778.79,-5622165.795,-12191593.6,-6137609.633,-4614929.989,-2045926
05/01/2019 21:00:00,-29784482.36,-5153217.26,-11205175.34,-5547073.765,-4262494.908,-1893432.387
05/01/2019 22:00:00,-26876039.55,-4650933.938,-10147586.89,-5221123.964,-3878835.114,-1788392.121
05/01/2019 23:00:00,-25115336.44,-4207745.059,-9190275.489,-4779943.133,-3490971.185,-1628948.805
06/01/2019 00:00:00,-23078305.97,-3752680.834,-8424911.336,-3831610.985,-3100242.733,-1472310.534
06/01/2019 01:00:00,-21576749.95,-3452854.416,-7865401.618,-3423624.483,-2849034.503,-1368003.669
06/01/2019 02:00:00,-20401466.28,-3300308.646,-7411926.354,-3199127.09,-2684563.517,-1314739.382
06/01/2019 03:00:00,-19799165.33,-3210689.951,-7144074.979,-3157267.82,-2561358.4,-1294404.979
06/01/2019 04:00:00,-19664779.83,-3177447.125,-7068430.266,-3137980.219,-2545835.717,-1296146.294
06/01/2019 05:00:00,-21037117.12,-3285847.863,-7151092.853,-3367028.548,-2662161.131,-1329995.332
06/01/2019 06:00:00,-22326772.6,-3491414.52,-7564503.692,-3622206.207,-2799491.213,-1408865.091
06/01/2019 07:00:00,-24392656.01,-3824982.917,-8087310.373,-3893252.433,-2952356.33,-1515128.761
06/01/2019 08:00:00,-25552489.74,-4009062.681,-8628078.766,-4448268.863,-3330380.87,-1623692.834
06/01/2019 09:00:00,-26574778.82,-4086791.847,-9100008.491,-5175044.546,-3927377.812,-1770012.694
06/01/2019 10:00:00,-27273011.76,-4027410.082,-9391217.093,-5443297.622,-3927736.964,-1877556.043
06/01/2019 11:00:00,-28016376.6,-4072631.196,-9641132.834,-5810689.436,-3872596.852,-1989945.427
06/01/2019 12:00:00,-28154973.55,-4089728.657,-9856249.271,-5773516.527,-3771579.087,-2062489.994
06/01/2019 13:00:00,-26586930.5,-3748113.885,-9530817.381,-5405647.064,-3768421.295,-1888267.463
06/01/2019 14:00:00,-26291761.62,-3788151.774,-9244945.73,-4967515.136,-3852326.043,-1759572.582
06/01/2019 15:00:00,-26776158.72,-4058875.449,-9474560.009,-4860852.052,-3914960.764,-1773705.324
06/01/2019 16:00:00,-27813582.05,-4330484.88,-9988917.698,-4749427.574,-3630260.817,-1752851.638
06/01/2019 17:00:00,-30027258.98,-4773417.092,-10685364.03,-5507415.617,-3884291.021,-1831653.227
06/01/2019 18:00:00,-30684142.33,-4960386.085,-10633668.12,-6019077.15,-4075034.083,-1927426.001
06/01/2019 19:00:00,-31144913.64,-5093495.102,-10920829.97,-6007007.816,-4170440.842,-1965469.11
06/01/2019 20:00:00,-29652028.96,-4947143.216,-10860511.67,-5792363.538,-4175884.853,-1945327.322
06/01/2019 21:00:00,-27924064.95,-4637261.002,-10084993.81,-5565496.199,-3969281.46,-1852733.842
06/01/2019 22:00:00,-25634991.28,-4263131.316,-9195267.472,-5269775.551,-3651508.427,-1725805.898
06/01/2019 23:00:00,-23471860.97,-3862945.959,-8828205.53,-4352856.613,-3395313.247,-1579410.548
07/01/2019 00:00:00,-21565881.14,-3447407.202,-7904887.74,-3696304.964,-3003828.06,-1464093.961
07/01/2019 01:00:00,-20549198.5,-3215792.196,-7230981.047,-3287424.929,-2751338.778,-1374846.771
07/01/2019 02:00:00,-19492904.83,-3028437.057,-6667343.599,-3285492.829,-2603134.858,-1321016.992
07/01/2019 03:00:00,-19006797.98,-2990841.401,-6510509.052,-3150670.406,-2553727.451,-1303231.423
07/01/2019 04:00:00,-19314388.49,-2991965.981,-6488104.836,-3189241.033,-2567427.381,-1313736.045
07/01/2019 05:00:00,-20508247.86,-3115594.303,-6792020.095,-3369525.683,-2647105.117,-1354404.851
07/01/2019 06:00:00,-22876405.87,-3449632.571,-7640110.43,-3718691.795,-2866669.548,-1464230.302
07/01/2019 07:00:00,-25266392.53,-3798868.684,-8281079.003,-4050964.042,-3040455.607,-1603226.208
07/01/2019 08:00:00,-26880816.96,-4135383.041,-8935024.627,-4520150.944,-3504514.643,-1752236.276
07/01/2019 09:00:00,-28246438.79,-4515679.617,-9630166.119,-5015650.184,-4039881.575,-1964248.451
07/01/2019 10:00:00,-28636238.48,-4687777.891,-9849694.863,-4997518.274,-3795725.075,-2021128.048
07/01/2019 11:00:00,-28843645.27,-4701460.893,-9793264.549,-5235343.635,-3531716.854,-1808989.597
07/01/2019 12:00:00,-28897811.33,-4702043.771,-9860100.66,-5182574.841,-3454348.213,-1747084.161
07/01/2019 13:00:00,-27645144.83,-4568759.982,-9895545.065,-5110551.386,-3594128.763,-1782180.394
07/01/2019 14:00:00,-27594266.05,-4518244.008,-9932201.435,-4916901.253,-3827494.692,-1879948.406
07/01/2019 15:00:00,-28198041.12,-4537713.701,-10058230.81,-4838090.056,-3893629.885,-1852043.905
07/01/2019 16:00:00,-29233914.38,-4694421.973,-10424282.1,-4897591.691,-3856078.609,-1805980.042
07/01/2019 17:00:00,-31736410.3,-5123338.109,-11375429.36,-5648723.363,-4160936.814,-1859871.129
