Time,NORD,CNOR,CSUD,SUD,SICI,SARD
01/01/2019 00:00:00,0,0,0,0,0,0
01/01/2019 01:00:00,0,0,0,0,0,0
01/01/2019 02:00:00,0,0,0,0,0,0
01/01/2019 03:00:00,0,0,0,0,0,0
01/01/2019 04:00:00,0,0,0,0,0,0
01/01/2019 05:00:00,0,0,0,0,0,0
01/01/2019 06:00:00,0,0,0,0,0,0
01/01/2019 07:00:00,0,0,0.009,0.015,0.01,0
01/01/2019 08:00:00,0.1,0.201,0.294,0.167,0.095,0.201
01/01/2019 09:00:00,0.306,0.441,0.527,0.401,0.264,0.444
01/01/2019 10:00:00,0.449,0.583,0.665,0.551,0.482,0.6
01/01/2019 11:00:00,0.491,0.647,0.725,0.604,0.578,0.683
01/01/2019 12:00:00,0.363,0.661,0.713,0.62,0.604,0.704
01/01/2019 13:00:00,0.236,0.615,0.648,0.576,0.559,0.665
01/01/2019 14:00:00,0.214,0.498,0.508,0.454,0.453,0.562
01/01/2019 15:00:00,0.16,0.246,0.291,0.23,0.267,0.383
01/01/2019 16:00:00,0.022,0.022,0.035,0.009,0.036,0.12
01/01/2019 17:00:00,0,0,0,0,0,0
01/01/2019 18:00:00,0,0,0,0,0,0
01/01/2019 19:00:00,0,0,0,0,0,0
01/01/2019 20:00:00,0,0,0,0,0,0
01/01/2019 21:00:00,0,0,0,0,0,0
01/01/2019 22:00:00,0,0,0,0,0,0
01/01/2019 23:00:00,0,0,0,0,0,0
02/01/2019 00:00:00,0,0,0,0,0,0
02/01/2019 01:00:00,0,0,0,0,0,0
02/01/2019 02:00:00,0,0,0,0,0,0
02/01/2019 03:00:00,0,0,0,0,0,0
02/01/2019 04:00:00,0,0,0,0,0,0
02/01/2019 05:00:00,0,0,0,0,0,0
02/01/2019 06:00:00,0,0,0,0,0,0
02/01/2019 07:00:00,0,0,0,0.044,0.052,0
02/01/2019 08:00:00,0.183,0.138,0.043,0.277,0.251,0.045
02/01/2019 09:00:00,0.427,0.424,0.111,0.429,0.514,0.14
02/01/2019 10:00:00,0.59,0.63,0.351,0.536,0.687,0.302
02/01/2019 11:00:00,0.673,0.709,0.644,0.586,0.739,0.543
02/01/2019 12:00:00,0.685,0.719,0.665,0.569,0.729,0.678
02/01/2019 13:00:00,0.636,0.661,0.601,0.444,0.655,0.662
02/01/2019 14:00:00,0.523,0.534,0.455,0.202,0.49,0.563
02/01/2019 15:00:00,0.32,0.32,0.247,0.046,0.192,0.377
02/01/2019 16:00:00,0.051,0.041,0.026,0,0.016,0.117
02/01/2019 17:00:00,0,0,0,0,0,0
02/01/2019 18:00:00,0,0,0,0,0,0
02/01/2019 19:00:00,0,0,0,0,0,0
02/01/2019 20:00:00,0,0,0,0,0,0
02/01/2019 21:00:00,0,0,0,0,0,0
02/01/2019 22:00:00,0,0,0,0,0,0
02/01/2019 23:00:00,0,0,0,0,0,0
03/01/2019 00:00:00,0,0,0,0,0,0
03/01/2019 01:00:00,0,0,0,0,0,0
03/01/2019 02:00:00,0,0,0,0,0,0
03/01/2019 03:00:00,0,0,0,0,0,0
03/01/2019 04:00:00,0,0,0,0,0,0
03/01/2019 05:00:00,0,0,0,0,0,0
03/01/2019 06:00:00,0,0,0,0,0,0
03/01/2019 07:00:00,0,0,0.001,0.004,0.026,0
03/01/2019 08:00:00,0.185,0.23,0.128,0.069,0.218,0.246
03/01/2019 09:00:00,0.427,0.477,0.329,0.172,0.36,0.497
03/01/2019 10:00:00,0.591,0.629,0.482,0.309,0.386,0.656
03/01/2019 11:00:00,0.669,0.692,0.559,0.398,0.35,0.741
03/01/2019 12:00:00,0.633,0.681,0.634,0.404,0.346,0.76
03/01/2019 13:00:00,0.413,0.632,0.606,0.359,0.317,0.717
03/01/2019 14:00:00,0.287,0.503,0.461,0.238,0.237,0.609
03/01/2019 15:00:00,0.274,0.31,0.255,0.097,0.135,0.424
03/01/2019 16:00:00,0.054,0.044,0.028,0.002,0.019,0.144
03/01/2019 17:00:00,0,0,0,0,0,0
03/01/2019 18:00:00,0,0,0,0,0,0
03/01/2019 19:00:00,0,0,0,0,0,0
03/01/2019 20:00:00,0,0,0,0,0,0
03/01/2019 21:00:00,0,0,0,0,0,0
03/01/2019 22:00:00,0,0,0,0,0,0
03/01/2019 23:00:00,0,0,0,0,0,0
04/01/2019 00:00:00,0,0,0,0,0,0
04/01/2019 01:00:00,0,0,0,0,0,0
04/01/2019 02:00:00,0,0,0,0,0,0
04/01/2019 03:00:00,0,0,0,0,0,0
04/01/2019 04:00:00,0,0,0,0,0,0
04/01/2019 05:00:00,0,0,0,0,0,0
04/01/2019 06:00:00,0,0,0,0,0,0
04/01/2019 07:00:00,0,0,0.002,0.006,0.041,0
04/01/2019 08:00:00,0.126,0.097,0.127,0.081,0.204,0.042
04/01/2019 09:00:00,0.32,0.26,0.292,0.17,0.333,0.138
04/01/2019 10:00:00,0.543,0.285,0.444,0.253,0.39,0.256
04/01/2019 11:00:00,0.657,0.2,0.484,0.28,0.352,0.309
