Time,NORD,CNOR,CSUD,SUD,SICI,SARD
01/01/2019 00:00:00,0.016,0.245,0.361,0.649,0.312,0.192
01/01/2019 01:00:00,0.426,0.654,0.696,0.626,0.896,0.473
01/01/2019 02:00:00,0.376,0.638,0.698,0.58,0.954,0.501
01/01/2019 03:00:00,0.325,0.615,0.694,0.568,0.974,0.509
01/01/2019 04:00:00,0.285,0.607,0.69,0.568,0.98,0.485
01/01/2019 05:00:00,0.267,0.601,0.676,0.563,0.981,0.417
01/01/2019 06:00:00,0.251,0.583,0.657,0.554,0.98,0.334
01/01/2019 07:00:00,0.217,0.55,0.633,0.532,0.977,0.264
01/01/2019 08:00:00,0.161,0.482,0.581,0.487,0.967,0.207
01/01/2019 09:00:00,0.068,0.388,0.47,0.413,0.949,0.162
01/01/2019 10:00:00,0.018,0.282,0.424,0.325,0.927,0.111
01/01/2019 11:00:00,0.01,0.201,0.348,0.243,0.903,0.07
01/01/2019 12:00:00,0.019,0.164,0.261,0.22,0.878,0.032
01/01/2019 13:00:00,0.032,0.168,0.19,0.22,0.853,0.011
01/01/2019 14:00:00,0.045,0.167,0.139,0.306,0.83,0.012
01/01/2019 15:00:00,0.05,0.161,0.11,0.425,0.812,0.039
01/01/2019 16:00:00,0.042,0.136,0.115,0.552,0.785,0.087
01/01/2019 17:00:00,0.04,0.1,0.127,0.627,0.742,0.154
01/01/2019 18:00:00,0.05,0.081,0.127,0.682,0.685,0.221
01/01/2019 19:00:00,0.08,0.078,0.12,0.729,0.621,0.296
01/01/2019 20:00:00,0.124,0.095,0.105,0.773,0.559,0.381
01/01/2019 21:00:00,0.166,0.136,0.083,0.806,0.519,0.481
01/01/2019 22:00:00,0.202,0.189,0.065,0.816,0.506,0.594
01/01/2019 23:00:00,0.231,0.25,0.059,0.798,0.498,0.722
02/01/2019 00:00:00,0.261,0.323,0.061,0.748,0.462,0.831
02/01/2019 01:00:00,0.28,0.413,0.071,0.685,0.417,0.902
02/01/2019 02:00:00,0.284,0.494,0.097,0.644,0.402,0.942
02/01/2019 03:00:00,0.295,0.544,0.144,0.626,0.458,0.963
02/01/2019 04:00:00,0.336,0.578,0.177,0.58,0.555,0.967
02/01/2019 05:00:00,0.395,0.602,0.201,0.498,0.68,0.963
02/01/2019 06:00:00,0.479,0.646,0.241,0.41,0.801,0.961
02/01/2019 07:00:00,0.583,0.68,0.298,0.329,0.872,0.969
02/01/2019 08:00:00,0.637,0.71,0.345,0.262,0.903,0.978
02/01/2019 09:00:00,0.592,0.712,0.432,0.227,0.914,0.983
02/01/2019 10:00:00,0.592,0.697,0.611,0.219,0.923,0.988
02/01/2019 11:00:00,0.658,0.712,0.762,0.213,0.929,0.99
02/01/2019 12:00:00,0.73,0.772,0.839,0.197,0.929,0.991
02/01/2019 13:00:00,0.79,0.831,0.874,0.16,0.93,0.991
02/01/2019 14:00:00,0.866,0.866,0.9,0.141,0.923,0.985
02/01/2019 15:00:00,0.942,0.893,0.925,0.135,0.899,0.959
02/01/2019 16:00:00,0.951,0.919,0.947,0.124,0.884,0.889
02/01/2019 17:00:00,0.922,0.944,0.96,0.148,0.885,0.773
02/01/2019 18:00:00,0.891,0.958,0.966,0.182,0.902,0.69
02/01/2019 19:00:00,0.879,0.948,0.966,0.219,0.935,0.687
02/01/2019 20:00:00,0.885,0.926,0.96,0.266,0.97,0.71
02/01/2019 21:00:00,0.888,0.927,0.952,0.371,0.988,0.702
02/01/2019 22:00:00,0.889,0.945,0.933,0.615,0.991,0.663
02/01/2019 23:00:00,0.892,0.954,0.894,0.85,0.991,0.584
03/01/2019 00:00:00,0.89,0.95,0.856,0.953,0.991,0.507
03/01/2019 01:00:00,0.88,0.941,0.849,0.981,0.991,0.444
03/01/2019 02:00:00,0.853,0.926,0.859,0.984,0.99,0.388
03/01/2019 03:00:00,0.831,0.907,0.858,0.977,0.986,0.332
03/01/2019 04:00:00,0.823,0.905,0.857,0.964,0.983,0.338
03/01/2019 05:00:00,0.821,0.917,0.855,0.957,0.979,0.413
03/01/2019 06:00:00,0.807,0.926,0.845,0.961,0.974,0.478
03/01/2019 07:00:00,0.77,0.925,0.842,0.969,0.969,0.525
03/01/2019 08:00:00,0.724,0.914,0.836,0.974,0.969,0.563
03/01/2019 09:00:00,0.674,0.888,0.817,0.972,0.967,0.58
03/01/2019 10:00:00,0.648,0.856,0.799,0.967,0.964,0.529
03/01/2019 11:00:00,0.656,0.821,0.785,0.964,0.958,0.428
03/01/2019 12:00:00,0.703,0.81,0.739,0.968,0.953,0.329
03/01/2019 13:00:00,0.739,0.831,0.692,0.975,0.948,0.245
03/01/2019 14:00:00,0.72,0.857,0.649,0.981,0.942,0.149
03/01/2019 15:00:00,0.653,0.852,0.613,0.984,0.94,0.084
03/01/2019 16:00:00,0.59,0.796,0.625,0.983,0.939,0.07
