Time,NORD,CNOR,CSUD,SUD,SICI,SARD
01/01/2019 00:00:00,-10916337.75,-1820292.25,-4379118.5,-2062755,-1659609.25,-806136.75
01/01/2019 01:00:00,-10599711.75,-1750746.75,-4209034.75,-1970978,-1576973.5,-783555.25
01/01/2019 02:00:00,-9982602,-1674285.5,-3971243.75,-1799052,-1581439.25,-753626.75
01/01/2019 03:00:00,-9491622.25,-1616100,-3777647.25,-1641288.25,-1502493.25,-736349.5
01/01/2019 04:00:00,-9166812.75,-1532981.25,-3691740,-1509141.5,-1449775,-723299.5
01/01/2019 05:00:00,-9205193.25,-1536011.75,-3698128.5,-1500081.5,-1432481,-727353.25
01/01/2019 06:00:00,-9687845.5,-1586785.5,-3790148,-1534021,-1462816.5,-747133.75
01/01/2019 07:00:00,-9996371.75,-1624510.25,-3785699.5,-1520326,-1443288.25,-767054.25
01/01/2019 08:00:00,-10067236,-1706782,-3954660.75,-1682679.25,-1578829.5,-814062.5
01/01/2019 09:00:00,-10513071,-1902677.75,-4386079.25,-2076734,-1891475.75,-933712.5
01/01/2019 10:00:00,-11160713.25,-2028172.25,-4690314,-2261284,-1935674.5,-938841.75
01/01/2019 11:00:00,-12042488.25,-2183217.75,-4837662.25,-2538742.5,-1943959,-1032681
01/01/2019 12:00:00,-12229885.5,-2190371.25,-4719459,-2722531.25,-1936068,-1003435
01/01/2019 13:00:00,-11696457.25,-2175998.25,-4679088.75,-2602640,-1843041,-972524.5
01/01/2019 14:00:00,-11231849.75,-2184138.75,-4419629,-2328355.75,-1747942.75,-932084.25
01/01/2019 15:00:00,-11284601.75,-2156112,-4362366.75,-2208924.25,-1793417.5,-922828.5
01/01/2019 16:00:00,-12043598.5,-2115973.5,-4466726.5,-2183911.25,-1758336.75,-881202.75
01/01/2019 17:00:00,-13422112.75,-2332694.25,-4869190.5,-2624342.25,-1926984.25,-924926.25
01/01/2019 18:00:00,-13967482,-2402576,-4998146.75,-2777303,-2032642.25,-977349.5
01/01/2019 19:00:00,-14275387.25,-2491409.5,-5127702,-2811034.25,-2070341.75,-1009124.75
01/01/2019 20:00:00,-13815016,-2434188.5,-5088801.75,-2845188.5,-2093832,-1009723.25
01/01/2019 21:00:00,-13038601.25,-2300866.25,-4912491.5,-2761910,-2052936.5,-969445
01/01/2019 22:00:00,-12031302,-2128035.5,-4603067.75,-2587445.5,-1951044.75,-906354
01/01/2019 23:00:00,-10929303.5,-1925488.5,-4186546.75,-2313007,-1807721.5,-823182.75
02/01/2019 00:00:00,-9887079.25,-1749639.5,-3854163.5,-1975691.75,-1603180.75,-762245
02/01/2019 01:00:00,-9285091.75,-1620690.25,-3711306.75,-1751762.25,-1497385.25,-729264
02/01/2019 02:00:00,-8989261.5,-1589586.25,-3540408.25,-1643113.25,-1408849.5,-711781.5
02/01/2019 03:00:00,-8900336.5,-1590292.25,-3487058.5,-1594973.25,-1366672,-707917.25
02/01/2019 04:00:00,-9192726.5,-1607717,-3558971.75,-1579203.75,-1375775.75,-719355.5
02/01/2019 05:00:00,-10117913.75,-1740194.75,-3846896.25,-1681167.25,-1449952,-751626.25
02/01/2019 06:00:00,-12450728.5,-2050480,-4456499.25,-1985395.25,-1612154.75,-827742.5
02/01/2019 07:00:00,-14835436,-2448725,-5075808,-2263725.75,-1775483.25,-919822.5
02/01/2019 08:00:00,-16617805.25,-2852144.5,-5664019,-2651640,-2041935,-999956
02/01/2019 09:00:00,-17665432,-3131721.75,-6198702.75,-2973681,-2372591,-1042122.25
02/01/2019 10:00:00,-17866621.5,-3151518.25,-6413163,-2956161,-2311999.75,-1033036.5
02/01/2019 11:00:00,-17937266,-3163823,-6540118.5,-2992755.5,-2188688,-1058599.25
02/01/2019 12:00:00,-17662806,-2989998.75,-6446771.5,-2981939.25,-2157640.75,-1046594
02/01/2019 13:00:00,-17299673,-2863183.5,-6357627.75,-3048638.5,-2220286.25,-1040340.25
02/01/2019 14:00:00,-17432661.5,-2994608.75,-6434304.25,-3047376.25,-2197252.5,-1039546.5
02/01/2019 15:00:00,-17334003.5,-3031605,-6429230.75,-2953147,-2157418.25,-1008595
02/01/2019 16:00:00,-17882401.5,-3038201.25,-6503507.25,-2959121.75,-2215030.75,-986237.75
02/01/2019 17:00:00,-18563777.5,-3188971,-6761488.25,-3380109.75,-2383451.75,-1030202.25
02/01/2019 18:00:00,-18231768.25,-3172387.5,-6772397.5,-3422953,-2522152.5,-1097591.25
02/01/2019 19:00:00,-18119174,-3161054.5,-6813162,-3443854.25,-2592523.5,-1116231.75
02/01/2019 20:00:00,-16904973,-2983213.75,-6557626,-3378182,-2577601,-1099154.5
02/01/2019 21:00:00,-15491728.25,-2716024.25,-5982443.75,-3119600.5,-2420874.5,-1032579
02/01/2019 22:00:00,-14019813.75,-2458895.75,-5443276,-2793586.5,-2210537.25,-943640.25
02/01/2019 23:00:00,-12628362,-2145317.5,-4834718.25,-2487579.25,-1934802,-858470.75
