Time,VIE,MAZZ,SARD_SE,SARD_NE,SML
01/01/2019 00:00:00,0.881,0.82,0.672,0.192,0.72
01/01/2019 01:00:00,0.885,0.878,0.675,0.252,0.68
01/01/2019 02:00:00,0.884,0.915,0.675,0.331,0.677
01/01/2019 03:00:00,0.889,0.939,0.661,0.395,0.686
01/01/2019 04:00:00,0.893,0.949,0.63,0.433,0.691
01/01/2019 05:00:00,0.889,0.948,0.602,0.445,0.688
01/01/2019 06:00:00,0.864,0.94,0.609,0.447,0.666
01/01/2019 07:00:00,0.807,0.92,0.615,0.436,0.601
01/01/2019 08:00:00,0.705,0.892,0.598,0.391,0.503
01/01/2019 09:00:00,0.571,0.875,0.583,0.328,0.398
01/01/2019 10:00:00,0.433,0.862,0.503,0.24,0.316
01/01/2019 11:00:00,0.368,0.845,0.374,0.142,0.316
01/01/2019 12:00:00,0.395,0.821,0.252,0.072,0.346
01/01/2019 13:00:00,0.433,0.8,0.162,0.028,0.468
01/01/2019 14:00:00,0.466,0.786,0.087,0.014,0.603
01/01/2019 15:00:00,0.472,0.757,0.048,0.014,0.701
01/01/2019 16:00:00,0.461,0.71,0.065,0.035,0.747
01/01/2019 17:00:00,0.457,0.643,0.133,0.076,0.77
01/01/2019 18:00:00,0.458,0.57,0.218,0.14,0.791
01/01/2019 19:00:00,0.448,0.502,0.291,0.22,0.812
01/01/2019 20:00:00,0.432,0.454,0.362,0.286,0.822
01/01/2019 21:00:00,0.432,0.447,0.432,0.32,0.815
01/01/2019 22:00:00,0.438,0.451,0.504,0.348,0.785
01/01/2019 23:00:00,0.448,0.43,0.615,0.385,0.729
02/01/2019 00:00:00,0.447,0.39,0.704,0.418,0.668
02/01/2019 01:00:00,0.442,0.352,0.785,0.45,0.635
02/01/2019 02:00:00,0.449,0.339,0.844,0.475,0.622
02/01/2019 03:00:00,0.444,0.334,0.885,0.503,0.574
02/01/2019 04:00:00,0.433,0.345,0.912,0.506,0.49
02/01/2019 05:00:00,0.468,0.426,0.92,0.444,0.404
02/01/2019 06:00:00,0.523,0.566,0.909,0.312,0.328
02/01/2019 07:00:00,0.568,0.693,0.873,0.185,0.262
02/01/2019 08:00:00,0.613,0.765,0.856,0.123,0.225
02/01/2019 09:00:00,0.695,0.809,0.867,0.146,0.214
02/01/2019 10:00:00,0.753,0.849,0.867,0.235,0.205
02/01/2019 11:00:00,0.778,0.868,0.846,0.368,0.186
02/01/2019 12:00:00,0.881,0.882,0.746,0.568,0.152
02/01/2019 13:00:00,0.951,0.882,0.53,0.695,0.136
02/01/2019 14:00:00,0.962,0.856,0.346,0.698,0.124
02/01/2019 15:00:00,0.953,0.844,0.249,0.721,0.12
