costs,locs,techs,cost_om_prod
monetary,CNOR,Bio_PP_ex,0.02
monetary,CNOR,CCGT_PP_ex,0.00315
monetary,CNOR,Coal_PP_ex,0.023
monetary,CNOR,Geo_PP_ex,0.0188
monetary,CNOR,Geo_PP_new,0.0188
monetary,CNOR,Oil_PP_ex,0.023
monetary,CNOR,Trans:CSUD,0.0022
monetary,CNOR,Trans:NORD,0.0022
monetary,CNOR,Trans:SARD,0.0022
monetary,CNOR,WTE_PP_ex,0.03305
monetary,CSUD,Bio_PP_ex,0.02
monetary,CSUD,CCGT_PP_ex,0.00315
monetary,CSUD,Oil_PP_ex,0.023
monetary,CSUD,Trans:CNOR,0.0022
monetary,CSUD,Trans:SARD,0.0022
monetary,CSUD,Trans:SUD,0.0022
monetary,CSUD,USC_PP_ex,0.025
monetary,CSUD,WTE_PP_ex,0.03305
monetary,NORD,Bio_PP_ex,0.02
monetary,NORD,CCGT_PP_ex,0.00315
monetary,NORD,Oil_PP_ex,0.023
monetary,NORD,Trans:CNOR,0.0022
monetary,NORD,WTE_PP_ex,0.03305
monetary,SARD,Bio_PP_ex,0.02
monetary,SARD,CCGT_PP_ex,0.00315
monetary,SARD,Coal_PP_ex,0.023
monetary,SARD,Oil_PP_ex,0.023
monetary,SARD,Trans:CNOR,0.0022
monetary,SARD,Trans:CSUD,0.0022
monetary,SARD,WTE_PP_ex,0.03305
monetary,SICI,Bio_PP_ex,0.02
monetary,SICI,CCGT_PP_ex,0.00315
monetary,SICI,Oil_PP_ex,0.023
monetary,SICI,Trans:SUD,0.0022
monetary,SUD,Bio_PP_ex,0.02
monetary,SUD,CCGT_PP_ex,0.00315
monetary,SUD,Coal_PP_ex,0.023
monetary,SUD,Oil_PP_ex,0.023
monetary,SUD,Trans:CSUD,0.0022
monetary,SUD,Trans:SICI,0.0022
monetary,SUD,WTE_PP_ex,0.03305
co2,CNOR,Bio_PP_ex,0.133
co2,CNOR,CCGT_PP_ex,0.368
co2,CNOR,Oil_PP_ex,0.549
co2,CNOR,WTE_PP_ex,0.555
co2,CSUD,Bio_PP_ex,0.133
co2,CSUD,CCGT_PP_ex,0.368
co2,CSUD,Oil_PP_ex,0.549
co2,CSUD,USC_PP_ex,0.87
co2,CSUD,WTE_PP_ex,0.555
co2,NORD,Bio_PP_ex,0.133
co2,NORD,CCGT_PP_ex,0.368
co2,NORD,Oil_PP_ex,0.549
co2,NORD,WTE_PP_ex,0.555
co2,SARD,Bio_PP_ex,0.133
co2,SARD,CCGT_PP_ex,0.368
co2,SARD,Oil_PP_ex,0.549
co2,SARD,WTE_PP_ex,0.555
co2,SICI,Bio_PP_ex,0.133
co2,SICI,CCGT_PP_ex,0.368
co2,SICI,Oil_PP_ex,0.549
co2,SUD,Bio_PP_ex,0.133
co2,SUD,CCGT_PP_ex,0.368
co2,SUD,Oil_PP_ex,0.549
co2,SUD,WTE_PP_ex,0.555
