locs,techs,energy_cap_equals
CNOR,Bio_PP_ex,247000.0
CNOR,CCGT_PP_ex,2000000.0
CNOR,Coal_PP_ex,150000.0
CNOR,Geo_PP_ex,817000.0
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,Oil_PP_ex,2160000.0
CNOR,PV_PP_ex,1151000.0
CNOR,PV_roof_ex,1650000.0
CNOR,Trans:CSUD,4200000.0
CNOR,Trans:NORD,4500000.0
CNOR,Trans:SARD,300000.0
CNOR,WTE_PP_ex,23000.0
CNOR,Wind_PP_ex,166000.0
CSUD,Bio_PP_ex,437000.0
CSUD,CCGT_PP_ex,8800000.0
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,Oil_PP_ex,900000.0
CSUD,PHS_PP_ex,1681000.0
CSUD,PV_PP_ex,1172000.0
CSUD,PV_roof_ex,2400000.0
CSUD,Trans:CNOR,4200000.0
CSUD,Trans:SARD,1000000.0
CSUD,Trans:SUD,5700000.0
CSUD,USC_PP_ex,1845000.0
CSUD,WTE_PP_ex,128000.0
CSUD,Wind_PP_ex,2316000.0
NORD,Bio_PP_ex,2519000.0
NORD,CCGT_PP_ex,28000000.0
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3830000.0
NORD,Oil_PP_ex,900000.0
NORD,PHS_PP_ex,5064000.0
NORD,PV_PP_ex,7245000.0
NORD,PV_roof_ex,6628000.0
NORD,Trans:CNOR,4500000.0
NORD,WTE_PP_ex,303000.0
NORD,Wind_PP_ex,199000.0
SARD,Bio_PP_ex,113000.0
SARD,CCGT_PP_ex,2400000.0
SARD,Coal_PP_ex,1072000.0
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,Oil_PP_ex,1200000.0
SARD,PHS_PP_ex,237000.0
SARD,PV_PP_ex,407000.0
SARD,PV_roof_ex,734000.0
SARD,Trans:CNOR,300000.0
SARD,Trans:CSUD,1000000.0
SARD,WTE_PP_ex,4000.0
SARD,Wind_PP_ex,1095000.0
SICI,Bio_PP_ex,74000.0
SICI,CCGT_PP_ex,4000000.0
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,Oil_PP_ex,1410000.0
SICI,PHS_PP_ex,574000.0
SICI,PV_PP_ex,631000.0
SICI,PV_roof_ex,1126000.0
SICI,Trans:SUD,1500000.0
SICI,Wind_PP_ex,2126000.0
SUD,Bio_PP_ex,659000.0
SUD,CCGT_PP_ex,8800000.0
SUD,Coal_PP_ex,3060000.0
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,Oil_PP_ex,2618000.0
SUD,PV_PP_ex,1110000.0
SUD,PV_roof_ex,3156000.0
SUD,Trans:CSUD,5700000.0
SUD,Trans:SICI,1500000.0
SUD,WTE_PP_ex,33000.0
SUD,Wind_PP_ex,6053000.0
