locs,techs,energy_cap_max
CNOR,Geo_PP_new,1183000.0
CNOR,Hydroror_PP_new,2940000.0
CNOR,PHS_PP_new,2444000.0
CNOR,PV_PP_new,78284000.0
CNOR,Wind_off_PP_new,48045000.0
CSUD,Hydroror_PP_new,2940000.0
CSUD,PHS_PP_new,2444000.0
CSUD,PV_PP_new,78284000.0
CSUD,Wind_off_PP_new,48045000.0
NORD,Hydroror_PP_new,2940000.0
NORD,PHS_PP_new,2444000.0
NORD,PV_PP_new,78284000.0
NORD,Wind_off_PP_new,48045000.0
SARD,Hydroror_PP_new,2940000.0
SARD,PHS_PP_new,2444000.0
SARD,PV_PP_new,78284000.0
SARD,Wind_off_PP_new,48045000.0
SICI,Hydroror_PP_new,2940000.0
SICI,PHS_PP_new,2444000.0
SICI,PV_PP_new,78284000.0
SICI,Wind_off_PP_new,48045000.0
SUD,Hydroror_PP_new,2940000.0
SUD,PHS_PP_new,2444000.0
SUD,PV_PP_new,78284000.0
SUD,Wind_off_PP_new,48045000.0
