locs,techs,energy_eff
CNOR,Bio_PP_ex,0.35
CNOR,CCGT_PP_ex,0.56
CNOR,Coal_PP_ex,0.38
CNOR,Geo_PP_new,1.0
CNOR,Hydroror_PP_new,1.0
CNOR,Oil_PP_ex,0.35
CNOR,PHS_PP_new,0.87
CNOR,PV_PP_new,1.0
CNOR,PV_roof_new,1.0
CNOR,Trans:CSUD,0.8938114027727885
CNOR,Trans:NORD,0.891988905145909
CNOR,Trans:SARD,0.8100644296311394
CNOR,WTE_PP_ex,0.28
CNOR,Wind_off_PP_new,1.0
CNOR,Wind_on_PP_new,1.0
CSUD,Bio_PP_ex,0.35
CSUD,CCGT_PP_ex,0.56
CSUD,Hydroror_PP_new,1.0
CSUD,Oil_PP_ex,0.35
CSUD,PHS_PP_ex,0.87
CSUD,PHS_PP_new,0.87
CSUD,PV_PP_new,1.0
CSUD,PV_roof_new,1.0
CSUD,Trans:CNOR,0.8938114027727885
CSUD,Trans:SARD,0.8448511361608096
CSUD,Trans:SUD,0.8615688736605606
CSUD,USC_PP_ex,0.43
CSUD,WTE_PP_ex,0.28
CSUD,Wind_off_PP_new,1.0
CSUD,Wind_on_PP_new,1.0
NORD,Bio_PP_ex,0.35
NORD,CCGT_PP_ex,0.56
NORD,Hydroror_PP_new,1.0
NORD,Oil_PP_ex,0.35
NORD,PHS_PP_ex,0.87
NORD,PHS_PP_new,0.87
NORD,PV_PP_new,1.0
NORD,PV_roof_new,1.0
NORD,Trans:CNOR,0.891988905145909
NORD,WTE_PP_ex,0.28
NORD,Wind_off_PP_new,1.0
NORD,Wind_on_PP_new,1.0
SARD,Bio_PP_ex,0.35
SARD,CCGT_PP_ex,0.56
SARD,Coal_PP_ex,0.38
SARD,Hydroror_PP_new,1.0
SARD,Oil_PP_ex,0.35
SARD,PHS_PP_ex,0.87
SARD,PHS_PP_new,0.87
SARD,PV_PP_new,1.0
SARD,PV_roof_new,1.0
SARD,Trans:CNOR,0.8100644296311394
SARD,Trans:CSUD,0.8448511361608096
SARD,WTE_PP_ex,0.28
SARD,Wind_off_PP_new,1.0
SARD,Wind_on_PP_new,1.0
SICI,Bio_PP_ex,0.35
SICI,CCGT_PP_ex,0.56
SICI,Hydroror_PP_new,1.0
SICI,Oil_PP_ex,0.35
SICI,PHS_PP_ex,0.87
SICI,PHS_PP_new,0.87
SICI,PV_PP_new,1.0
SICI,PV_roof_new,1.0
SICI,Trans:SUD,0.8133780329952169
SICI,Wind_off_PP_new,1.0
SICI,Wind_on_PP_new,1.0
SUD,Bio_PP_ex,0.35
SUD,CCGT_PP_ex,0.56
SUD,Coal_PP_ex,0.38
SUD,Hydroror_PP_new,1.0
SUD,Oil_PP_ex,0.35
SUD,PHS_PP_new,0.87
SUD,PV_PP_new,1.0
SUD,PV_roof_new,1.0
SUD,Trans:CSUD,0.8615688736605606
SUD,Trans:SICI,0.8133780329952169
SUD,WTE_PP_ex,0.28
SUD,Wind_off_PP_new,1.0
SUD,Wind_on_PP_new,1.0
