costs,locs,techs,cost_investment_rhs
monetary,CNOR,Bio_PP_ex,104327581.95645641
monetary,CNOR,CCGT_PP_ex,232427324.59058237
monetary,CNOR,Coal_PP_ex,32796220.382372312
monetary,CNOR,Geo_PP_ex,427296808.18488
monetary,CNOR,Geo_PP_new,618717410.1379597
monetary,CNOR,Hydrodam_PP_ex,193623312.4862109
monetary,CNOR,Hydroror_PP_ex,106634504.00412796
monetary,CNOR,Hydroror_PP_new,0.0
monetary,CNOR,Oil_PP_ex,472265573.5061613
monetary,CNOR,PHS_PP_new,103363057.98898864
monetary,CNOR,PV_PP_ex,135992105.98164254
monetary,CNOR,PV_PP_new,0.0
monetary,CNOR,PV_roof_ex,286810476.0933756
monetary,CNOR,PV_roof_new,0.0
monetary,CNOR,WTE_PP_ex,25037999.794189934
monetary,CNOR,Wind_PP_ex,32630701.911527507
monetary,CNOR,Wind_off_PP_new,0.0
monetary,CNOR,Wind_on_PP_new,0.0
monetary,CSUD,Bio_PP_ex,184579568.0768075
monetary,CSUD,CCGT_PP_ex,1022680228.1985624
monetary,CSUD,Hydrodam_PP_ex,137987246.74650222
monetary,CSUD,Hydroror_PP_ex,168551312.7807184
monetary,CSUD,Hydroror_PP_new,0.0
monetary,CSUD,Oil_PP_ex,196777322.29423386
monetary,CSUD,PHS_PP_ex,402822115.98590255
monetary,CSUD,PHS_PP_new,120857372.63704474
monetary,CSUD,PV_PP_ex,138473282.54603395
monetary,CSUD,PV_PP_new,477480247.3026985
monetary,CSUD,PV_roof_ex,417178874.31763726
monetary,CSUD,PV_roof_new,0.0
monetary,CSUD,USC_PP_ex,447190011.8924216
monetary,CSUD,WTE_PP_ex,139341911.8981005
monetary,CSUD,Wind_PP_ex,455257262.8138416
monetary,CSUD,Wind_off_PP_new,0.0
monetary,CSUD,Wind_on_PP_new,0.0
monetary,NORD,Bio_PP_ex,1063972384.4061283
monetary,NORD,CCGT_PP_ex,3253982544.268153
monetary,NORD,Hydrodam_PP_ex,1804373198.1309934
monetary,NORD,Hydroror_PP_ex,1317452097.857452
monetary,NORD,Hydroror_PP_new,1011307876.6843104
monetary,NORD,Oil_PP_ex,196777322.29423386
monetary,NORD,PHS_PP_ex,1213498629.002148
monetary,NORD,PHS_PP_new,361441229.9745293
monetary,NORD,PV_PP_ex,856005914.7150307
monetary,NORD,PV_PP_new,1056204947.4096041
monetary,NORD,PV_roof_ex,1152108991.2405417
monetary,NORD,PV_roof_new,0.0
monetary,NORD,WTE_PP_ex,329848432.0712848
monetary,NORD,Wind_PP_ex,39117528.195144415
monetary,NORD,Wind_off_PP_new,0.0
monetary,NORD,Wind_on_PP_new,0.0
monetary,SARD,Bio_PP_ex,47728812.79789301
monetary,SARD,CCGT_PP_ex,278912789.5086988
monetary,SARD,Coal_PP_ex,234383654.99935412
monetary,SARD,Hydrodam_PP_ex,45097075.31324406
monetary,SARD,Hydroror_PP_ex,13759290.839242319
monetary,SARD,Hydroror_PP_new,0.0
monetary,SARD,Oil_PP_ex,262369763.0589785
monetary,SARD,PHS_PP_ex,56792886.07296782
monetary,SARD,PHS_PP_new,0.0
monetary,SARD,PV_PP_ex,48087564.843204625
monetary,SARD,PV_PP_new,0.0
monetary,SARD,PV_roof_ex,127587205.72881074
monetary,SARD,PV_roof_new,0.0
monetary,SARD,WTE_PP_ex,4354434.7468156405
monetary,SARD,Wind_PP_ex,215244690.32001576
monetary,SARD,Wind_off_PP_new,0.0
monetary,SARD,Wind_on_PP_new,51778214.406016596
monetary,SICI,Bio_PP_ex,31256036.699505158
monetary,SICI,CCGT_PP_ex,464854649.18116474
monetary,SICI,Hydrodam_PP_ex,3921484.8098473097
monetary,SICI,Hydroror_PP_ex,44717695.227537535
monetary,SICI,Hydroror_PP_new,0.0
monetary,SICI,Oil_PP_ex,308284471.5942997
monetary,SICI,PHS_PP_ex,137549015.21469843
monetary,SICI,PHS_PP_new,0.0
monetary,SICI,PV_PP_ex,74553448.19671282
monetary,SICI,PV_PP_new,220926842.37822872
monetary,SICI,PV_roof_ex,195726421.86735815
monetary,SICI,PV_roof_new,0.0
monetary,SICI,Wind_PP_ex,417908869.0596836
monetary,SICI,Wind_off_PP_new,0.0
monetary,SICI,Wind_on_PP_new,4117497.0533597637
monetary,SUD,Bio_PP_ex,278347678.175323
monetary,SUD,CCGT_PP_ex,1022680228.1985624
monetary,SUD,Coal_PP_ex,669042895.8003951
monetary,SUD,Hydrodam_PP_ex,168378754.02281886
monetary,SUD,Hydroror_PP_ex,89435390.45507507
monetary,SUD,Hydroror_PP_new,0.0
monetary,SUD,Oil_PP_ex,572403366.4070047
monetary,SUD,PHS_PP_new,0.0
monetary,SUD,PV_PP_ex,131147904.11783078
monetary,SUD,PV_PP_new,0.0
monetary,SUD,PV_roof_ex,548590219.7276931
monetary,SUD,PV_roof_new,0.0
monetary,SUD,WTE_PP_ex,35924086.66122904
monetary,SUD,Wind_PP_ex,1189841196.8100963
monetary,SUD,Wind_off_PP_new,0.0
monetary,SUD,Wind_on_PP_new,55831704.75397221
co2,CNOR,Bio_PP_ex,0.0
co2,CNOR,CCGT_PP_ex,0.0
co2,CNOR,Coal_PP_ex,0.0
co2,CNOR,Geo_PP_ex,0.0
co2,CNOR,Geo_PP_new,0.0
co2,CNOR,Hydrodam_PP_ex,0.0
co2,CNOR,Hydroror_PP_ex,0.0
co2,CNOR,Hydroror_PP_new,0.0
co2,CNOR,Oil_PP_ex,0.0
co2,CNOR,PHS_PP_new,0.0
co2,CNOR,PV_PP_ex,0.0
co2,CNOR,PV_PP_new,0.0
co2,CNOR,PV_roof_ex,0.0
co2,CNOR,PV_roof_new,0.0
co2,CNOR,WTE_PP_ex,0.0
co2,CNOR,Wind_PP_ex,0.0
co2,CNOR,Wind_off_PP_new,0.0
co2,CNOR,Wind_on_PP_new,0.0
co2,CSUD,Bio_PP_ex,0.0
co2,CSUD,CCGT_PP_ex,0.0
co2,CSUD,Hydrodam_PP_ex,0.0
co2,CSUD,Hydroror_PP_ex,0.0
co2,CSUD,Hydroror_PP_new,0.0
co2,CSUD,Oil_PP_ex,0.0
co2,CSUD,PHS_PP_ex,0.0
co2,CSUD,PHS_PP_new,0.0
co2,CSUD,PV_PP_ex,0.0
co2,CSUD,PV_PP_new,0.0
co2,CSUD,PV_roof_ex,0.0
co2,CSUD,PV_roof_new,0.0
co2,CSUD,USC_PP_ex,0.0
co2,CSUD,WTE_PP_ex,0.0
co2,CSUD,Wind_PP_ex,0.0
co2,CSUD,Wind_off_PP_new,0.0
co2,CSUD,Wind_on_PP_new,0.0
co2,NORD,Bio_PP_ex,0.0
co2,NORD,CCGT_PP_ex,0.0
co2,NORD,Hydrodam_PP_ex,0.0
co2,NORD,Hydroror_PP_ex,0.0
co2,NORD,Hydroror_PP_new,0.0
co2,NORD,Oil_PP_ex,0.0
co2,NORD,PHS_PP_ex,0.0
co2,NORD,PHS_PP_new,0.0
co2,NORD,PV_PP_ex,0.0
co2,NORD,PV_PP_new,0.0
co2,NORD,PV_roof_ex,0.0
co2,NORD,PV_roof_new,0.0
co2,NORD,WTE_PP_ex,0.0
co2,NORD,Wind_PP_ex,0.0
co2,NORD,Wind_off_PP_new,0.0
co2,NORD,Wind_on_PP_new,0.0
co2,SARD,Bio_PP_ex,0.0
co2,SARD,CCGT_PP_ex,0.0
co2,SARD,Coal_PP_ex,0.0
co2,SARD,Hydrodam_PP_ex,0.0
co2,SARD,Hydroror_PP_ex,0.0
co2,SARD,Hydroror_PP_new,0.0
co2,SARD,Oil_PP_ex,0.0
co2,SARD,PHS_PP_ex,0.0
co2,SARD,PHS_PP_new,0.0
co2,SARD,PV_PP_ex,0.0
co2,SARD,PV_PP_new,0.0
co2,SARD,PV_roof_ex,0.0
co2,SARD,PV_roof_new,0.0
co2,SARD,WTE_PP_ex,0.0
co2,SARD,Wind_PP_ex,0.0
co2,SARD,Wind_off_PP_new,0.0
co2,SARD,Wind_on_PP_new,0.0
co2,SICI,Bio_PP_ex,0.0
co2,SICI,CCGT_PP_ex,0.0
co2,SICI,Hydrodam_PP_ex,0.0
co2,SICI,Hydroror_PP_ex,0.0
co2,SICI,Hydroror_PP_new,0.0
co2,SICI,Oil_PP_ex,0.0
co2,SICI,PHS_PP_ex,0.0
co2,SICI,PHS_PP_new,0.0
co2,SICI,PV_PP_ex,0.0
co2,SICI,PV_PP_new,0.0
co2,SICI,PV_roof_ex,0.0
co2,SICI,PV_roof_new,0.0
co2,SICI,Wind_PP_ex,0.0
co2,SICI,Wind_off_PP_new,0.0
co2,SICI,Wind_on_PP_new,0.0
co2,SUD,Bio_PP_ex,0.0
co2,SUD,CCGT_PP_ex,0.0
co2,SUD,Coal_PP_ex,0.0
co2,SUD,Hydrodam_PP_ex,0.0
co2,SUD,Hydroror_PP_ex,0.0
co2,SUD,Hydroror_PP_new,0.0
