locs,techs,timesteps,required_resource
CNOR,demand_power,2019-01-01 00:00:00,-2177221.883
CNOR,demand_power,2019-01-01 01:00:00,-2094039.645
CNOR,demand_power,2019-01-01 02:00:00,-2002585.59
CNOR,demand_power,2019-01-01 03:00:00,-1932990.862
CNOR,demand_power,2019-01-01 04:00:00,-1833573.88
CNOR,demand_power,2019-01-01 05:00:00,-1837198.612
CNOR,demand_power,2019-01-01 06:00:00,-1897928.267
CNOR,demand_power,2019-01-01 07:00:00,-1943050.225
CNOR,demand_power,2019-01-01 08:00:00,-2041454.124
CNOR,demand_power,2019-01-01 09:00:00,-2275761.837
CNOR,demand_power,2019-01-01 10:00:00,-2425863.762
CNOR,demand_power,2019-01-01 11:00:00,-2611311.157
CNOR,demand_power,2019-01-01 12:00:00,-2619867.342
CNOR,demand_power,2019-01-01 13:00:00,-2602676.031
CNOR,demand_power,2019-01-01 14:00:00,-2612412.75
CNOR,demand_power,2019-01-01 15:00:00,-2578890.411
CNOR,demand_power,2019-01-01 16:00:00,-2530881.406
CNOR,demand_power,2019-01-01 17:00:00,-2790097.562
CNOR,demand_power,2019-01-01 18:00:00,-2873681.984
CNOR,demand_power,2019-01-01 19:00:00,-2979934.285
CNOR,demand_power,2019-01-01 20:00:00,-2911493.18
CNOR,demand_power,2019-01-01 21:00:00,-2752028.61
CNOR,demand_power,2019-01-01 22:00:00,-2545308.568
CNOR,demand_power,2019-01-01 23:00:00,-2303045.403
CNOR,demand_power,2019-01-02 00:00:00,-2092715.281
CNOR,demand_power,2019-01-02 01:00:00,-1938481.185
CNOR,demand_power,2019-01-02 02:00:00,-1901278.198
CNOR,demand_power,2019-01-02 03:00:00,-1902122.633
CNOR,demand_power,2019-01-02 04:00:00,-1922964.093
CNOR,demand_power,2019-01-02 05:00:00,-2081418.57
CNOR,demand_power,2019-01-02 06:00:00,-2452545.698
CNOR,demand_power,2019-01-02 07:00:00,-2928880.05
CNOR,demand_power,2019-01-02 08:00:00,-3411403.537
CNOR,demand_power,2019-01-02 09:00:00,-3745801.328
CNOR,demand_power,2019-01-02 10:00:00,-3769479.599
CNOR,demand_power,2019-01-02 11:00:00,-3784197.11
