locs,techs,resource_cap
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,Hydroror_PP_new,0.0
CNOR,PHS_PP_new,1704872.375317
CNOR,PV_PP_ex,997917.0
CNOR,PV_PP_new,0.0
CNOR,PV_roof_ex,1430550.0
CNOR,PV_roof_new,0.0
CNOR,Wind_PP_ex,164506.0
CNOR,Wind_off_PP_new,0.0
CNOR,Wind_on_PP_new,0.0
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,Hydroror_PP_new,0.0
CSUD,PHS_PP_ex,10.0
CSUD,PHS_PP_new,5043448.096329998
CSUD,PV_PP_ex,1003232.0
CSUD,PV_PP_new,3459320.488793458
CSUD,PV_roof_ex,2054400.0
CSUD,PV_roof_new,0.0
CSUD,Wind_PP_ex,2295156.0
CSUD,Wind_off_PP_new,0.0
CSUD,Wind_on_PP_new,0.0
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3828493.37375
NORD,Hydroror_PP_new,2938843.4775
NORD,PHS_PP_ex,6.536035425
NORD,PHS_PP_new,9858401.37075847
NORD,PV_PP_ex,6056820.0
NORD,PV_PP_new,7446545.082763275
NORD,PV_roof_ex,5541008.0
NORD,PV_roof_new,0.0
NORD,Wind_PP_ex,189249.0
NORD,Wind_off_PP_new,0.0
NORD,Wind_on_PP_new,0.0
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,Hydroror_PP_new,0.0
SARD,PHS_PP_ex,10.0
SARD,PHS_PP_new,0.0
SARD,PV_PP_ex,353683.0
SARD,PV_PP_new,0.0
SARD,PV_roof_ex,637846.0
SARD,PV_roof_new,0.0
SARD,Wind_PP_ex,1085145.0
SARD,Wind_off_PP_new,0.0
SARD,Wind_on_PP_new,261037.1962629176
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,Hydroror_PP_new,0.0
SICI,PHS_PP_ex,10.0
SICI,PHS_PP_new,0.0
SICI,PV_PP_ex,535088.0
SICI,PV_PP_new,1585644.9982375726
SICI,PV_roof_ex,954848.0
SICI,PV_roof_new,0.0
SICI,Wind_PP_ex,2106866.0
SICI,Wind_off_PP_new,0.0
SICI,Wind_on_PP_new,20758.148938889713
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,Hydroror_PP_new,0.0
SUD,PHS_PP_new,0.0
SUD,PV_PP_ex,936840.0
SUD,PV_PP_new,0.0
SUD,PV_roof_ex,2663664.0
SUD,PV_roof_new,0.0
SUD,Wind_PP_ex,5998523.0
SUD,Wind_off_PP_new,0.0
SUD,Wind_on_PP_new,281472.65869914595
