carriers,techs,systemwide_capacity_factor
Power,Bio_PP_ex,0.0
Power,CCGT_PP_ex,0.30677226890535303
Power,Coal_PP_ex,0.9119266284975763
Power,Geo_PP_ex,0.945892435824304
Power,Geo_PP_new,0.9562459199542638
Power,Hydrodam_PP_ex,0.4301487200110981
Power,Hydroror_PP_ex,0.50537295347705
Power,Hydroror_PP_new,0.5095728402531976
Power,Oil_PP_ex,0.0002338295875473575
Power,PHS_PP_ex,1.4928126022980477e-07
Power,PHS_PP_new,0.28202933887355763
Power,PV_PP_ex,0.17098790530479993
Power,PV_PP_new,0.1639043660522499
Power,PV_roof_ex,0.17381726258958552
Power,Trans:CNOR,0.044437107724233614
Power,Trans:CSUD,0.02089491287636241
Power,Trans:NORD,0.024996942616746655
Power,Trans:SARD,0.3593167913279327
Power,Trans:SICI,0.02486153083312399
Power,Trans:SUD,0.2492429280606314
Power,USC_PP_ex,0.0
Power,WTE_PP_ex,1.0
Power,Wind_PP_ex,0.26644936817614695
Power,Wind_on_PP_new,0.2969445964679707
