carriers,costs,techs,systemwide_levelised_cost
Power,monetary,Bio_PP_ex,inf
Power,monetary,CCGT_PP_ex,0.09835939340520145
Power,monetary,Coal_PP_ex,0.07526434208041548
Power,monetary,Geo_PP_ex,0.08191923600820133
Power,monetary,Geo_PP_new,0.08123583020775206
Power,monetary,Hydrodam_PP_ex,0.06504408569790018
Power,monetary,Hydroror_PP_ex,0.07769981013411605
Power,monetary,Hydroror_PP_new,0.07705941021615867
Power,monetary,Oil_PP_ex,106.7920061617699
Power,monetary,PHS_PP_ex,183246.71338315256
Power,monetary,PHS_PP_new,0.09699451984699739
Power,monetary,PV_PP_ex,0.0788803588266435
Power,monetary,PV_PP_new,0.08228937184723406
Power,monetary,PV_roof_ex,0.11416002467949891
Power,monetary,Trans:CNOR,0.0021999999999999936
Power,monetary,Trans:CSUD,0.0021999999999999984
Power,monetary,Trans:NORD,0.002199999999999998
Power,monetary,Trans:SARD,0.0021999999999999464
Power,monetary,Trans:SICI,0.002200000000000003
Power,monetary,Trans:SUD,0.0022000000000000183
Power,monetary,USC_PP_ex,inf
Power,monetary,WTE_PP_ex,-0.30875103054584774
Power,monetary,Wind_PP_ex,0.08421695348574738
Power,monetary,Wind_on_PP_new,0.07556815080289815
Power,co2,CCGT_PP_ex,0.3679999999999996
Power,co2,Coal_PP_ex,0.0
Power,co2,Geo_PP_ex,0.0
Power,co2,Geo_PP_new,0.0
Power,co2,Hydrodam_PP_ex,0.0
Power,co2,Hydroror_PP_ex,0.0
Power,co2,Hydroror_PP_new,0.0
Power,co2,Oil_PP_ex,0.5490000000000002
Power,co2,PHS_PP_ex,0.0
Power,co2,PHS_PP_new,0.0
Power,co2,PV_PP_ex,0.0
Power,co2,PV_PP_new,0.0
Power,co2,PV_roof_ex,0.0
Power,co2,Trans:CNOR,0.0
Power,co2,Trans:CSUD,0.0
Power,co2,Trans:NORD,0.0
Power,co2,Trans:SARD,0.0
Power,co2,Trans:SICI,0.0
Power,co2,Trans:SUD,0.0
Power,co2,WTE_PP_ex,0.555
Power,co2,Wind_PP_ex,0.0
Power,co2,Wind_on_PP_new,0.0
