locs,techs,energy_cap_min
CNOR,Geo_PP_new,0.0
CNOR,Hydroror_PP_new,0.0
CNOR,PHS_PP_new,0.0
CNOR,PV_PP_new,0.0
CNOR,PV_roof_new,0.0
CNOR,Trans:CSUD,6300000.0
CNOR,Trans:NORD,6750000.0
CNOR,Wind_off_PP_new,0.0
CNOR,Wind_on_PP_new,0.0
CSUD,Hydroror_PP_new,0.0
CSUD,PHS_PP_new,0.0
CSUD,PV_PP_new,0.0
CSUD,PV_roof_new,0.0
CSUD,Trans:CNOR,6300000.0
CSUD,Wind_off_PP_new,0.0
CSUD,Wind_on_PP_new,0.0
NORD,Hydroror_PP_new,0.0
NORD,PHS_PP_new,0.0
NORD,PV_PP_new,0.0
NORD,PV_roof_new,0.0
NORD,Trans:CNOR,6750000.0
NORD,Wind_off_PP_new,0.0
NORD,Wind_on_PP_new,0.0
SARD,Hydroror_PP_new,0.0
SARD,PHS_PP_new,0.0
SARD,PV_PP_new,0.0
SARD,PV_roof_new,0.0
SARD,Wind_off_PP_new,0.0
SARD,Wind_on_PP_new,0.0
SICI,Hydroror_PP_new,0.0
SICI,PHS_PP_new,0.0
SICI,PV_PP_new,0.0
SICI,PV_roof_new,0.0
SICI,Wind_off_PP_new,0.0
SICI,Wind_on_PP_new,0.0
SUD,Hydroror_PP_new,0.0
SUD,PHS_PP_new,0.0
SUD,PV_PP_new,0.0
SUD,PV_roof_new,0.0
SUD,Wind_off_PP_new,0.0
SUD,Wind_on_PP_new,0.0
