locs,techs,energy_eff
CNOR,Geo_PP_new,1.0
CNOR,Hydroror_PP_new,1.0
CNOR,PHS_PP_new,0.87
CNOR,PV_PP_new,1.0
CNOR,PV_roof_new,1.0
CNOR,Trans:CSUD,0.8938114027727885
CNOR,Trans:NORD,0.891988905145909
CNOR,Trans:SARD,0.8100644296311394
CNOR,Wind_off_PP_new,1.0
CNOR,Wind_on_PP_new,1.0
CSUD,Hydroror_PP_new,1.0
CSUD,PHS_PP_ex,0.87
CSUD,PHS_PP_new,0.87
CSUD,PV_PP_new,1.0
CSUD,PV_roof_new,1.0
CSUD,Trans:CNOR,0.8938114027727885
CSUD,Trans:SARD,0.8448511361608096
CSUD,Trans:SUD,0.8615688736605606
CSUD,Wind_off_PP_new,1.0
CSUD,Wind_on_PP_new,1.0
NORD,Hydroror_PP_new,1.0
NORD,PHS_PP_ex,0.87
NORD,PHS_PP_new,0.87
NORD,PV_PP_new,1.0
NORD,PV_roof_new,1.0
NORD,Trans:CNOR,0.891988905145909
NORD,Wind_off_PP_new,1.0
NORD,Wind_on_PP_new,1.0
SARD,Hydroror_PP_new,1.0
SARD,PHS_PP_ex,0.87
SARD,PHS_PP_new,0.87
SARD,PV_PP_new,1.0
SARD,PV_roof_new,1.0
SARD,Trans:CNOR,0.8100644296311394
SARD,Trans:CSUD,0.8448511361608096
SARD,Wind_off_PP_new,1.0
SARD,Wind_on_PP_new,1.0
SICI,Hydroror_PP_new,1.0
SICI,PHS_PP_ex,0.87
SICI,PHS_PP_new,0.87
SICI,PV_PP_new,1.0
SICI,PV_roof_new,1.0
SICI,Trans:SUD,0.8133780329952169
SICI,Wind_off_PP_new,1.0
SICI,Wind_on_PP_new,1.0
SUD,Hydroror_PP_new,1.0
SUD,PHS_PP_new,0.87
SUD,PV_PP_new,1.0
SUD,PV_roof_new,1.0
SUD,Trans:CSUD,0.8615688736605606
SUD,Trans:SICI,0.8133780329952169
SUD,Wind_off_PP_new,1.0
SUD,Wind_on_PP_new,1.0
