costs,locs,techs,cost_investment,,,,,
monetary,CNOR,Geo_PP_ex,427296808.2,,,,,
monetary,CNOR,Geo_PP_new,618717410.1,,,,,
monetary,CNOR,Hydrodam_PP_ex,193623312.5,,,,,
monetary,CNOR,Hydroror_PP_ex,106634504,,,,,Investment Costs (milion Û)
monetary,CNOR,Hydroror_PP_new,0,,,97569097078,CNOR,97569.10
monetary,CNOR,PHS_PP_new,0,,,2.28033E+11,CSUD,228033.39
monetary,CNOR,PV_PP_ex,135992106,,,1.78769E+12,NORD,1787693.24
monetary,CNOR,PV_PP_new,4588197701,,,21501687281,SARD,21501.69
monetary,CNOR,PV_roof_ex,286810476.1,,,49406587803,SICI,49406.59
monetary,CNOR,PV_roof_new,0,,,28653550495,SUD,28653.55
monetary,CNOR,Wind_PP_ex,32630701.91,,,,,
monetary,CNOR,Wind_off_PP_new,18484412971,,,,,
monetary,CNOR,Wind_on_PP_new,73877768995,,,,,
monetary,CSUD,Hydrodam_PP_ex,137987246.7,,,,,
monetary,CSUD,Hydroror_PP_ex,168551312.8,,,,,
monetary,CSUD,Hydroror_PP_new,0,,,,,
monetary,CSUD,PHS_PP_ex,402822116,,,,,Investment Costs (milion Û)
monetary,CSUD,PHS_PP_new,0,,,,NORD,1787693.24
monetary,CSUD,PV_PP_ex,138473282.5,,,,CSUD,228033.39
monetary,CSUD,PV_PP_new,0,,,,CNOR,97569.10
monetary,CSUD,PV_roof_ex,417178874.3,,,,SICI,49406.59
monetary,CSUD,PV_roof_new,0,,,,SUD,28653.55
monetary,CSUD,Wind_PP_ex,455257262.8,,,,SARD,21501.69
monetary,CSUD,Wind_off_PP_new,41550521587,,,,Tot.,2212857.55
monetary,CSUD,Wind_on_PP_new,1.86483E+11,,,,,
monetary,NORD,Hydrodam_PP_ex,1804373198,,,,,
monetary,NORD,Hydroror_PP_ex,1317452098,,,,,
monetary,NORD,Hydroror_PP_new,1011307877,,,,,
monetary,NORD,PHS_PP_ex,1213498629,,,,,
monetary,NORD,PHS_PP_new,87392188.26,,,,,
monetary,NORD,PV_PP_ex,856005914.7,,,,,
monetary,NORD,PV_PP_new,20407230053,,,,,
monetary,NORD,PV_roof_ex,1152108991,,,,,
monetary,NORD,PV_roof_new,0,,,,,
monetary,NORD,Wind_off_PP_new,9.80886E+11,,,,,
monetary,NORD,Wind_on_PP_new,7.85302E+11,,,,,
monetary,SARD,Hydrodam_PP_ex,45097075.31,,,,,
monetary,SARD,Hydroror_PP_ex,13759290.84,,,,,
monetary,SARD,Hydroror_PP_new,0,,,,,
monetary,SARD,PHS_PP_ex,56792886.07,,,,,
monetary,SARD,PHS_PP_new,0,,,,,
monetary,SARD,PV_PP_ex,48087564.84,,,,,
monetary,SARD,PV_PP_new,539690975.4,,,,,
monetary,SARD,PV_roof_ex,127587205.7,,,,,
monetary,SARD,PV_roof_new,0,,,,,
monetary,SARD,Wind_PP_ex,215244690.3,,,,,
monetary,SARD,Wind_off_PP_new,7700049268,,,,,
monetary,SARD,Wind_on_PP_new,13261947037,,,,,
monetary,SICI,Hydrodam_PP_ex,3921484.81,,,,,
monetary,SICI,Hydroror_PP_ex,44717695.23,,,,,
monetary,SICI,Hydroror_PP_new,0,,,,,
monetary,SICI,PHS_PP_ex,137549015.2,,,,,
monetary,SICI,PHS_PP_new,498269472.3,,,,,
monetary,SICI,PV_PP_ex,74553448.2,,,,,
monetary,SICI,PV_PP_new,518003937.5,,,,,
monetary,SICI,PV_roof_ex,195726421.9,,,,,
monetary,SICI,PV_roof_new,0,,,,,
monetary,SICI,Wind_PP_ex,417908869.1,,,,,
monetary,SICI,Wind_off_PP_new,652612976.8,,,,,
monetary,SICI,Wind_on_PP_new,47737701416,,,,,
monetary,SUD,Hydrodam_PP_ex,168378754,,,,,
monetary,SUD,Hydroror_PP_ex,89435390.46,,,,,
monetary,SUD,Hydroror_PP_new,0,,,,,
monetary,SUD,PHS_PP_new,0,,,,,
monetary,SUD,PV_PP_ex,131147904.1,,,,,
monetary,SUD,PV_PP_new,864163729.3,,,,,
monetary,SUD,PV_roof_ex,548590219.7,,,,,
monetary,SUD,PV_roof_new,0,,,,,
monetary,SUD,Wind_PP_ex,1189841197,,,,,
monetary,SUD,Wind_off_PP_new,11474995399,,,,,
monetary,SUD,Wind_on_PP_new,16314391367,,,,,
