costs,locs,techs,cost_investment_rhs
monetary,CNOR,Geo_PP_ex,427296808.18488
monetary,CNOR,Geo_PP_new,618717410.1379597
monetary,CNOR,Hydrodam_PP_ex,193623312.4862109
monetary,CNOR,Hydroror_PP_ex,106634504.00412796
monetary,CNOR,Hydroror_PP_new,0.0
monetary,CNOR,PHS_PP_new,0.0
monetary,CNOR,PV_PP_ex,135992105.98164254
monetary,CNOR,PV_PP_new,4588197701.294455
monetary,CNOR,PV_roof_ex,286810476.0933756
monetary,CNOR,PV_roof_new,0.0
monetary,CNOR,Wind_PP_ex,32630701.911527507
monetary,CNOR,Wind_off_PP_new,18484412971.061035
monetary,CNOR,Wind_on_PP_new,73877768995.40529
monetary,CSUD,Hydrodam_PP_ex,137987246.74650222
monetary,CSUD,Hydroror_PP_ex,168551312.7807184
monetary,CSUD,Hydroror_PP_new,0.0
monetary,CSUD,PHS_PP_ex,402822115.98590255
monetary,CSUD,PHS_PP_new,0.0
monetary,CSUD,PV_PP_ex,138473282.54603395
monetary,CSUD,PV_PP_new,0.0
monetary,CSUD,PV_roof_ex,417178874.31763726
monetary,CSUD,PV_roof_new,0.0
monetary,CSUD,Wind_PP_ex,455257262.8138416
monetary,CSUD,Wind_off_PP_new,41550521587.34634
monetary,CSUD,Wind_on_PP_new,186482867287.00516
monetary,NORD,Hydrodam_PP_ex,1804373198.1309934
monetary,NORD,Hydroror_PP_ex,1317452097.857452
monetary,NORD,Hydroror_PP_new,1011307876.6843104
monetary,NORD,PHS_PP_ex,1213498629.002148
monetary,NORD,PHS_PP_new,87392188.25953978
monetary,NORD,PV_PP_ex,856005914.7150307
monetary,NORD,PV_PP_new,20407230053.36656
monetary,NORD,PV_roof_ex,1152108991.2405417
monetary,NORD,PV_roof_new,0.0
monetary,NORD,Wind_off_PP_new,980885692787.3961
monetary,NORD,Wind_on_PP_new,785301612789.2344
monetary,SARD,Hydrodam_PP_ex,45097075.31324406
monetary,SARD,Hydroror_PP_ex,13759290.839242319
monetary,SARD,Hydroror_PP_new,0.0
monetary,SARD,PHS_PP_ex,56792886.07296782
monetary,SARD,PHS_PP_new,0.0
monetary,SARD,PV_PP_ex,48087564.843204625
monetary,SARD,PV_PP_new,539690975.4384005
monetary,SARD,PV_roof_ex,127587205.72881074
monetary,SARD,PV_roof_new,0.0
monetary,SARD,Wind_PP_ex,215244690.32001576
monetary,SARD,Wind_off_PP_new,7700049268.259354
monetary,SARD,Wind_on_PP_new,13261947036.894588
monetary,SICI,Hydrodam_PP_ex,3921484.8098473097
monetary,SICI,Hydroror_PP_ex,44717695.227537535
monetary,SICI,Hydroror_PP_new,0.0
monetary,SICI,PHS_PP_ex,137549015.21469843
monetary,SICI,PHS_PP_new,498269472.34102285
monetary,SICI,PV_PP_ex,74553448.19671282
monetary,SICI,PV_PP_new,518003937.54591733
monetary,SICI,PV_roof_ex,195726421.86735815
monetary,SICI,PV_roof_new,0.0
monetary,SICI,Wind_PP_ex,417908869.0596836
monetary,SICI,Wind_off_PP_new,652612976.8026986
monetary,SICI,Wind_on_PP_new,47737701416.04595
monetary,SUD,Hydrodam_PP_ex,168378754.02281886
monetary,SUD,Hydroror_PP_ex,89435390.45507507
monetary,SUD,Hydroror_PP_new,0.0
monetary,SUD,PHS_PP_new,0.0
monetary,SUD,PV_PP_ex,131147904.11783078
monetary,SUD,PV_PP_new,864163729.3460506
monetary,SUD,PV_roof_ex,548590219.7276931
monetary,SUD,PV_roof_new,0.0
monetary,SUD,Wind_PP_ex,1189841196.8100963
monetary,SUD,Wind_off_PP_new,11474995399.413702
monetary,SUD,Wind_on_PP_new,16314391366.64518
