locs,techs,energy_cap,,,,,,,,,,
CNOR,demand_power,9838931.286,,,,,,,,,,
CSUD,demand_power,19329661.82,,,,,,,,,,
NORD,demand_power,57886039.27,,,,,,,,,,
SARD,demand_power,2875271.808,,,,,,,,,,
SICI,demand_power,8023271.071,,,,,,,,,,
SUD,demand_power,11867926.82,,,,,Geothermal,ROR Hydro,PHS,PV Farm,Off-shore Wind,On-shore Wind
CNOR,Geo_PP_ex,817000,,,,NORD,0,2940000,364692.6587,172721215.1,2232057503,3995012675
CNOR,Geo_PP_new,1183000,,,,CNOR,1183000,0,0,38833250.77,42062263.7,375833461.6
CNOR,Hydrodam_PP_ex,790000,,,,CSUD,0,0,0,0,94550419.24,948681890.3
CSUD,Hydrodam_PP_ex,563000,,,,SUD,0,0,0,7314045.512,26111961.64,82995118.35
NORD,Hydrodam_PP_ex,7362000,,,,SICI,0,0,2079307.341,4384243.687,1485055.499,242852834
SARD,Hydrodam_PP_ex,184000,,,,SARD,0,0,0,4567796.846,17521871.17,67466621.28
SICI,Hydrodam_PP_ex,16000,,,,,,,,,,
SUD,Hydrodam_PP_ex,687000,,,,,,,,,,
CNOR,Hydroror_PP_ex,310000,,,,,,,,,,
CSUD,Hydroror_PP_ex,490000,,,,,Geothermal,ROR Hydro,PHS,PV Farm,Off-shore Wind,On-shore Wind
NORD,Hydroror_PP_ex,3830000,,,,NORD,0,2.94,0.36,172.72,2232.06,3995.01
SARD,Hydroror_PP_ex,40000,,,,CNOR,1.18,0,0,38.83,42.06,375.83
SICI,Hydroror_PP_ex,130000,,,,CSUD,0,0,0,0,94.55,948.68
SUD,Hydroror_PP_ex,260000,,,,SUD,0,0,0,7.31,26.11,83
CNOR,Hydroror_PP_new,0,,,,SICI,0,0,2.08,4.38,1.49,242.85
CSUD,Hydroror_PP_new,0,,,,SARD,0,0,0,4.57,17.52,67.47
NORD,Hydroror_PP_new,2940000,,,,,,,,,,
SARD,Hydroror_PP_new,0,,,,,,,,,,
SICI,Hydroror_PP_new,0,,,,,,,8138387675,255230551.9,2000000,27602000
SUD,Hydroror_PP_new,0,,,,,,,Wind,Solar PV,Geothermal,Hydro
