locs,techs,resource_cap
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,Hydroror_PP_new,0.0
CNOR,PHS_PP_new,0.0
CNOR,PV_PP_ex,997917.0
CNOR,PV_PP_new,17669129.099896226
CNOR,PV_roof_ex,1430550.0
CNOR,PV_roof_new,0.0
CNOR,Wind_PP_ex,164506.0
CNOR,Wind_off_PP_new,12954068.019590627
CNOR,Wind_on_PP_new,22308769.20088
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,Hydroror_PP_new,0.0
CSUD,PHS_PP_ex,10.0
CSUD,PHS_PP_new,0.0
CSUD,PV_PP_ex,1003232.0
CSUD,PV_PP_new,0.0
CSUD,PV_roof_ex,2054400.0
CSUD,PV_roof_new,0.0
CSUD,Wind_PP_ex,2295156.0
CSUD,Wind_off_PP_new,17586377.97843028
CSUD,Wind_on_PP_new,27770858.657510556
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3828493.37375
NORD,Hydroror_PP_new,2934738.6788999997
NORD,PHS_PP_ex,6.536035425
NORD,PHS_PP_new,1142244.8363299684
NORD,PV_PP_ex,6056820.0
NORD,PV_PP_new,57790982.64408197
NORD,PV_roof_ex,5541008.0
NORD,PV_roof_new,0.0
NORD,Wind_off_PP_new,57886039.27
NORD,Wind_on_PP_new,46173778.03436464
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,Hydroror_PP_new,0.0
SARD,PHS_PP_ex,10.0
SARD,PHS_PP_new,0.0
SARD,PV_PP_ex,353683.0
SARD,PV_PP_new,3043289.405048
SARD,PV_roof_ex,637846.0
SARD,PV_roof_new,0.0
SARD,Wind_PP_ex,1085145.0
SARD,Wind_off_PP_new,3892884.777048
SARD,Wind_on_PP_new,4058837.927048
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,Hydroror_PP_new,0.0
SICI,PHS_PP_ex,10.0
SICI,PHS_PP_new,8932771.593396995
SICI,PV_PP_ex,535088.0
SICI,PV_PP_new,3327640.958340908
SICI,PV_roof_ex,954848.0
SICI,PV_roof_new,0.0
SICI,Wind_PP_ex,2106866.0
SICI,Wind_off_PP_new,1471689.9992184252
SICI,Wind_on_PP_new,8457607.889932001
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,Hydroror_PP_new,0.0
SUD,PHS_PP_new,0.0
SUD,PV_PP_ex,922410.0
SUD,PV_PP_new,5441649.861228042
SUD,PV_roof_ex,2663664.0
SUD,PV_roof_new,0.0
SUD,Wind_PP_ex,5998523.0
SUD,Wind_off_PP_new,10531552.166583244
SUD,Wind_on_PP_new,14642462.841208002
