carriers,techs,systemwide_capacity_factor
Power,Geo_PP_ex,0.0005707762557077625
Power,Geo_PP_new,0.0005707762557077625
Power,Hydrodam_PP_ex,0.3805806695321958
Power,Hydroror_PP_ex,0.4452620674521756
Power,Hydroror_PP_new,0.37986170682750514
Power,PHS_PP_ex,1.492812602530149e-07
Power,PHS_PP_new,0.09103825049205214
Power,PV_PP_ex,0.14371945843617537
Power,PV_PP_new,0.03981766502801596
Power,PV_roof_ex,0.15505419958182756
Power,Trans:CNOR,0.002895479758543939
Power,Trans:CSUD,0.002780752739064227
Power,Trans:NORD,0.0015878669255844538
Power,Trans:SARD,0.016432525603935207
Power,Trans:SICI,0.021265021132541178
Power,Trans:SUD,0.0033695696517410823
Power,Wind_PP_ex,0.26582247727998715
Power,Wind_off_PP_new,0.009204919284768917
Power,Wind_on_PP_new,0.0031849226894139883
