carriers,costs,techs,systemwide_levelised_cost
Power,monetary,Geo_PP_ex,104.620221832284
Power,monetary,Geo_PP_new,104.62022183228396
Power,monetary,Hydrodam_PP_ex,0.07351563662346502
Power,monetary,Hydroror_PP_ex,0.08818937296135573
Power,monetary,Hydroror_PP_new,0.10337283760459573
Power,monetary,PHS_PP_ex,183246.71335466148
Power,monetary,PHS_PP_new,0.30048139280966335
Power,monetary,PV_PP_ex,0.09384663338018691
Power,monetary,PV_PP_new,0.3387337583951447
Power,monetary,PV_roof_ex,0.12797449563098215
Power,monetary,Trans:CNOR,0.0021999999999999997
Power,monetary,Trans:CSUD,0.002200000000000002
Power,monetary,Trans:NORD,0.0022000000000000014
Power,monetary,Trans:SARD,0.002199999999999992
Power,monetary,Trans:SICI,0.0021999999999999962
Power,monetary,Trans:SUD,0.0022000000000000006
Power,monetary,Wind_PP_ex,0.08441556288094507
Power,monetary,Wind_off_PP_new,5.449904978282651
Power,monetary,Wind_on_PP_new,7.045556904907517
