costs,locs,techs,cost
monetary,CNOR,Battery_new,288996523.3416959
monetary,CNOR,Geo_PP_ex,427489354.75546366
monetary,CNOR,Geo_PP_new,618984294.9379594
monetary,CNOR,Hydrodam_PP_ex,193623312.4862109
monetary,CNOR,Hydroror_PP_ex,106634504.00412798
monetary,CNOR,Hydroror_PP_new,0.0
monetary,CNOR,PHS_PP_new,0.0
monetary,CNOR,PV_PP_ex,135992105.98164257
monetary,CNOR,PV_PP_new,197473953.1564793
monetary,CNOR,PV_roof_ex,286810476.0933757
monetary,CNOR,PV_roof_new,282461984.7184916
monetary,CNOR,Trans:CSUD,3091310.5868263124
monetary,CNOR,Trans:NORD,11213082.5113005
monetary,CNOR,Trans:SARD,348871.40505786863
monetary,CNOR,Wind_PP_ex,32630701.911527503
monetary,CNOR,Wind_off_PP_new,15756334313.49712
monetary,CNOR,Wind_on_PP_new,0.0
monetary,CSUD,Battery_new,250297076.776814
monetary,CSUD,Hydrodam_PP_ex,137987246.74650222
monetary,CSUD,Hydroror_PP_ex,168551312.78071842
monetary,CSUD,Hydroror_PP_new,0.0
monetary,CSUD,PHS_PP_ex,402822115.98590255
monetary,CSUD,PHS_PP_new,0.0
monetary,CSUD,PV_PP_ex,138473282.54603395
monetary,CSUD,PV_PP_new,0.0
monetary,CSUD,PV_roof_ex,417178874.3176373
monetary,CSUD,PV_roof_new,0.0
monetary,CSUD,Trans:CNOR,2997685.593035294
monetary,CSUD,Trans:SARD,1170743.0703772004
monetary,CSUD,Trans:SUD,6464472.945510645
monetary,CSUD,Wind_PP_ex,455257262.8138415
monetary,CSUD,Wind_off_PP_new,114027384571.9344
monetary,CSUD,Wind_on_PP_new,0.0
monetary,NORD,Battery_new,375259919.9953389
monetary,NORD,Hydrodam_PP_ex,1804373198.1309934
monetary,NORD,Hydroror_PP_ex,1317452097.8574522
monetary,NORD,Hydroror_PP_new,1011307876.6843104
monetary,NORD,PHS_PP_ex,1213498629.002148
monetary,NORD,PHS_PP_new,585661660.6005627
monetary,NORD,PV_PP_ex,856005914.7150307
monetary,NORD,PV_PP_new,19647847799.2106
monetary,NORD,PV_roof_ex,1152108991.2405417
monetary,NORD,PV_roof_new,17611388046.803204
monetary,NORD,Trans:CNOR,30907.41556330575
monetary,NORD,Wind_off_PP_new,7357536257556.639
monetary,NORD,Wind_on_PP_new,5008976922.220852
monetary,SARD,Battery_new,246360809.54554838
monetary,SARD,Hydrodam_PP_ex,45097075.31324407
monetary,SARD,Hydroror_PP_ex,13759290.839242319
monetary,SARD,Hydroror_PP_new,0.0
monetary,SARD,PHS_PP_ex,56792886.07296782
monetary,SARD,PHS_PP_new,0.0
monetary,SARD,PV_PP_ex,48087564.843204625
monetary,SARD,PV_PP_new,0.0
monetary,SARD,PV_roof_ex,127587205.72881074
monetary,SARD,PV_roof_new,3721876.5882018926
monetary,SARD,Trans:CNOR,93377.10810652148
monetary,SARD,Trans:CSUD,591039.1730737351
monetary,SARD,Wind_PP_ex,215244690.32001576
monetary,SARD,Wind_off_PP_new,11263805146.397537
monetary,SARD,Wind_on_PP_new,0.0
monetary,SICI,Battery_new,254933742.03894398
monetary,SICI,Hydrodam_PP_ex,3921484.8098473097
monetary,SICI,Hydroror_PP_ex,44717695.227537535
monetary,SICI,Hydroror_PP_new,0.0
monetary,SICI,PHS_PP_ex,137549015.21469843
monetary,SICI,PHS_PP_new,0.0
monetary,SICI,PV_PP_ex,74553448.19671282
monetary,SICI,PV_PP_new,329308687.3327231
monetary,SICI,PV_roof_ex,195726421.86735818
monetary,SICI,PV_roof_new,641783834.7211348
monetary,SICI,Trans:SUD,206400.5416063811
monetary,SICI,Wind_PP_ex,417908869.05968356
monetary,SICI,Wind_off_PP_new,140792342715.13892
monetary,SICI,Wind_on_PP_new,4474369963.440189
monetary,SUD,Battery_new,281210807.12572384
monetary,SUD,Hydrodam_PP_ex,168378754.02281886
monetary,SUD,Hydroror_PP_ex,89435390.45507507
monetary,SUD,Hydroror_PP_new,0.0
monetary,SUD,PHS_PP_new,0.0
monetary,SUD,PV_PP_ex,131147904.1178308
monetary,SUD,PV_PP_new,2071362334.1034906
monetary,SUD,PV_roof_ex,548590219.7276931
monetary,SUD,PV_roof_new,6270277734.216459
monetary,SUD,Trans:CSUD,1894730.1300986754
monetary,SUD,Trans:SICI,1032841.9299590628
monetary,SUD,Wind_PP_ex,1189841196.8100963
monetary,SUD,Wind_off_PP_new,31788784303.246872
monetary,SUD,Wind_on_PP_new,0.0
