locs,techs,timesteps,required_resource
CNOR,demand_power,2019-01-01 00:00:00,-3331268.456
CNOR,demand_power,2019-01-01 01:00:00,-3203995.085
CNOR,demand_power,2019-01-01 02:00:00,-3064065.384
CNOR,demand_power,2019-01-01 03:00:00,-2957581.647
CNOR,demand_power,2019-01-01 04:00:00,-2805468.232
CNOR,demand_power,2019-01-01 05:00:00,-2811014.27
CNOR,demand_power,2019-01-01 06:00:00,-2903933.96
CNOR,demand_power,2019-01-01 07:00:00,-2972973.022
CNOR,demand_power,2019-01-01 08:00:00,-3123536.365
CNOR,demand_power,2019-01-01 09:00:00,-3482039.969
CNOR,demand_power,2019-01-01 10:00:00,-3711704.117
CNOR,demand_power,2019-01-01 11:00:00,-3995448.765
CNOR,demand_power,2019-01-01 12:00:00,-4008540.195
CNOR,demand_power,2019-01-01 13:00:00,-3982236.55
CNOR,demand_power,2019-01-01 14:00:00,-3997134.263
CNOR,demand_power,2019-01-01 15:00:00,-3945843.252
CNOR,demand_power,2019-01-01 16:00:00,-3872386.851
CNOR,demand_power,2019-01-01 17:00:00,-4269001.734
CNOR,demand_power,2019-01-01 18:00:00,-4396890.467
CNOR,demand_power,2019-01-01 19:00:00,-4559462.294
CNOR,demand_power,2019-01-01 20:00:00,-4454743.663
CNOR,demand_power,2019-01-01 21:00:00,-4210754.157
CNOR,demand_power,2019-01-01 22:00:00,-3894461.196
CNOR,demand_power,2019-01-01 23:00:00,-3523785.316
CNOR,demand_power,2019-01-02 00:00:00,-3201968.736
CNOR,demand_power,2019-01-02 01:00:00,-2965982.142
CNOR,demand_power,2019-01-02 02:00:00,-2909059.538
CNOR,demand_power,2019-01-02 03:00:00,-2910351.57
CNOR,demand_power,2019-01-02 04:00:00,-2942240.142
CNOR,demand_power,2019-01-02 05:00:00,-3184684.15
CNOR,demand_power,2019-01-02 06:00:00,-3752528.937
CNOR,demand_power,2019-01-02 07:00:00,-4481346.525
CNOR,demand_power,2019-01-02 08:00:00,-5219633.827
CNOR,demand_power,2019-01-02 09:00:00,-5731280.72
CNOR,demand_power,2019-01-02 10:00:00,-5767509.768
CNOR,demand_power,2019-01-02 11:00:00,-5790028.364
CNOR,demand_power,2019-01-02 12:00:00,-5471917.225
CNOR,demand_power,2019-01-02 13:00:00,-5239836.008
CNOR,demand_power,2019-01-02 14:00:00,-5480353.864
CNOR,demand_power,2019-01-02 15:00:00,-5548059.717
CNOR,demand_power,2019-01-02 16:00:00,-5560131.339
CNOR,demand_power,2019-01-02 17:00:00,-5836051.051
CNOR,demand_power,2019-01-02 18:00:00,-5805702.028
CNOR,demand_power,2019-01-02 19:00:00,-5784961.806
CNOR,demand_power,2019-01-02 20:00:00,-5459500.177
CNOR,demand_power,2019-01-02 21:00:00,-4970523.776
CNOR,demand_power,2019-01-02 22:00:00,-4499959.744
CNOR,demand_power,2019-01-02 23:00:00,-3926088.525
CNOR,demand_power,2019-01-03 00:00:00,-3444228.365
CNOR,demand_power,2019-01-03 01:00:00,-3249604.632
CNOR,demand_power,2019-01-03 02:00:00,-3180342.758
CNOR,demand_power,2019-01-03 03:00:00,-3146420.06
CNOR,demand_power,2019-01-03 04:00:00,-3143625.538
CNOR,demand_power,2019-01-03 05:00:00,-3322350.508
CNOR,demand_power,2019-01-03 06:00:00,-3902117.766
CNOR,demand_power,2019-01-03 07:00:00,-4613623.774
CNOR,demand_power,2019-01-03 08:00:00,-5256858.893
CNOR,demand_power,2019-01-03 09:00:00,-5561488.796
CNOR,demand_power,2019-01-03 10:00:00,-5774049.993
CNOR,demand_power,2019-01-03 11:00:00,-5729823.067
CNOR,demand_power,2019-01-03 12:00:00,-5705370.998
CNOR,demand_power,2019-01-03 13:00:00,-5482302.892
CNOR,demand_power,2019-01-03 14:00:00,-5527090.736
CNOR,demand_power,2019-01-03 15:00:00,-5528439.958
CNOR,demand_power,2019-01-03 16:00:00,-5597776.407
CNOR,demand_power,2019-01-03 17:00:00,-5876888.224
CNOR,demand_power,2019-01-03 18:00:00,-5816759.789
CNOR,demand_power,2019-01-03 19:00:00,-5799615.204
CNOR,demand_power,2019-01-03 20:00:00,-5404978.63
CNOR,demand_power,2019-01-03 21:00:00,-4935128.326
CNOR,demand_power,2019-01-03 22:00:00,-4445791.401
CNOR,demand_power,2019-01-03 23:00:00,-3905321.767
CNOR,demand_power,2019-01-04 00:00:00,-3434096.621
CNOR,demand_power,2019-01-04 01:00:00,-3209526.482
CNOR,demand_power,2019-01-04 02:00:00,-3136497.402
CNOR,demand_power,2019-01-04 03:00:00,-3119873.015
CNOR,demand_power,2019-01-04 04:00:00,-3142428.212
