locs,techs,resource_cap
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,Hydroror_PP_new,0.0
CNOR,PHS_PP_new,0.0
CNOR,PV_PP_ex,997917.0
CNOR,PV_PP_new,1435703.0015973526
CNOR,PV_roof_ex,1430550.0
CNOR,PV_roof_new,1408860.6446421605
CNOR,Wind_PP_ex,164506.0
CNOR,Wind_off_PP_new,15704216.593339976
CNOR,Wind_on_PP_new,0.0
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,Hydroror_PP_new,0.0
CSUD,PHS_PP_ex,10.0
CSUD,PHS_PP_new,0.0
CSUD,PV_PP_ex,1003232.0
CSUD,PV_PP_new,0.0
CSUD,PV_roof_ex,2054400.0
CSUD,PV_roof_new,0.0
CSUD,Wind_PP_ex,2295156.0
CSUD,Wind_off_PP_new,28471887.345435925
CSUD,Wind_on_PP_new,0.0
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3828493.37375
NORD,Hydroror_PP_new,2938843.4775
NORD,PHS_PP_ex,6.536035425
NORD,PHS_PP_new,11205885.005846351
NORD,PV_PP_ex,6056820.0
NORD,PV_PP_new,63825242.496358804
NORD,PV_roof_ex,5541008.0
NORD,PV_roof_new,46459988.25
NORD,Wind_off_PP_new,57296077.96457179
NORD,Wind_on_PP_new,24233225.29031986
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,Hydroror_PP_new,0.0
SARD,PHS_PP_ex,10.0
SARD,PHS_PP_new,0.0
SARD,PV_PP_ex,353683.0
SARD,PV_PP_new,0.0
SARD,PV_roof_ex,637846.0
SARD,PV_roof_new,18371.228128368624
SARD,Wind_PP_ex,1085145.0
SARD,Wind_off_PP_new,5317512.977115471
SARD,Wind_on_PP_new,0.0
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,Hydroror_PP_new,0.0
SICI,PHS_PP_ex,10.0
SICI,PHS_PP_new,0.0
SICI,PV_PP_ex,535088.0
SICI,PV_PP_new,2310571.129862983
SICI,PV_roof_ex,954848.0
SICI,PV_roof_new,3020167.371575038
SICI,Wind_PP_ex,2106866.0
SICI,Wind_off_PP_new,9567232.263739811
SICI,Wind_on_PP_new,6435573.118739811
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,Hydroror_PP_new,0.0
SUD,PHS_PP_new,0.0
SUD,PV_PP_ex,922410.0
SUD,PV_PP_new,13113520.420534283
SUD,PV_roof_ex,2647884.0
SUD,PV_roof_new,20023302.926761594
SUD,Wind_PP_ex,5998523.0
SUD,Wind_off_PP_new,17839326.776672777
SUD,Wind_on_PP_new,0.0
