carriers,techs,systemwide_capacity_factor
Power,Battery_new,0.02276601117841598
Power,Geo_PP_ex,0.0014310400089447668
Power,Geo_PP_new,0.0013698630136986301
Power,Hydrodam_PP_ex,0.4248689954077938
Power,Hydroror_PP_ex,0.5025411411097201
Power,Hydroror_PP_new,0.42422876353177896
Power,PHS_PP_ex,1.492812602530147e-07
Power,PHS_PP_new,0.2564361241078342
Power,PV_PP_ex,0.16886324468187192
Power,PV_PP_new,0.03331447296262142
Power,PV_roof_ex,0.17034178660359936
Power,PV_roof_new,0.026794823118327468
Power,Trans:CNOR,0.005242560793305317
Power,Trans:CSUD,0.011692432607517117
Power,Trans:NORD,0.036941767681052305
Power,Trans:SARD,0.040436357128584996
Power,Trans:SICI,0.02381905654626319
Power,Trans:SUD,0.0320503046403774
Power,Wind_PP_ex,0.2568844441364225
Power,Wind_off_PP_new,0.00206170107690785
Power,Wind_on_PP_new,0.04756620923157782
