locs,techs,lifetime
CNOR,Geo_PP_ex,50.0
CNOR,Geo_PP_new,50.0
CNOR,Hydrodam_PP_ex,80.0
CNOR,Hydroror_PP_ex,30.0
CNOR,Hydroror_PP_new,30.0
CNOR,PEM_new,25.0
CNOR,PHS_PP_new,50.0
CNOR,PV_PP_ex,25.0
CNOR,PV_PP_new,25.0
CNOR,PV_roof_ex,20.0
CNOR,PV_roof_new,20.0
CNOR,Trans:CSUD,40.0
CNOR,Trans:NORD,40.0
CNOR,Trans:SARD,40.0
CNOR,Wind_PP_ex,20.0
CNOR,Wind_off_PP_new,30.0
CNOR,Wind_on_PP_new,20.0
CSUD,Hydrodam_PP_ex,80.0
CSUD,Hydroror_PP_ex,30.0
CSUD,Hydroror_PP_new,30.0
CSUD,PEM_new,25.0
CSUD,PHS_PP_ex,50.0
CSUD,PHS_PP_new,50.0
CSUD,PV_PP_ex,25.0
CSUD,PV_PP_new,25.0
CSUD,PV_roof_ex,20.0
CSUD,PV_roof_new,20.0
CSUD,Trans:CNOR,40.0
CSUD,Trans:SARD,40.0
CSUD,Trans:SUD,40.0
CSUD,Wind_PP_ex,20.0
CSUD,Wind_off_PP_new,30.0
CSUD,Wind_on_PP_new,20.0
NORD,Hydrodam_PP_ex,80.0
NORD,Hydroror_PP_ex,30.0
NORD,Hydroror_PP_new,30.0
NORD,PEM_new,25.0
NORD,PHS_PP_ex,50.0
NORD,PHS_PP_new,50.0
NORD,PV_PP_ex,25.0
NORD,PV_PP_new,25.0
NORD,PV_roof_ex,20.0
NORD,PV_roof_new,20.0
NORD,Trans:CNOR,40.0
NORD,Wind_off_PP_new,30.0
NORD,Wind_on_PP_new,20.0
SARD,Hydrodam_PP_ex,80.0
SARD,Hydroror_PP_ex,30.0
SARD,Hydroror_PP_new,30.0
SARD,PEM_new,25.0
SARD,PHS_PP_ex,50.0
SARD,PHS_PP_new,50.0
SARD,PV_PP_ex,25.0
SARD,PV_PP_new,25.0
SARD,PV_roof_ex,20.0
SARD,PV_roof_new,20.0
SARD,Trans:CNOR,40.0
SARD,Trans:CSUD,40.0
SARD,Wind_PP_ex,20.0
SARD,Wind_off_PP_new,30.0
SARD,Wind_on_PP_new,20.0
SICI,Hydrodam_PP_ex,80.0
SICI,Hydroror_PP_ex,30.0
SICI,Hydroror_PP_new,30.0
SICI,PEM_new,25.0
SICI,PHS_PP_ex,50.0
SICI,PHS_PP_new,50.0
SICI,PV_PP_ex,25.0
SICI,PV_PP_new,25.0
SICI,PV_roof_ex,20.0
SICI,PV_roof_new,20.0
SICI,Trans:SUD,40.0
SICI,Wind_PP_ex,20.0
SICI,Wind_off_PP_new,30.0
SICI,Wind_on_PP_new,20.0
SUD,Hydrodam_PP_ex,80.0
SUD,Hydroror_PP_ex,30.0
SUD,Hydroror_PP_new,30.0
SUD,PEM_new,25.0
SUD,PHS_PP_new,50.0
SUD,PV_PP_ex,25.0
SUD,PV_PP_new,25.0
SUD,PV_roof_ex,20.0
SUD,PV_roof_new,20.0
SUD,Trans:CSUD,40.0
SUD,Trans:SICI,40.0
SUD,Wind_PP_ex,20.0
SUD,Wind_off_PP_new,30.0
SUD,Wind_on_PP_new,20.0
