costs,locs,techs,cost_investment_rhs
monetary,CNOR,Geo_PP_ex,427296808.18488
monetary,CNOR,Geo_PP_new,618717410.1379597
monetary,CNOR,Hydrodam_PP_ex,193623312.4862109
monetary,CNOR,Hydroror_PP_ex,106634504.00412796
monetary,CNOR,Hydroror_PP_new,0.0
monetary,CNOR,PEM_new,238120492.05547243
monetary,CNOR,PHS_PP_new,0.0
monetary,CNOR,PV_PP_ex,135992105.98164254
monetary,CNOR,PV_PP_new,0.0
monetary,CNOR,PV_roof_ex,286810476.0933756
monetary,CNOR,PV_roof_new,0.0
monetary,CNOR,Wind_PP_ex,32630701.911527507
monetary,CNOR,Wind_off_PP_new,23279994218.385277
monetary,CNOR,Wind_on_PP_new,0.0
monetary,CSUD,Hydrodam_PP_ex,137987246.74650222
monetary,CSUD,Hydroror_PP_ex,168551312.7807184
monetary,CSUD,Hydroror_PP_new,0.0
monetary,CSUD,PEM_new,119060246.02773622
monetary,CSUD,PHS_PP_ex,402822115.98590255
monetary,CSUD,PHS_PP_new,0.0
monetary,CSUD,PV_PP_ex,138473282.54603395
monetary,CSUD,PV_PP_new,0.0
monetary,CSUD,PV_roof_ex,417178874.31763726
monetary,CSUD,PV_roof_new,0.0
monetary,CSUD,Wind_PP_ex,455257262.8138416
monetary,CSUD,Wind_off_PP_new,179743738900.95325
monetary,CSUD,Wind_on_PP_new,0.0
monetary,NORD,Hydrodam_PP_ex,1804373198.1309934
monetary,NORD,Hydroror_PP_ex,1317452097.857452
monetary,NORD,Hydroror_PP_new,1011307876.6843104
monetary,NORD,PEM_new,238120492.05547243
monetary,NORD,PHS_PP_ex,1213498629.002148
monetary,NORD,PHS_PP_new,445477352.5354629
monetary,NORD,PV_PP_ex,856005914.7150307
monetary,NORD,PV_PP_new,21622407089.35895
monetary,NORD,PV_roof_ex,1152108991.2405417
monetary,NORD,PV_roof_new,1849512676.7659433
monetary,NORD,Wind_off_PP_new,9984760458769.822
monetary,NORD,Wind_on_PP_new,0.0
monetary,SARD,Hydrodam_PP_ex,45097075.31324406
monetary,SARD,Hydroror_PP_ex,13759290.839242319
monetary,SARD,Hydroror_PP_new,0.0
monetary,SARD,PEM_new,151321093.35193405
monetary,SARD,PHS_PP_ex,56792886.07296782
monetary,SARD,PHS_PP_new,0.0
monetary,SARD,PV_PP_ex,48087564.843204625
monetary,SARD,PV_PP_new,338190234.97391856
monetary,SARD,PV_roof_ex,127587205.72881074
monetary,SARD,PV_roof_new,0.0
monetary,SARD,Wind_PP_ex,215244690.32001576
monetary,SARD,Wind_off_PP_new,14125015078.78698
monetary,SARD,Wind_on_PP_new,0.0
monetary,SICI,Hydrodam_PP_ex,3921484.8098473097
monetary,SICI,Hydroror_PP_ex,44717695.227537535
monetary,SICI,Hydroror_PP_new,0.0
monetary,SICI,PEM_new,143496915.3012745
monetary,SICI,PHS_PP_ex,137549015.21469843
monetary,SICI,PHS_PP_new,140184308.06509963
monetary,SICI,PV_PP_ex,74553448.19671282
monetary,SICI,PV_PP_new,219992995.36796612
monetary,SICI,PV_roof_ex,195726421.86735815
monetary,SICI,PV_roof_new,0.0
monetary,SICI,Wind_PP_ex,417908869.0596836
monetary,SICI,Wind_off_PP_new,210373888091.675
monetary,SICI,Wind_on_PP_new,9483346885.661041
monetary,SUD,Hydrodam_PP_ex,168378754.02281886
monetary,SUD,Hydroror_PP_ex,89435390.45507507
monetary,SUD,Hydroror_PP_new,0.0
monetary,SUD,PEM_new,144232321.86733162
monetary,SUD,PHS_PP_new,0.0
monetary,SUD,PV_PP_ex,131147904.11783078
monetary,SUD,PV_PP_new,65402454.102458134
monetary,SUD,PV_roof_ex,548590219.7276931
monetary,SUD,PV_roof_new,0.0
monetary,SUD,Wind_PP_ex,1189841196.8100963
monetary,SUD,Wind_off_PP_new,88571553663.59818
monetary,SUD,Wind_on_PP_new,0.0
