locs,techs,resource_cap
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,Hydroror_PP_new,0.0
CNOR,PHS_PP_new,0.0
CNOR,PV_PP_ex,997917.0
CNOR,PV_PP_new,0.0
CNOR,PV_roof_ex,1430550.0
CNOR,PV_roof_new,0.0
CNOR,Wind_PP_ex,164506.0
CNOR,Wind_off_PP_new,20560761.176276594
CNOR,Wind_on_PP_new,0.0
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,Hydroror_PP_new,0.0
CSUD,PHS_PP_ex,10.0
CSUD,PHS_PP_new,0.0
CSUD,PV_PP_ex,1003232.0
CSUD,PV_PP_new,0.0
CSUD,PV_roof_ex,2054400.0
CSUD,PV_roof_new,0.0
CSUD,Wind_PP_ex,2295156.0
CSUD,Wind_off_PP_new,30780394.174290285
CSUD,Wind_on_PP_new,0.0
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3828493.37375
NORD,Hydroror_PP_new,2938843.4775
NORD,PHS_PP_ex,6.536035425
NORD,PHS_PP_new,5606863.570486414
NORD,PV_PP_ex,6056820.0
NORD,PV_PP_new,75308181.42
NORD,PV_roof_ex,5541008.0
NORD,PV_roof_new,8863214.249375405
NORD,Wind_off_PP_new,59848562.616769016
NORD,Wind_on_PP_new,0.0
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,Hydroror_PP_new,0.0
SARD,PHS_PP_ex,10.0
SARD,PHS_PP_new,0.0
SARD,PV_PP_ex,353683.0
SARD,PV_PP_new,2352851.4334294237
SARD,PV_roof_ex,637846.0
SARD,PV_roof_new,0.0
SARD,Wind_PP_ex,1085145.0
SARD,Wind_off_PP_new,4957242.431222933
SARD,Wind_on_PP_new,0.0
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,Hydroror_PP_new,0.0
SICI,PHS_PP_ex,10.0
SICI,PHS_PP_new,3647038.999332438
SICI,PV_PP_ex,535088.0
SICI,PV_PP_new,1558460.987854458
SICI,PV_roof_ex,954848.0
SICI,PV_roof_new,0.0
SICI,Wind_PP_ex,2106866.0
SICI,Wind_off_PP_new,9659283.306054905
SICI,Wind_on_PP_new,8665067.463248
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,Hydroror_PP_new,0.0
SUD,PHS_PP_new,0.0
SUD,PV_PP_ex,922410.0
SUD,PV_PP_new,455570.4057804718
SUD,PV_roof_ex,2663664.0
SUD,PV_roof_new,0.0
SUD,Wind_PP_ex,5998523.0
SUD,Wind_off_PP_new,18109819.849680062
SUD,Wind_on_PP_new,0.0
