carriers,techs,systemwide_capacity_factor
Power,Geo_PP_ex,0.0009132420091324201
Power,Geo_PP_new,0.0009132420091324201
Power,Hydrodam_PP_ex,0.39916863644050327
Power,Hydroror_PP_ex,0.4691938072400737
Power,Hydroror_PP_new,0.42854168501152035
Power,PEM_new,0.014577912153412387
Power,PHS_PP_ex,1.4928126025301463e-07
Power,PHS_PP_new,0.24087642653645128
Power,PV_PP_ex,0.1554740715111223
Power,PV_PP_new,0.04628391742005457
Power,PV_roof_ex,0.16333811860804928
Power,PV_roof_new,0.04637659318212241
Power,Trans:CNOR,0.004492353013633998
Power,Trans:CSUD,0.011432696049929601
Power,Trans:NORD,0.03807919136766958
Power,Trans:SARD,0.03457582745368474
Power,Trans:SICI,0.028177232164520404
Power,Trans:SUD,0.01938037114076057
Power,Wind_PP_ex,0.26665553258926183
Power,Wind_off_PP_new,0.0016234225234024234
Power,Wind_on_PP_new,0.025138211321941332
