carriers,costs,techs,systemwide_levelised_cost
Power,monetary,Geo_PP_ex,65.39468864517751
Power,monetary,Geo_PP_new,65.39468864517747
Power,monetary,Hydrodam_PP_ex,0.07009225588647718
Power,monetary,Hydroror_PP_ex,0.08369117820004005
Power,monetary,Hydroror_PP_new,0.09163025186459663
Power,monetary,PEM_new,0.9396069772485353
Power,monetary,PHS_PP_ex,183246.71335466183
Power,monetary,PHS_PP_new,0.11356570130231165
Power,monetary,PV_PP_ex,0.08675136113930022
Power,monetary,PV_PP_new,0.2914098044694606
Power,monetary,PV_roof_ex,0.1214840917481473
Power,monetary,PV_roof_new,0.4278663356971043
Power,monetary,Trans:CNOR,0.002199999999999996
Power,monetary,Trans:CSUD,0.0021999999999999962
Power,monetary,Trans:NORD,0.0021999999999999967
Power,monetary,Trans:SARD,0.002200000000000001
Power,monetary,Trans:SICI,0.002199999999999998
Power,monetary,Trans:SUD,0.0022000000000000036
Power,monetary,Wind_PP_ex,0.0841518412466683
Power,monetary,Wind_off_PP_new,30.901342510397512
Power,monetary,Wind_on_PP_new,0.8926472038371115
