techs,names
Battery_new,New Battery
Geo_PP_ex,Existing Geothermal
Geo_PP_new,New Geothermal
Hydrodam_PP_ex,Existing Hydro dam
Hydroror_PP_ex,Existing Hydro ror
Hydroror_PP_new,New Hydro ror
Nuclear_PP_new,New Nuclear power Plant
OXC_PP_new,New OXC Power Plant with Carbon Capture Technology
PEM_new,New Electrolyzer/Fuel Cell
PHS_PP_ex,Existing PHS
PHS_PP_new,New PHS
PV_PP_ex,Existing PV farm
PV_PP_new,New PV farm
PV_roof_ex,Existing PV rooftop
PV_roof_new,New PV rooftop
Trans,Transmission
Wind_PP_ex,Existing Wind
Wind_off_PP_new,New Off-shore Wind
Wind_on_PP_new,New On-shore Wind
demand_power,Power Demand
