costs,locs,techs,cost_investment
monetary,CNOR,Geo_PP_ex,427296808.18488
monetary,CNOR,Geo_PP_new,618717410.1379597
monetary,CNOR,Hydrodam_PP_ex,193623312.4862109
monetary,CNOR,Hydroror_PP_ex,106634504.00412798
monetary,CNOR,Hydroror_PP_new,0.0
monetary,CNOR,Nuclear_PP_new,2406272138.1305757
monetary,CNOR,OXC_PP_new,206116368.64153212
monetary,CNOR,PHS_PP_new,0.0
monetary,CNOR,PV_PP_ex,135992105.98164257
monetary,CNOR,PV_PP_new,0.0
monetary,CNOR,PV_roof_ex,286810476.0933757
monetary,CNOR,PV_roof_new,0.0
monetary,CNOR,Wind_PP_ex,32630701.911527503
monetary,CNOR,Wind_off_PP_new,0.0
monetary,CNOR,Wind_on_PP_new,6097915619.227044
monetary,CSUD,Hydrodam_PP_ex,137987246.74650222
monetary,CSUD,Hydroror_PP_ex,168551312.78071842
monetary,CSUD,Hydroror_PP_new,0.0
monetary,CSUD,Nuclear_PP_new,2406272138.1305757
monetary,CSUD,OXC_PP_new,906912022.0227413
monetary,CSUD,PHS_PP_ex,402822115.98590255
monetary,CSUD,PHS_PP_new,0.0
monetary,CSUD,PV_PP_ex,138473282.54603395
monetary,CSUD,PV_PP_new,0.0
monetary,CSUD,PV_roof_ex,417178874.3176373
monetary,CSUD,PV_roof_new,0.0
monetary,CSUD,Wind_PP_ex,455257262.8138415
monetary,CSUD,Wind_off_PP_new,16286129232.294273
monetary,CSUD,Wind_on_PP_new,0.0
monetary,NORD,Hydrodam_PP_ex,1804373198.1309934
monetary,NORD,Hydroror_PP_ex,1317452097.8574522
monetary,NORD,Hydroror_PP_new,1011307876.6843104
monetary,NORD,Nuclear_PP_new,2406272138.1305757
monetary,NORD,OXC_PP_new,2885629160.9814496
monetary,NORD,PHS_PP_ex,1213498629.002148
monetary,NORD,PHS_PP_new,585661660.6005627
monetary,NORD,PV_PP_ex,856005914.7150307
monetary,NORD,PV_PP_new,5167797887.291614
monetary,NORD,PV_roof_ex,1152108991.2405417
monetary,NORD,PV_roof_new,0.0
monetary,NORD,Wind_off_PP_new,8603541332.311462
monetary,NORD,Wind_on_PP_new,0.0
monetary,SARD,Hydrodam_PP_ex,45097075.31324407
monetary,SARD,Hydroror_PP_ex,13759290.839242319
monetary,SARD,Hydroror_PP_new,0.0
monetary,SARD,Nuclear_PP_new,1049475789.8708402
monetary,SARD,OXC_PP_new,247339642.36983854
monetary,SARD,PHS_PP_ex,56792886.07296782
monetary,SARD,PHS_PP_new,0.0
monetary,SARD,PV_PP_ex,48087564.843204625
monetary,SARD,PV_PP_new,0.0
monetary,SARD,PV_roof_ex,127587205.72881074
monetary,SARD,PV_roof_new,0.0
monetary,SARD,Wind_PP_ex,215244690.32001576
monetary,SARD,Wind_off_PP_new,0.0
monetary,SARD,Wind_on_PP_new,0.0
monetary,SICI,Hydrodam_PP_ex,3921484.8098473097
monetary,SICI,Hydroror_PP_ex,44717695.227537535
monetary,SICI,Hydroror_PP_new,0.0
monetary,SICI,Nuclear_PP_new,2137150054.8221638
monetary,SICI,OXC_PP_new,412232737.28306425
monetary,SICI,PHS_PP_ex,137549015.21469843
monetary,SICI,PHS_PP_new,0.0
monetary,SICI,PV_PP_ex,74553448.19671282
monetary,SICI,PV_PP_new,0.0
monetary,SICI,PV_roof_ex,195726421.86735818
monetary,SICI,PV_roof_new,0.0
monetary,SICI,Wind_PP_ex,417908869.05968356
monetary,SICI,Wind_off_PP_new,0.0
monetary,SICI,Wind_on_PP_new,0.0
monetary,SUD,Hydrodam_PP_ex,168378754.02281886
monetary,SUD,Hydroror_PP_ex,89435390.45507507
monetary,SUD,Hydroror_PP_new,0.0
monetary,SUD,Nuclear_PP_new,2406272138.1305757
monetary,SUD,OXC_PP_new,906912022.0227413
monetary,SUD,PHS_PP_new,0.0
monetary,SUD,PV_PP_ex,131147904.1178308
monetary,SUD,PV_PP_new,0.0
monetary,SUD,PV_roof_ex,548590219.7276931
monetary,SUD,PV_roof_new,0.0
monetary,SUD,Wind_PP_ex,1189841196.8100963
monetary,SUD,Wind_off_PP_new,0.0
monetary,SUD,Wind_on_PP_new,3385431266.4339976
