locs,techs,resource_cap
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,Hydroror_PP_new,0.0
CNOR,Nuclear_PP_new,0.0
CNOR,OXC_PP_new,0.0
CNOR,PHS_PP_new,0.0
CNOR,PV_PP_ex,965689.0
CNOR,PV_PP_new,0.0
CNOR,PV_roof_ex,1384350.0
CNOR,PV_roof_new,0.0
CNOR,Wind_PP_ex,114207.99999999999
CNOR,Wind_off_PP_new,0.0
CNOR,Wind_on_PP_new,18496046.975
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,Hydroror_PP_new,0.0
CSUD,Nuclear_PP_new,0.0
CSUD,OXC_PP_new,0.0
CSUD,PHS_PP_ex,10.0
CSUD,PHS_PP_new,0.0
CSUD,PV_PP_ex,990340.0
CSUD,PV_PP_new,0.0
CSUD,PV_roof_ex,2028000.0
CSUD,PV_roof_new,0.0
CSUD,Wind_PP_ex,2063556.0
CSUD,Wind_off_PP_new,25439683.760407675
CSUD,Wind_on_PP_new,0.0
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3828493.37375
NORD,Hydroror_PP_new,2938843.4775
NORD,Nuclear_PP_new,0.0
NORD,OXC_PP_new,0.0
NORD,PHS_PP_ex,6.536035425
NORD,PHS_PP_new,15974070.578699999
NORD,PV_PP_ex,6056820.0
NORD,PV_PP_new,32279255.25602036
NORD,PV_roof_ex,5541008.0
NORD,PV_roof_new,0.0
NORD,Wind_off_PP_new,19401615.02558217
NORD,Wind_on_PP_new,0.0
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,Hydroror_PP_new,0.0
SARD,Nuclear_PP_new,0.0
SARD,OXC_PP_new,0.0
SARD,PHS_PP_ex,10.0
SARD,PHS_PP_new,0.0
SARD,PV_PP_ex,339845.0
SARD,PV_PP_new,0.0
SARD,PV_roof_ex,612890.0
SARD,PV_roof_new,0.0
SARD,Wind_PP_ex,1046820.0
SARD,Wind_off_PP_new,0.0
SARD,Wind_on_PP_new,0.0
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,Hydroror_PP_new,0.0
SICI,Nuclear_PP_new,0.0
SICI,OXC_PP_new,0.0
SICI,PHS_PP_ex,10.0
SICI,PHS_PP_new,0.0
SICI,PV_PP_ex,487132.0
SICI,PV_PP_new,0.0
SICI,PV_roof_ex,869272.0
SICI,PV_roof_new,0.0
SICI,Wind_PP_ex,1637020.0
SICI,Wind_off_PP_new,0.0
SICI,Wind_on_PP_new,0.0
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,Hydroror_PP_new,0.0
SUD,Nuclear_PP_new,0.0
SUD,OXC_PP_new,0.0
SUD,PHS_PP_new,0.0
SUD,PV_PP_ex,931290.0
SUD,PV_PP_new,0.0
SUD,PV_roof_ex,2622636.0
SUD,PV_roof_new,0.0
SUD,Wind_PP_ex,5211633.0
SUD,Wind_off_PP_new,0.0
SUD,Wind_on_PP_new,8802617.322297892
