carriers,costs,techs,systemwide_levelised_cost
Power,monetary,Geo_PP_ex,115.4454051119166
Power,monetary,Geo_PP_new,71.77042727179204
Power,monetary,Hydrodam_PP_ex,0.07295880916206089
Power,monetary,Hydroror_PP_ex,0.0885341015088516
Power,monetary,Hydroror_PP_new,0.10357181703118445
Power,monetary,Nuclear_PP_new,0.057363208890914806
Power,monetary,OXC_PP_new,0.09926069132093877
Power,monetary,PHS_PP_ex,183246.7133546613
Power,monetary,PHS_PP_new,0.09699451986382784
Power,monetary,PV_PP_ex,0.09811849931171289
Power,monetary,PV_PP_new,0.11061048650408918
Power,monetary,PV_roof_ex,0.15796871667792925
Power,monetary,Trans:CNOR,0.0022000000000000014
Power,monetary,Trans:CSUD,0.0021999999999999954
Power,monetary,Trans:NORD,0.0022
Power,monetary,Trans:SARD,0.002199999999999889
Power,monetary,Trans:SICI,0.0022000000000000027
Power,monetary,Trans:SUD,0.0022000000000000027
Power,monetary,Wind_PP_ex,0.4770183047096724
Power,monetary,Wind_off_PP_new,0.24282240828938592
Power,monetary,Wind_on_PP_new,0.3011876006391311
