locs,techs,energy_eff
CNOR,Battery_new,0.7225
CNOR,Geo_PP_new,1.0
CNOR,Hydroror_PP_new,1.0
CNOR,Nuclear_PP_new,0.33
CNOR,OXC_PP_new,0.56
CNOR,PEM_new,0.3969
CNOR,PHS_PP_new,0.87
CNOR,PV_PP_new,1.0
CNOR,PV_roof_new,1.0
CNOR,Trans:CSUD,0.8938114027727885
CNOR,Trans:NORD,0.891988905145909
CNOR,Trans:SARD,0.8100644296311394
CNOR,Wind_off_PP_new,1.0
CNOR,Wind_on_PP_new,1.0
CSUD,Battery_new,0.7225
CSUD,Hydroror_PP_new,1.0
CSUD,Nuclear_PP_new,0.33
CSUD,OXC_PP_new,0.56
CSUD,PEM_new,0.3969
CSUD,PHS_PP_ex,0.87
CSUD,PHS_PP_new,0.87
CSUD,PV_PP_new,1.0
CSUD,PV_roof_new,1.0
CSUD,Trans:CNOR,0.8938114027727885
CSUD,Trans:SARD,0.8448511361608096
CSUD,Trans:SUD,0.8615688736605606
CSUD,Wind_off_PP_new,1.0
CSUD,Wind_on_PP_new,1.0
NORD,Battery_new,0.7225
NORD,Hydroror_PP_new,1.0
NORD,Nuclear_PP_new,0.33
NORD,OXC_PP_new,0.56
NORD,PEM_new,0.3969
NORD,PHS_PP_ex,0.87
NORD,PHS_PP_new,0.87
NORD,PV_PP_new,1.0
NORD,PV_roof_new,1.0
NORD,Trans:CNOR,0.891988905145909
NORD,Wind_on_PP_new,1.0
SARD,Battery_new,0.7225
SARD,Hydroror_PP_new,1.0
SARD,Nuclear_PP_new,0.33
SARD,OXC_PP_new,0.56
SARD,PEM_new,0.3969
SARD,PHS_PP_ex,0.87
SARD,PHS_PP_new,0.87
SARD,PV_PP_new,1.0
SARD,PV_roof_new,1.0
SARD,Trans:CNOR,0.8100644296311394
SARD,Trans:CSUD,0.8448511361608096
SARD,Wind_off_PP_new,1.0
SARD,Wind_on_PP_new,1.0
SICI,Battery_new,0.7225
SICI,Hydroror_PP_new,1.0
SICI,Nuclear_PP_new,0.33
SICI,OXC_PP_new,0.56
SICI,PEM_new,0.3969
SICI,PHS_PP_ex,0.87
SICI,PHS_PP_new,0.87
SICI,PV_PP_new,1.0
SICI,PV_roof_new,1.0
SICI,Trans:SUD,0.8133780329952169
SICI,Wind_off_PP_new,1.0
SICI,Wind_on_PP_new,1.0
SUD,Battery_new,0.7225
SUD,Hydroror_PP_new,1.0
SUD,Nuclear_PP_new,0.33
SUD,OXC_PP_new,0.56
SUD,PEM_new,0.3969
SUD,PHS_PP_new,0.87
SUD,PV_PP_new,1.0
SUD,PV_roof_new,1.0
SUD,Trans:CSUD,0.8615688736605606
SUD,Trans:SICI,0.8133780329952169
SUD,Wind_off_PP_new,1.0
SUD,Wind_on_PP_new,1.0
