locs,techs,energy_prod
CNOR,Battery_new,1.0
CNOR,Geo_PP_ex,1.0
CNOR,Geo_PP_new,1.0
CNOR,Hydrodam_PP_ex,1.0
CNOR,Hydroror_PP_ex,1.0
CNOR,Hydroror_PP_new,1.0
CNOR,Nuclear_PP_new,1.0
CNOR,OXC_PP_new,1.0
CNOR,PEM_new,1.0
CNOR,PHS_PP_new,1.0
CNOR,PV_PP_ex,1.0
CNOR,PV_PP_new,1.0
CNOR,PV_roof_ex,1.0
CNOR,PV_roof_new,1.0
CNOR,Trans:CSUD,1.0
CNOR,Trans:NORD,1.0
CNOR,Trans:SARD,1.0
CNOR,Wind_PP_ex,1.0
CNOR,Wind_off_PP_new,1.0
CNOR,Wind_on_PP_new,1.0
CSUD,Battery_new,1.0
CSUD,Hydrodam_PP_ex,1.0
CSUD,Hydroror_PP_ex,1.0
CSUD,Hydroror_PP_new,1.0
CSUD,Nuclear_PP_new,1.0
CSUD,OXC_PP_new,1.0
CSUD,PEM_new,1.0
CSUD,PHS_PP_ex,1.0
CSUD,PHS_PP_new,1.0
CSUD,PV_PP_ex,1.0
CSUD,PV_PP_new,1.0
CSUD,PV_roof_ex,1.0
CSUD,PV_roof_new,1.0
CSUD,Trans:CNOR,1.0
CSUD,Trans:SARD,1.0
CSUD,Trans:SUD,1.0
CSUD,Wind_PP_ex,1.0
CSUD,Wind_off_PP_new,1.0
CSUD,Wind_on_PP_new,1.0
NORD,Battery_new,1.0
NORD,Hydrodam_PP_ex,1.0
NORD,Hydroror_PP_ex,1.0
NORD,Hydroror_PP_new,1.0
NORD,Nuclear_PP_new,1.0
NORD,OXC_PP_new,1.0
NORD,PEM_new,1.0
NORD,PHS_PP_ex,1.0
NORD,PHS_PP_new,1.0
NORD,PV_PP_ex,1.0
NORD,PV_PP_new,1.0
NORD,PV_roof_ex,1.0
NORD,PV_roof_new,1.0
NORD,Trans:CNOR,1.0
NORD,Wind_on_PP_new,1.0
SARD,Battery_new,1.0
SARD,Hydrodam_PP_ex,1.0
SARD,Hydroror_PP_ex,1.0
SARD,Hydroror_PP_new,1.0
SARD,Nuclear_PP_new,1.0
SARD,OXC_PP_new,1.0
SARD,PEM_new,1.0
SARD,PHS_PP_ex,1.0
SARD,PHS_PP_new,1.0
SARD,PV_PP_ex,1.0
SARD,PV_PP_new,1.0
SARD,PV_roof_ex,1.0
SARD,PV_roof_new,1.0
SARD,Trans:CNOR,1.0
SARD,Trans:CSUD,1.0
SARD,Wind_PP_ex,1.0
SARD,Wind_off_PP_new,1.0
SARD,Wind_on_PP_new,1.0
SICI,Battery_new,1.0
SICI,Hydrodam_PP_ex,1.0
SICI,Hydroror_PP_ex,1.0
SICI,Hydroror_PP_new,1.0
SICI,Nuclear_PP_new,1.0
SICI,OXC_PP_new,1.0
SICI,PEM_new,1.0
SICI,PHS_PP_ex,1.0
SICI,PHS_PP_new,1.0
SICI,PV_PP_ex,1.0
SICI,PV_PP_new,1.0
SICI,PV_roof_ex,1.0
SICI,PV_roof_new,1.0
SICI,Trans:SUD,1.0
SICI,Wind_PP_ex,1.0
SICI,Wind_off_PP_new,1.0
SICI,Wind_on_PP_new,1.0
SUD,Battery_new,1.0
SUD,Hydrodam_PP_ex,1.0
SUD,Hydroror_PP_ex,1.0
SUD,Hydroror_PP_new,1.0
SUD,Nuclear_PP_new,1.0
SUD,OXC_PP_new,1.0
SUD,PEM_new,1.0
SUD,PHS_PP_new,1.0
SUD,PV_PP_ex,1.0
SUD,PV_PP_new,1.0
SUD,PV_roof_ex,1.0
SUD,PV_roof_new,1.0
SUD,Trans:CSUD,1.0
SUD,Trans:SICI,1.0
SUD,Wind_PP_ex,1.0
SUD,Wind_off_PP_new,1.0
SUD,Wind_on_PP_new,1.0
