costs,locs,techs,cost_investment_rhs
monetary,CNOR,Battery_new,248827098.84889162
monetary,CNOR,Geo_PP_ex,427296808.18488
monetary,CNOR,Geo_PP_new,618717410.1379597
monetary,CNOR,Hydrodam_PP_ex,193623312.4862109
monetary,CNOR,Hydroror_PP_ex,106634504.00412796
monetary,CNOR,Hydroror_PP_new,0.0
monetary,CNOR,Nuclear_PP_new,962508855.2522302
monetary,CNOR,OXC_PP_new,206116368.64153212
monetary,CNOR,PEM_new,85548357.43798715
monetary,CNOR,PHS_PP_new,0.0
monetary,CNOR,PV_PP_ex,135992105.98164254
monetary,CNOR,PV_PP_new,0.0
monetary,CNOR,PV_roof_ex,286810476.0933756
monetary,CNOR,PV_roof_new,0.0
monetary,CNOR,Wind_PP_ex,32630701.911527507
monetary,CNOR,Wind_off_PP_new,14847220684.768192
monetary,CNOR,Wind_on_PP_new,7287389276.955201
monetary,CSUD,Battery_new,248325701.24533892
monetary,CSUD,Hydrodam_PP_ex,137987246.74650222
monetary,CSUD,Hydroror_PP_ex,168551312.7807184
monetary,CSUD,Hydroror_PP_new,321376170.81648177
monetary,CSUD,Nuclear_PP_new,962508855.2522302
monetary,CSUD,OXC_PP_new,906912022.0227413
monetary,CSUD,PEM_new,71366679.23543681
monetary,CSUD,PHS_PP_ex,402822115.98590255
monetary,CSUD,PHS_PP_new,0.0
monetary,CSUD,PV_PP_ex,138473282.54603395
monetary,CSUD,PV_PP_new,623465999.0721385
monetary,CSUD,PV_roof_ex,417178874.31763726
monetary,CSUD,PV_roof_new,0.0
monetary,CSUD,Wind_PP_ex,455257262.8138416
monetary,CSUD,Wind_off_PP_new,15962073610.844322
monetary,CSUD,Wind_on_PP_new,0.0
monetary,NORD,Battery_new,287837964.1412299
monetary,NORD,Hydrodam_PP_ex,1804373198.1309934
monetary,NORD,Hydroror_PP_ex,1317452097.857452
monetary,NORD,Hydroror_PP_new,689931705.8678287
monetary,NORD,Nuclear_PP_new,962508855.2522302
monetary,NORD,OXC_PP_new,2885629160.9814496
monetary,NORD,PEM_new,88917174.16153681
monetary,NORD,PHS_PP_ex,1213498629.002148
monetary,NORD,PHS_PP_new,585661660.6005627
monetary,NORD,PV_PP_ex,856005914.7150307
monetary,NORD,PV_PP_new,10097969834.751938
monetary,NORD,PV_roof_ex,1152108991.2405417
monetary,NORD,PV_roof_new,0.0
monetary,NORD,Wind_on_PP_new,0.0
monetary,SARD,Battery_new,241906820.00410256
monetary,SARD,Hydrodam_PP_ex,45097075.31324406
monetary,SARD,Hydroror_PP_ex,13759290.839242319
monetary,SARD,Hydroror_PP_new,0.0
monetary,SARD,Nuclear_PP_new,122107055.90200485
monetary,SARD,OXC_PP_new,247339642.36983854
monetary,SARD,PEM_new,47366197.22653091
monetary,SARD,PHS_PP_ex,56792886.07296782
monetary,SARD,PHS_PP_new,0.0
monetary,SARD,PV_PP_ex,48087564.843204625
monetary,SARD,PV_PP_new,0.0
monetary,SARD,PV_roof_ex,127587205.72881074
monetary,SARD,PV_roof_new,0.0
monetary,SARD,Wind_PP_ex,215244690.32001576
monetary,SARD,Wind_off_PP_new,0.0
monetary,SARD,Wind_on_PP_new,0.0
monetary,SICI,Battery_new,251434007.64311132
monetary,SICI,Hydrodam_PP_ex,3921484.8098473097
monetary,SICI,Hydroror_PP_ex,44717695.227537535
monetary,SICI,Hydroror_PP_new,0.0
monetary,SICI,Nuclear_PP_new,962508855.2522302
monetary,SICI,OXC_PP_new,412232737.28306425
monetary,SICI,PEM_new,59530123.01386812
monetary,SICI,PHS_PP_ex,137549015.21469843
monetary,SICI,PHS_PP_new,0.0
monetary,SICI,PV_PP_ex,74553448.19671282
monetary,SICI,PV_PP_new,0.0
monetary,SICI,PV_roof_ex,195726421.86735815
monetary,SICI,PV_roof_new,0.0
monetary,SICI,Wind_PP_ex,417908869.0596836
monetary,SICI,Wind_off_PP_new,0.0
monetary,SICI,Wind_on_PP_new,0.0
monetary,SUD,Battery_new,266679648.41700628
monetary,SUD,Hydrodam_PP_ex,168378754.02281886
monetary,SUD,Hydroror_PP_ex,89435390.45507507
monetary,SUD,Hydroror_PP_new,0.0
monetary,SUD,Nuclear_PP_new,962508855.2522302
monetary,SUD,OXC_PP_new,906912022.0227413
monetary,SUD,PEM_new,59530123.01386812
monetary,SUD,PHS_PP_new,0.0
monetary,SUD,PV_PP_ex,131147904.11783078
monetary,SUD,PV_PP_new,0.0
monetary,SUD,PV_roof_ex,548590219.7276931
monetary,SUD,PV_roof_new,0.0
monetary,SUD,Wind_PP_ex,1189841196.8100963
monetary,SUD,Wind_off_PP_new,603277907.6774514
monetary,SUD,Wind_on_PP_new,2195957608.70584
