locs,techs,resource_cap
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,Hydroror_PP_new,0.0
CNOR,Nuclear_PP_new,0.0
CNOR,OXC_PP_new,0.0
CNOR,PHS_PP_new,0.0
CNOR,PV_PP_ex,982954.0
CNOR,PV_PP_new,0.0
CNOR,PV_roof_ex,1409100.0
CNOR,PV_roof_new,0.0
CNOR,Wind_PP_ex,164506.0
CNOR,Wind_off_PP_new,26517935.54611307
CNOR,Wind_on_PP_new,24855406.586979043
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,Hydroror_PP_new,934281.2055397441
CSUD,Nuclear_PP_new,0.0
CSUD,OXC_PP_new,0.0
CSUD,PHS_PP_ex,10.0
CSUD,PHS_PP_new,0.0
CSUD,PV_PP_ex,1003232.0
CSUD,PV_PP_new,4458934.6491142735
CSUD,PV_roof_ex,2054400.0
CSUD,PV_roof_new,0.0
CSUD,Wind_PP_ex,2295156.0
CSUD,Wind_off_PP_new,30401971.407838043
CSUD,Wind_on_PP_new,0.0
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3828493.37375
NORD,Hydroror_PP_new,2004929.794829485
NORD,Nuclear_PP_new,0.0
NORD,OXC_PP_new,0.0
NORD,PHS_PP_ex,6.536035425
NORD,PHS_PP_new,15974070.578699999
NORD,PV_PP_ex,6056820.0
NORD,PV_PP_new,57099121.22122554
NORD,PV_roof_ex,5541008.0
NORD,PV_roof_new,0.0
NORD,Wind_on_PP_new,0.0
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,Hydroror_PP_new,0.0
SARD,Nuclear_PP_new,0.0
SARD,OXC_PP_new,0.0
SARD,PHS_PP_ex,10.0
SARD,PHS_PP_new,0.0
SARD,PV_PP_ex,353683.0
SARD,PV_PP_new,0.0
SARD,PV_roof_ex,637846.0
SARD,PV_roof_new,0.0
SARD,Wind_PP_ex,1085145.0
SARD,Wind_off_PP_new,0.0
SARD,Wind_on_PP_new,0.0
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,Hydroror_PP_new,0.0
SICI,Nuclear_PP_new,0.0
SICI,OXC_PP_new,0.0
SICI,PHS_PP_ex,10.0
SICI,PHS_PP_new,0.0
SICI,PV_PP_ex,535088.0
SICI,PV_PP_new,0.0
SICI,PV_roof_ex,954848.0
SICI,PV_roof_new,0.0
SICI,Wind_PP_ex,2106866.0
SICI,Wind_off_PP_new,0.0
SICI,Wind_on_PP_new,0.0
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,Hydroror_PP_new,0.0
SUD,Nuclear_PP_new,0.0
SUD,OXC_PP_new,0.0
SUD,PHS_PP_new,0.0
SUD,PV_PP_ex,922410.0
SUD,PV_PP_new,0.0
SUD,PV_roof_ex,2622636.0
SUD,PV_roof_new,0.0
SUD,Wind_PP_ex,5998523.0
SUD,Wind_off_PP_new,1356317.4368562866
SUD,Wind_on_PP_new,8882100.30143309
