locs,techs,storage_cap
CNOR,Battery_new,10000000.0
CNOR,PEM_new,5000000.0
CNOR,PHS_PP_new,165036320.7905687
CSUD,Battery_new,10000000.0
CSUD,PEM_new,5000000.0
CSUD,PHS_PP_ex,2839.634184375339
CSUD,PHS_PP_new,219960000.0
NORD,Battery_new,10000000.0
NORD,PEM_new,5000000.0
NORD,PHS_PP_ex,2839.575246972262
NORD,PHS_PP_new,219960000.0
SARD,Battery_new,10000000.0
SARD,PEM_new,5000000.0
SARD,PHS_PP_ex,21943000.0
SARD,PHS_PP_new,0.0
SICI,Battery_new,10000000.0
SICI,PEM_new,5000000.0
SICI,PHS_PP_ex,53135000.0
SICI,PHS_PP_new,219960000.0
SUD,Battery_new,10000000.0
SUD,PEM_new,5000000.0
SUD,PHS_PP_new,0.0
