carriers,techs,systemwide_capacity_factor
Power,Battery_new,0.08552162062394686
Power,Geo_PP_ex,0.004161234971091961
Power,Geo_PP_new,0.004223744292237443
Power,Hydrodam_PP_ex,0.4077173484849102
Power,Hydroror_PP_ex,0.4801373263608072
Power,Hydroror_PP_new,0.33838424304107895
Power,Nuclear_PP_new,0.989668529593292
Power,OXC_PP_new,0.22004303745767567
Power,PEM_new,0.03146013383922399
Power,PHS_PP_ex,1.4928126025301506e-07
Power,PHS_PP_new,0.28202933882462033
Power,PV_PP_ex,0.1642305424769806
Power,PV_PP_new,0.10935470446247438
Power,PV_roof_ex,0.1647128197413921
Power,Trans:CNOR,0.22860456743685925
Power,Trans:CSUD,0.06534867558052955
Power,Trans:NORD,0.01284137686833753
Power,Trans:SARD,0.004505625120260435
Power,Trans:SICI,0.0028526633901333263
Power,Trans:SUD,0.08012664943007208
Power,Wind_PP_ex,0.23474281239403494
Power,Wind_off_PP_new,0.18585195481908562
Power,Wind_on_PP_new,0.13058400120936223
