carriers,costs,techs,systemwide_levelised_cost
Power,monetary,Battery_new,0.1563786638663957
Power,monetary,Geo_PP_ex,14.366465611267389
Power,monetary,Geo_PP_new,14.15412727463295
Power,monetary,Hydrodam_PP_ex,0.06862261395354737
Power,monetary,Hydroror_PP_ex,0.08178364891917635
Power,monetary,Hydroror_PP_new,0.11604376781609564
Power,monetary,Nuclear_PP_new,0.055511232706591286
Power,monetary,OXC_PP_new,0.06030914504278441
Power,monetary,PEM_new,0.43539255246221037
Power,monetary,PHS_PP_ex,183246.7133546613
Power,monetary,PHS_PP_new,0.09699451986382775
Power,monetary,PV_PP_ex,0.08212593785561689
Power,monetary,PV_PP_new,0.12333797061366567
Power,monetary,PV_roof_ex,0.12047017966242436
Power,monetary,Trans:CNOR,0.0021999999999999633
Power,monetary,Trans:CSUD,0.002200000000000083
Power,monetary,Trans:NORD,0.002200000000000002
Power,monetary,Trans:SARD,0.002200000000000002
Power,monetary,Trans:SICI,0.002200000000000001
Power,monetary,Trans:SUD,0.0022000000000000517
Power,monetary,Wind_PP_ex,0.09559208146629311
Power,monetary,Wind_off_PP_new,0.2699241742363446
Power,monetary,Wind_on_PP_new,0.17183999447237447
