costs,locs,techs,cost_om_con
monetary,CNOR,Bio_PP_ex,0.15
monetary,CNOR,CCGT_PP_ex,0.0291
monetary,CNOR,Coal_PP_ex,0.00946
monetary,CNOR,Oil_PP_ex,0.01
monetary,CNOR,WTE_PP_ex,-0.1305
monetary,CSUD,Bio_PP_ex,0.15
monetary,CSUD,CCGT_PP_ex,0.0291
monetary,CSUD,Oil_PP_ex,0.01
monetary,CSUD,USC_PP_ex,0.00946
monetary,CSUD,WTE_PP_ex,-0.1305
monetary,NORD,Bio_PP_ex,0.15
monetary,NORD,CCGT_PP_ex,0.0291
monetary,NORD,Oil_PP_ex,0.01
monetary,NORD,WTE_PP_ex,-0.1305
monetary,SARD,Bio_PP_ex,0.15
monetary,SARD,CCGT_PP_ex,0.0291
monetary,SARD,Coal_PP_ex,0.00946
monetary,SARD,Oil_PP_ex,0.01
monetary,SARD,WTE_PP_ex,-0.1305
monetary,SICI,Bio_PP_ex,0.15
monetary,SICI,CCGT_PP_ex,0.0291
monetary,SICI,Oil_PP_ex,0.01
monetary,SUD,Bio_PP_ex,0.15
monetary,SUD,CCGT_PP_ex,0.0291
monetary,SUD,Coal_PP_ex,0.00946
monetary,SUD,Oil_PP_ex,0.01
monetary,SUD,WTE_PP_ex,-0.1305
