locs,techs,lifetime
CNOR,Bio_PP_ex,20.0
CNOR,CCGT_PP_ex,20.0
CNOR,Coal_PP_ex,35.0
CNOR,Geo_PP_ex,50.0
CNOR,Hydrodam_PP_ex,80.0
CNOR,Hydroror_PP_ex,30.0
CNOR,Oil_PP_ex,35.0
CNOR,PV_PP_ex,25.0
CNOR,PV_roof_ex,20.0
CNOR,Trans:CSUD,40.0
CNOR,Trans:NORD,40.0
CNOR,Trans:SARD,40.0
CNOR,WTE_PP_ex,20.0
CNOR,Wind_PP_ex,20.0
CSUD,Bio_PP_ex,20.0
CSUD,CCGT_PP_ex,20.0
CSUD,Hydrodam_PP_ex,80.0
CSUD,Hydroror_PP_ex,30.0
CSUD,Oil_PP_ex,35.0
CSUD,PHS_PP_ex,50.0
CSUD,PV_PP_ex,25.0
CSUD,PV_roof_ex,20.0
CSUD,Trans:CNOR,40.0
CSUD,Trans:SARD,40.0
CSUD,Trans:SUD,40.0
CSUD,USC_PP_ex,35.0
CSUD,WTE_PP_ex,20.0
CSUD,Wind_PP_ex,20.0
NORD,Bio_PP_ex,20.0
NORD,CCGT_PP_ex,20.0
NORD,Hydrodam_PP_ex,80.0
NORD,Hydroror_PP_ex,30.0
NORD,Oil_PP_ex,35.0
NORD,PHS_PP_ex,50.0
NORD,PV_PP_ex,25.0
NORD,PV_roof_ex,20.0
NORD,Trans:CNOR,40.0
NORD,WTE_PP_ex,20.0
NORD,Wind_PP_ex,20.0
SARD,Bio_PP_ex,20.0
SARD,CCGT_PP_ex,20.0
SARD,Coal_PP_ex,35.0
SARD,Hydrodam_PP_ex,80.0
SARD,Hydroror_PP_ex,30.0
SARD,Oil_PP_ex,35.0
SARD,PHS_PP_ex,50.0
SARD,PV_PP_ex,25.0
SARD,PV_roof_ex,20.0
SARD,Trans:CNOR,40.0
SARD,Trans:CSUD,40.0
SARD,WTE_PP_ex,20.0
SARD,Wind_PP_ex,20.0
SARD,Wind_off_PP_1,30.0
SARD,Wind_off_PP_2,30.0
SICI,Bio_PP_ex,20.0
SICI,CCGT_PP_ex,20.0
SICI,Hydrodam_PP_ex,80.0
SICI,Hydroror_PP_ex,30.0
SICI,Oil_PP_ex,35.0
SICI,PHS_PP_ex,50.0
SICI,PV_PP_ex,25.0
SICI,PV_roof_ex,20.0
SICI,Trans:SUD,40.0
SICI,Wind_PP_ex,20.0
SICI,Wind_off_PP_4,30.0
SUD,Bio_PP_ex,20.0
SUD,CCGT_PP_ex,20.0
SUD,Coal_PP_ex,35.0
SUD,Hydrodam_PP_ex,80.0
SUD,Hydroror_PP_ex,30.0
SUD,Oil_PP_ex,35.0
SUD,PV_PP_ex,25.0
SUD,PV_roof_ex,20.0
SUD,Trans:CSUD,40.0
SUD,Trans:SICI,40.0
SUD,WTE_PP_ex,20.0
SUD,Wind_PP_ex,20.0
SUD,Wind_off_PP_3,30.0
SUD,Wind_off_PP_5,30.0
