locs,techs,lookup_loc_techs
CNOR,Bio_PP_ex,CNOR::Bio_PP_ex::Power
CNOR,CCGT_PP_ex,CNOR::CCGT_PP_ex::Power
CNOR,Coal_PP_ex,CNOR::Coal_PP_ex::Power
CNOR,Geo_PP_ex,CNOR::Geo_PP_ex::Power
CNOR,Hydrodam_PP_ex,CNOR::Hydrodam_PP_ex::Power
CNOR,Hydroror_PP_ex,CNOR::Hydroror_PP_ex::Power
CNOR,Oil_PP_ex,CNOR::Oil_PP_ex::Power
CNOR,PV_PP_ex,CNOR::PV_PP_ex::Power
CNOR,PV_roof_ex,CNOR::PV_roof_ex::Power
CNOR,Trans:CSUD,CNOR::Trans:CSUD::Power
CNOR,Trans:NORD,CNOR::Trans:NORD::Power
CNOR,Trans:SARD,CNOR::Trans:SARD::Power
CNOR,WTE_PP_ex,CNOR::WTE_PP_ex::Power
CNOR,Wind_PP_ex,CNOR::Wind_PP_ex::Power
CNOR,demand_power,CNOR::demand_power::Power
CSUD,Bio_PP_ex,CSUD::Bio_PP_ex::Power
CSUD,CCGT_PP_ex,CSUD::CCGT_PP_ex::Power
CSUD,Hydrodam_PP_ex,CSUD::Hydrodam_PP_ex::Power
CSUD,Hydroror_PP_ex,CSUD::Hydroror_PP_ex::Power
CSUD,Oil_PP_ex,CSUD::Oil_PP_ex::Power
CSUD,PHS_PP_ex,CSUD::PHS_PP_ex::Power
CSUD,PV_PP_ex,CSUD::PV_PP_ex::Power
CSUD,PV_roof_ex,CSUD::PV_roof_ex::Power
CSUD,Trans:CNOR,CSUD::Trans:CNOR::Power
CSUD,Trans:SARD,CSUD::Trans:SARD::Power
CSUD,Trans:SUD,CSUD::Trans:SUD::Power
CSUD,USC_PP_ex,CSUD::USC_PP_ex::Power
CSUD,WTE_PP_ex,CSUD::WTE_PP_ex::Power
CSUD,Wind_PP_ex,CSUD::Wind_PP_ex::Power
CSUD,demand_power,CSUD::demand_power::Power
NORD,Bio_PP_ex,NORD::Bio_PP_ex::Power
NORD,CCGT_PP_ex,NORD::CCGT_PP_ex::Power
NORD,Hydrodam_PP_ex,NORD::Hydrodam_PP_ex::Power
NORD,Hydroror_PP_ex,NORD::Hydroror_PP_ex::Power
NORD,Oil_PP_ex,NORD::Oil_PP_ex::Power
NORD,PHS_PP_ex,NORD::PHS_PP_ex::Power
NORD,PV_PP_ex,NORD::PV_PP_ex::Power
NORD,PV_roof_ex,NORD::PV_roof_ex::Power
NORD,Trans:CNOR,NORD::Trans:CNOR::Power
NORD,WTE_PP_ex,NORD::WTE_PP_ex::Power
NORD,Wind_PP_ex,NORD::Wind_PP_ex::Power
NORD,demand_power,NORD::demand_power::Power
SARD,Bio_PP_ex,SARD::Bio_PP_ex::Power
SARD,CCGT_PP_ex,SARD::CCGT_PP_ex::Power
SARD,Coal_PP_ex,SARD::Coal_PP_ex::Power
SARD,Hydrodam_PP_ex,SARD::Hydrodam_PP_ex::Power
SARD,Hydroror_PP_ex,SARD::Hydroror_PP_ex::Power
SARD,Oil_PP_ex,SARD::Oil_PP_ex::Power
SARD,PHS_PP_ex,SARD::PHS_PP_ex::Power
SARD,PV_PP_ex,SARD::PV_PP_ex::Power
SARD,PV_roof_ex,SARD::PV_roof_ex::Power
SARD,Trans:CNOR,SARD::Trans:CNOR::Power
SARD,Trans:CSUD,SARD::Trans:CSUD::Power
SARD,WTE_PP_ex,SARD::WTE_PP_ex::Power
SARD,Wind_PP_ex,SARD::Wind_PP_ex::Power
SARD,Wind_off_PP_1,SARD::Wind_off_PP_1::Power
SARD,Wind_off_PP_2,SARD::Wind_off_PP_2::Power
SARD,demand_power,SARD::demand_power::Power
SICI,Bio_PP_ex,SICI::Bio_PP_ex::Power
SICI,CCGT_PP_ex,SICI::CCGT_PP_ex::Power
SICI,Hydrodam_PP_ex,SICI::Hydrodam_PP_ex::Power
SICI,Hydroror_PP_ex,SICI::Hydroror_PP_ex::Power
SICI,Oil_PP_ex,SICI::Oil_PP_ex::Power
SICI,PHS_PP_ex,SICI::PHS_PP_ex::Power
SICI,PV_PP_ex,SICI::PV_PP_ex::Power
SICI,PV_roof_ex,SICI::PV_roof_ex::Power
SICI,Trans:SUD,SICI::Trans:SUD::Power
SICI,Wind_PP_ex,SICI::Wind_PP_ex::Power
SICI,Wind_off_PP_4,SICI::Wind_off_PP_4::Power
SICI,demand_power,SICI::demand_power::Power
SUD,Bio_PP_ex,SUD::Bio_PP_ex::Power
SUD,CCGT_PP_ex,SUD::CCGT_PP_ex::Power
SUD,Coal_PP_ex,SUD::Coal_PP_ex::Power
SUD,Hydrodam_PP_ex,SUD::Hydrodam_PP_ex::Power
SUD,Hydroror_PP_ex,SUD::Hydroror_PP_ex::Power
SUD,Oil_PP_ex,SUD::Oil_PP_ex::Power
SUD,PV_PP_ex,SUD::PV_PP_ex::Power
SUD,PV_roof_ex,SUD::PV_roof_ex::Power
SUD,Trans:CSUD,SUD::Trans:CSUD::Power
SUD,Trans:SICI,SUD::Trans:SICI::Power
SUD,WTE_PP_ex,SUD::WTE_PP_ex::Power
SUD,Wind_PP_ex,SUD::Wind_PP_ex::Power
SUD,Wind_off_PP_3,SUD::Wind_off_PP_3::Power
SUD,Wind_off_PP_5,SUD::Wind_off_PP_5::Power
SUD,demand_power,SUD::demand_power::Power
