locs,techs,timesteps,resource
CNOR,Hydrodam_PP_ex,2019-04-01 00:00:00,0.817585689
CNOR,Hydrodam_PP_ex,2019-04-01 01:00:00,0.86275442
CNOR,Hydrodam_PP_ex,2019-04-01 02:00:00,0.894825746
CNOR,Hydrodam_PP_ex,2019-04-01 03:00:00,0.922569097
CNOR,Hydrodam_PP_ex,2019-04-01 04:00:00,0.947344487
CNOR,Hydrodam_PP_ex,2019-04-01 05:00:00,1.032736401
CNOR,Hydrodam_PP_ex,2019-04-01 06:00:00,0.965331969
CNOR,Hydrodam_PP_ex,2019-04-01 07:00:00,0.982233239
CNOR,Hydrodam_PP_ex,2019-04-01 08:00:00,0.950305074
CNOR,Hydrodam_PP_ex,2019-04-01 09:00:00,1.087244163
CNOR,Hydrodam_PP_ex,2019-04-01 10:00:00,1.079187438
CNOR,Hydrodam_PP_ex,2019-04-01 11:00:00,1.264044596
CNOR,Hydrodam_PP_ex,2019-04-01 12:00:00,1.163707862
CNOR,Hydrodam_PP_ex,2019-04-01 13:00:00,1.154121158
CNOR,Hydrodam_PP_ex,2019-04-01 14:00:00,1.075935774
CNOR,Hydrodam_PP_ex,2019-04-01 15:00:00,1.087360604
CNOR,Hydrodam_PP_ex,2019-04-01 16:00:00,0.969068787
CNOR,Hydrodam_PP_ex,2019-04-01 17:00:00,0.945519222
CNOR,Hydrodam_PP_ex,2019-04-01 18:00:00,0.886993452
CNOR,Hydrodam_PP_ex,2019-04-01 19:00:00,0.806533817
CNOR,Hydrodam_PP_ex,2019-04-01 20:00:00,0.803870235
CNOR,Hydrodam_PP_ex,2019-04-01 21:00:00,0.794433868
CNOR,Hydrodam_PP_ex,2019-04-01 22:00:00,0.79102265
CNOR,Hydrodam_PP_ex,2019-04-01 23:00:00,0.790912294
CNOR,Hydrodam_PP_ex,2019-04-02 00:00:00,0.798139108
CNOR,Hydrodam_PP_ex,2019-04-02 01:00:00,0.823480539
CNOR,Hydrodam_PP_ex,2019-04-02 02:00:00,0.836799689
CNOR,Hydrodam_PP_ex,2019-04-02 03:00:00,0.831383018
CNOR,Hydrodam_PP_ex,2019-04-02 04:00:00,0.829653864
CNOR,Hydrodam_PP_ex,2019-04-02 05:00:00,0.828580933
CNOR,Hydrodam_PP_ex,2019-04-02 06:00:00,0.820419112
CNOR,Hydrodam_PP_ex,2019-04-02 07:00:00,0.81727498
CNOR,Hydrodam_PP_ex,2019-04-02 08:00:00,0.820115696
CNOR,Hydrodam_PP_ex,2019-04-02 09:00:00,0.839352284
CNOR,Hydrodam_PP_ex,2019-04-02 10:00:00,0.866620683
