locs,techs,resource_eff
CNOR,Hydrodam_PP_ex,1.0
CNOR,Hydroror_PP_ex,1.0
CNOR,PV_PP_ex,1.0
CNOR,PV_roof_ex,1.0
CNOR,Wind_PP_ex,1.0
CSUD,Hydrodam_PP_ex,1.0
CSUD,Hydroror_PP_ex,1.0
CSUD,PHS_PP_ex,0.635
CSUD,PV_PP_ex,1.0
CSUD,PV_roof_ex,1.0
CSUD,Wind_PP_ex,1.0
NORD,Hydrodam_PP_ex,1.0
NORD,Hydroror_PP_ex,1.0
NORD,PHS_PP_ex,0.635
NORD,PV_PP_ex,1.0
NORD,PV_roof_ex,1.0
NORD,Wind_PP_ex,1.0
SARD,Hydrodam_PP_ex,1.0
SARD,Hydroror_PP_ex,1.0
SARD,PHS_PP_ex,0.635
SARD,PV_PP_ex,1.0
SARD,PV_roof_ex,1.0
SARD,Wind_PP_ex,1.0
SARD,Wind_off_PP_1,1.0
SARD,Wind_off_PP_2,1.0
SICI,Hydrodam_PP_ex,1.0
SICI,Hydroror_PP_ex,1.0
SICI,PHS_PP_ex,0.635
SICI,PV_PP_ex,1.0
SICI,PV_roof_ex,1.0
SICI,Wind_PP_ex,1.0
SICI,Wind_off_PP_4,1.0
SUD,Hydrodam_PP_ex,1.0
SUD,Hydroror_PP_ex,1.0
SUD,PV_PP_ex,1.0
SUD,PV_roof_ex,1.0
SUD,Wind_PP_ex,1.0
SUD,Wind_off_PP_3,1.0
SUD,Wind_off_PP_5,1.0
