locs,techs,timesteps,required_resource
CNOR,demand_power,2019-04-01 00:00:00,-2305152.25
CNOR,demand_power,2019-04-01 01:00:00,-2250101.75
CNOR,demand_power,2019-04-01 02:00:00,-2235495.75
CNOR,demand_power,2019-04-01 03:00:00,-2191490.25
CNOR,demand_power,2019-04-01 04:00:00,-2211958.5
CNOR,demand_power,2019-04-01 05:00:00,-2345200.5
CNOR,demand_power,2019-04-01 06:00:00,-2537346.0
CNOR,demand_power,2019-04-01 07:00:00,-2912242.0
CNOR,demand_power,2019-04-01 08:00:00,-3235953.25
CNOR,demand_power,2019-04-01 09:00:00,-3051191.25
CNOR,demand_power,2019-04-01 10:00:00,-2857346.5
CNOR,demand_power,2019-04-01 11:00:00,-2766288.5
CNOR,demand_power,2019-04-01 12:00:00,-2720939.5
CNOR,demand_power,2019-04-01 13:00:00,-2678179.0
CNOR,demand_power,2019-04-01 14:00:00,-2738123.25
CNOR,demand_power,2019-04-01 15:00:00,-2799714.25
CNOR,demand_power,2019-04-01 16:00:00,-2731040.0
CNOR,demand_power,2019-04-01 17:00:00,-2600355.5
CNOR,demand_power,2019-04-01 18:00:00,-2782845.25
CNOR,demand_power,2019-04-01 19:00:00,-2831160.25
CNOR,demand_power,2019-04-01 20:00:00,-2612167.5
CNOR,demand_power,2019-04-01 21:00:00,-2412060.5
CNOR,demand_power,2019-04-01 22:00:00,-2238476.0
CNOR,demand_power,2019-04-01 23:00:00,-2051895.25
CNOR,demand_power,2019-04-02 00:00:00,-1945142.25
CNOR,demand_power,2019-04-02 01:00:00,-1879028.25
CNOR,demand_power,2019-04-02 02:00:00,-1865929.0
CNOR,demand_power,2019-04-02 03:00:00,-1858223.5
CNOR,demand_power,2019-04-02 04:00:00,-1884364.25
CNOR,demand_power,2019-04-02 05:00:00,-1951711.5
CNOR,demand_power,2019-04-02 06:00:00,-2026660.5
CNOR,demand_power,2019-04-02 07:00:00,-2227296.5
CNOR,demand_power,2019-04-02 08:00:00,-2347538.5
CNOR,demand_power,2019-04-02 09:00:00,-2398344.25
CNOR,demand_power,2019-04-02 10:00:00,-2358236.5
CNOR,demand_power,2019-04-02 11:00:00,-2260107.25
CNOR,demand_power,2019-04-02 12:00:00,-2233253.25
CNOR,demand_power,2019-04-02 13:00:00,-2301664.0
CNOR,demand_power,2019-04-02 14:00:00,-2415792.0
CNOR,demand_power,2019-04-02 15:00:00,-2441791.75
CNOR,demand_power,2019-04-02 16:00:00,-2349586.0
CNOR,demand_power,2019-04-02 17:00:00,-2371784.75
CNOR,demand_power,2019-04-02 18:00:00,-2641879.25
CNOR,demand_power,2019-04-02 19:00:00,-2769645.25
CNOR,demand_power,2019-04-02 20:00:00,-2654392.0
CNOR,demand_power,2019-04-02 21:00:00,-2460512.25
CNOR,demand_power,2019-04-02 22:00:00,-2221130.25
CNOR,demand_power,2019-04-02 23:00:00,-2041984.25
CNOR,demand_power,2019-04-03 00:00:00,-2041152.75
CNOR,demand_power,2019-04-03 01:00:00,-2011712.0
CNOR,demand_power,2019-04-03 02:00:00,-2076436.75
CNOR,demand_power,2019-04-03 03:00:00,-2176713.25
CNOR,demand_power,2019-04-03 04:00:00,-2351582.5
CNOR,demand_power,2019-04-03 05:00:00,-2813663.25
CNOR,demand_power,2019-04-03 06:00:00,-3307697.0
CNOR,demand_power,2019-04-03 07:00:00,-3964246.0
CNOR,demand_power,2019-04-03 08:00:00,-4258293.75
CNOR,demand_power,2019-04-03 09:00:00,-4253722.25
CNOR,demand_power,2019-04-03 10:00:00,-4113771.75
CNOR,demand_power,2019-04-03 11:00:00,-3846258.25
CNOR,demand_power,2019-04-03 12:00:00,-3737290.0
CNOR,demand_power,2019-04-03 13:00:00,-3861386.75
CNOR,demand_power,2019-04-03 14:00:00,-3875241.25
CNOR,demand_power,2019-04-03 15:00:00,-3822078.5
CNOR,demand_power,2019-04-03 16:00:00,-3665631.0
CNOR,demand_power,2019-04-03 17:00:00,-3499464.25
CNOR,demand_power,2019-04-03 18:00:00,-3501849.75
CNOR,demand_power,2019-04-03 19:00:00,-3548855.75
CNOR,demand_power,2019-04-03 20:00:00,-3291969.0
CNOR,demand_power,2019-04-03 21:00:00,-2980222.25
