locs,techs,timesteps,resource_con
CNOR,Hydrodam_PP_ex,2019-04-01 00:00:00,645892.6943099999
CNOR,Hydrodam_PP_ex,2019-04-01 01:00:00,681575.9918
CNOR,Hydrodam_PP_ex,2019-04-01 02:00:00,706912.33934
CNOR,Hydrodam_PP_ex,2019-04-01 03:00:00,728829.58663
CNOR,Hydrodam_PP_ex,2019-04-01 04:00:00,748402.1447299999
CNOR,Hydrodam_PP_ex,2019-04-01 05:00:00,790000.0
CNOR,Hydrodam_PP_ex,2019-04-01 06:00:00,762612.2555099999
CNOR,Hydrodam_PP_ex,2019-04-01 07:00:00,775964.25881
CNOR,Hydrodam_PP_ex,2019-04-01 08:00:00,750741.0084599999
CNOR,Hydrodam_PP_ex,2019-04-01 09:00:00,790000.0
CNOR,Hydrodam_PP_ex,2019-04-01 10:00:00,790000.0
CNOR,Hydrodam_PP_ex,2019-04-01 11:00:00,790000.0
CNOR,Hydrodam_PP_ex,2019-04-01 12:00:00,790000.0
CNOR,Hydrodam_PP_ex,2019-04-01 13:00:00,790000.0
CNOR,Hydrodam_PP_ex,2019-04-01 14:00:00,790000.0
CNOR,Hydrodam_PP_ex,2019-04-01 15:00:00,790000.0
CNOR,Hydrodam_PP_ex,2019-04-01 16:00:00,765564.34173
CNOR,Hydrodam_PP_ex,2019-04-01 17:00:00,746960.18538
CNOR,Hydrodam_PP_ex,2019-04-01 18:00:00,700724.82708
CNOR,Hydrodam_PP_ex,2019-04-01 19:00:00,637161.71543
CNOR,Hydrodam_PP_ex,2019-04-01 20:00:00,635057.48565
CNOR,Hydrodam_PP_ex,2019-04-01 21:00:00,627602.75572
CNOR,Hydrodam_PP_ex,2019-04-01 22:00:00,624907.8935
CNOR,Hydrodam_PP_ex,2019-04-01 23:00:00,624820.71226
CNOR,Hydrodam_PP_ex,2019-04-02 00:00:00,630529.89532
CNOR,Hydrodam_PP_ex,2019-04-02 01:00:00,650549.62581
CNOR,Hydrodam_PP_ex,2019-04-02 02:00:00,661071.75431
CNOR,Hydrodam_PP_ex,2019-04-02 03:00:00,656792.5842200001
CNOR,Hydrodam_PP_ex,2019-04-02 04:00:00,655426.55256
CNOR,Hydrodam_PP_ex,2019-04-02 05:00:00,654578.93707
CNOR,Hydrodam_PP_ex,2019-04-02 06:00:00,648131.0984799999
CNOR,Hydrodam_PP_ex,2019-04-02 07:00:00,645647.2342
CNOR,Hydrodam_PP_ex,2019-04-02 08:00:00,647891.39984
CNOR,Hydrodam_PP_ex,2019-04-02 09:00:00,663088.30436
CNOR,Hydrodam_PP_ex,2019-04-02 10:00:00,684630.33957
CNOR,Hydrodam_PP_ex,2019-04-02 11:00:00,698535.17381
CNOR,Hydrodam_PP_ex,2019-04-02 12:00:00,716715.16652
CNOR,Hydrodam_PP_ex,2019-04-02 13:00:00,715773.62635
CNOR,Hydrodam_PP_ex,2019-04-02 14:00:00,717247.32711
CNOR,Hydrodam_PP_ex,2019-04-02 15:00:00,688309.7053200001
CNOR,Hydrodam_PP_ex,2019-04-02 16:00:00,689357.4325499999
CNOR,Hydrodam_PP_ex,2019-04-02 17:00:00,677069.44075
CNOR,Hydrodam_PP_ex,2019-04-02 18:00:00,633698.45655
CNOR,Hydrodam_PP_ex,2019-04-02 19:00:00,622251.0919
CNOR,Hydrodam_PP_ex,2019-04-02 20:00:00,613484.79844
CNOR,Hydrodam_PP_ex,2019-04-02 21:00:00,612690.82237
CNOR,Hydrodam_PP_ex,2019-04-02 22:00:00,630741.74725
CNOR,Hydrodam_PP_ex,2019-04-02 23:00:00,617806.70595
CNOR,Hydrodam_PP_ex,2019-04-03 00:00:00,624181.45058
CNOR,Hydrodam_PP_ex,2019-04-03 01:00:00,632069.96082
CNOR,Hydrodam_PP_ex,2019-04-03 02:00:00,631472.4143000001
CNOR,Hydrodam_PP_ex,2019-04-03 03:00:00,660231.7054399999
CNOR,Hydrodam_PP_ex,2019-04-03 04:00:00,636759.49641
CNOR,Hydrodam_PP_ex,2019-04-03 05:00:00,628273.03596
CNOR,Hydrodam_PP_ex,2019-04-03 06:00:00,639356.9619
CNOR,Hydrodam_PP_ex,2019-04-03 07:00:00,647938.02643
CNOR,Hydrodam_PP_ex,2019-04-03 08:00:00,656186.68029
CNOR,Hydrodam_PP_ex,2019-04-03 09:00:00,655438.91606
CNOR,Hydrodam_PP_ex,2019-04-03 10:00:00,690576.0012299999
CNOR,Hydrodam_PP_ex,2019-04-03 11:00:00,700837.71334
CNOR,Hydrodam_PP_ex,2019-04-03 12:00:00,702718.52006
CNOR,Hydrodam_PP_ex,2019-04-03 13:00:00,702868.38148
CNOR,Hydrodam_PP_ex,2019-04-03 14:00:00,686117.87876
CNOR,Hydrodam_PP_ex,2019-04-03 15:00:00,686291.88021
CNOR,Hydrodam_PP_ex,2019-04-03 16:00:00,669958.85852
CNOR,Hydrodam_PP_ex,2019-04-03 17:00:00,652447.78804
CNOR,Hydrodam_PP_ex,2019-04-03 18:00:00,625156.47095
CNOR,Hydrodam_PP_ex,2019-04-03 19:00:00,616657.76313
CNOR,Hydrodam_PP_ex,2019-04-03 20:00:00,609338.04736
CNOR,Hydrodam_PP_ex,2019-04-03 21:00:00,608703.57703
CNOR,Hydrodam_PP_ex,2019-04-03 22:00:00,607123.96887
CNOR,Hydrodam_PP_ex,2019-04-03 23:00:00,608588.30181
CNOR,Hydroror_PP_ex,2019-04-01 00:00:00,215062.22751
CNOR,Hydroror_PP_ex,2019-04-01 01:00:00,216765.31946
CNOR,Hydroror_PP_ex,2019-04-01 02:00:00,216896.02352
CNOR,Hydroror_PP_ex,2019-04-01 03:00:00,220996.90936
CNOR,Hydroror_PP_ex,2019-04-01 04:00:00,225683.24725000001
CNOR,Hydroror_PP_ex,2019-04-01 05:00:00,226747.34798
CNOR,Hydroror_PP_ex,2019-04-01 06:00:00,226777.62227
CNOR,Hydroror_PP_ex,2019-04-01 07:00:00,226503.0965
CNOR,Hydroror_PP_ex,2019-04-01 08:00:00,226391.4438
CNOR,Hydroror_PP_ex,2019-04-01 09:00:00,226831.13013
CNOR,Hydroror_PP_ex,2019-04-01 10:00:00,235086.89513
CNOR,Hydroror_PP_ex,2019-04-01 11:00:00,248432.63972
CNOR,Hydroror_PP_ex,2019-04-01 12:00:00,270115.9177
CNOR,Hydroror_PP_ex,2019-04-01 13:00:00,287046.25925
CNOR,Hydroror_PP_ex,2019-04-01 14:00:00,281243.40025
CNOR,Hydroror_PP_ex,2019-04-01 15:00:00,249048.58926
CNOR,Hydroror_PP_ex,2019-04-01 16:00:00,243953.0399
CNOR,Hydroror_PP_ex,2019-04-01 17:00:00,229270.65653
CNOR,Hydroror_PP_ex,2019-04-01 18:00:00,226921.23721
CNOR,Hydroror_PP_ex,2019-04-01 19:00:00,215424.50281
CNOR,Hydroror_PP_ex,2019-04-01 20:00:00,217012.22547
CNOR,Hydroror_PP_ex,2019-04-01 21:00:00,216264.21964999998
CNOR,Hydroror_PP_ex,2019-04-01 22:00:00,214349.37165999998
CNOR,Hydroror_PP_ex,2019-04-01 23:00:00,211797.71516
CNOR,Hydroror_PP_ex,2019-04-02 00:00:00,211041.22743
CNOR,Hydroror_PP_ex,2019-04-02 01:00:00,210311.05684
CNOR,Hydroror_PP_ex,2019-04-02 02:00:00,211202.98233
CNOR,Hydroror_PP_ex,2019-04-02 03:00:00,211620.58674
CNOR,Hydroror_PP_ex,2019-04-02 04:00:00,209425.10288000002
CNOR,Hydroror_PP_ex,2019-04-02 05:00:00,207932.04833
CNOR,Hydroror_PP_ex,2019-04-02 06:00:00,207815.49297999998
CNOR,Hydroror_PP_ex,2019-04-02 07:00:00,207875.82673
CNOR,Hydroror_PP_ex,2019-04-02 08:00:00,209895.77836
CNOR,Hydroror_PP_ex,2019-04-02 09:00:00,217058.063
CNOR,Hydroror_PP_ex,2019-04-02 10:00:00,226621.04995
CNOR,Hydroror_PP_ex,2019-04-02 11:00:00,227832.80864
CNOR,Hydroror_PP_ex,2019-04-02 12:00:00,228237.79357
CNOR,Hydroror_PP_ex,2019-04-02 13:00:00,229539.22595999998
CNOR,Hydroror_PP_ex,2019-04-02 14:00:00,243298.41569000002
CNOR,Hydroror_PP_ex,2019-04-02 15:00:00,228649.21255
CNOR,Hydroror_PP_ex,2019-04-02 16:00:00,224578.59108
CNOR,Hydroror_PP_ex,2019-04-02 17:00:00,214802.4317
CNOR,Hydroror_PP_ex,2019-04-02 18:00:00,206932.19603
CNOR,Hydroror_PP_ex,2019-04-02 19:00:00,207333.82179999998
CNOR,Hydroror_PP_ex,2019-04-02 20:00:00,206907.01008
CNOR,Hydroror_PP_ex,2019-04-02 21:00:00,206452.17281000002
CNOR,Hydroror_PP_ex,2019-04-02 22:00:00,206072.42467
CNOR,Hydroror_PP_ex,2019-04-02 23:00:00,205696.59988999998
CNOR,Hydroror_PP_ex,2019-04-03 00:00:00,206427.9801
CNOR,Hydroror_PP_ex,2019-04-03 01:00:00,207505.75524
CNOR,Hydroror_PP_ex,2019-04-03 02:00:00,206863.29946
CNOR,Hydroror_PP_ex,2019-04-03 03:00:00,213639.21405
CNOR,Hydroror_PP_ex,2019-04-03 04:00:00,208167.28718
CNOR,Hydroror_PP_ex,2019-04-03 05:00:00,206123.44757
CNOR,Hydroror_PP_ex,2019-04-03 06:00:00,209131.54776
CNOR,Hydroror_PP_ex,2019-04-03 07:00:00,211277.93413
CNOR,Hydroror_PP_ex,2019-04-03 08:00:00,213542.10066
CNOR,Hydroror_PP_ex,2019-04-03 09:00:00,214077.09122
CNOR,Hydroror_PP_ex,2019-04-03 10:00:00,219851.58274
CNOR,Hydroror_PP_ex,2019-04-03 11:00:00,219764.7195
CNOR,Hydroror_PP_ex,2019-04-03 12:00:00,219605.23348999998
CNOR,Hydroror_PP_ex,2019-04-03 13:00:00,219565.86752000003
CNOR,Hydroror_PP_ex,2019-04-03 14:00:00,219648.0262
CNOR,Hydroror_PP_ex,2019-04-03 15:00:00,219589.00902
CNOR,Hydroror_PP_ex,2019-04-03 16:00:00,218584.08078
CNOR,Hydroror_PP_ex,2019-04-03 17:00:00,213593.98939
CNOR,Hydroror_PP_ex,2019-04-03 18:00:00,207065.32491
CNOR,Hydroror_PP_ex,2019-04-03 19:00:00,205132.19808
CNOR,Hydroror_PP_ex,2019-04-03 20:00:00,203602.36823000002
CNOR,Hydroror_PP_ex,2019-04-03 21:00:00,203921.98784000002
CNOR,Hydroror_PP_ex,2019-04-03 22:00:00,203061.2437
CNOR,Hydroror_PP_ex,2019-04-03 23:00:00,203446.75567
CNOR,PV_PP_ex,2019-04-01 00:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 01:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 02:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 03:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 04:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 05:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 06:00:00,52946.0
CNOR,PV_PP_ex,2019-04-01 07:00:00,293505.0
CNOR,PV_PP_ex,2019-04-01 08:00:00,540970.0
CNOR,PV_PP_ex,2019-04-01 09:00:00,725130.0
CNOR,PV_PP_ex,2019-04-01 10:00:00,841381.0
CNOR,PV_PP_ex,2019-04-01 11:00:00,872458.0
CNOR,PV_PP_ex,2019-04-01 12:00:00,842532.0
CNOR,PV_PP_ex,2019-04-01 13:00:00,767717.0
CNOR,PV_PP_ex,2019-04-01 14:00:00,623842.0
CNOR,PV_PP_ex,2019-04-01 15:00:00,417813.0
CNOR,PV_PP_ex,2019-04-01 16:00:00,225596.0
CNOR,PV_PP_ex,2019-04-01 17:00:00,78268.0
CNOR,PV_PP_ex,2019-04-01 18:00:00,1151.0
CNOR,PV_PP_ex,2019-04-01 19:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 20:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 21:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 22:00:00,0.0
CNOR,PV_PP_ex,2019-04-01 23:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 00:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 01:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 02:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 03:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 04:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 05:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 06:00:00,26473.0
CNOR,PV_PP_ex,2019-04-02 07:00:00,112798.0
CNOR,PV_PP_ex,2019-04-02 08:00:00,214086.0
CNOR,PV_PP_ex,2019-04-02 09:00:00,302713.0
CNOR,PV_PP_ex,2019-04-02 10:00:00,356810.0
CNOR,PV_PP_ex,2019-04-02 11:00:00,402850.0
CNOR,PV_PP_ex,2019-04-02 12:00:00,404001.0
CNOR,PV_PP_ex,2019-04-02 13:00:00,340696.0
CNOR,PV_PP_ex,2019-04-02 14:00:00,261277.0
CNOR,PV_PP_ex,2019-04-02 15:00:00,184160.0
CNOR,PV_PP_ex,2019-04-02 16:00:00,109345.0
CNOR,PV_PP_ex,2019-04-02 17:00:00,40285.00000000001
CNOR,PV_PP_ex,2019-04-02 18:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 19:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 20:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 21:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 22:00:00,0.0
CNOR,PV_PP_ex,2019-04-02 23:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 00:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 01:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 02:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 03:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 04:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 05:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 06:00:00,14963.0
CNOR,PV_PP_ex,2019-04-03 07:00:00,165744.0
CNOR,PV_PP_ex,2019-04-03 08:00:00,501836.0
CNOR,PV_PP_ex,2019-04-03 09:00:00,704412.0
CNOR,PV_PP_ex,2019-04-03 10:00:00,819512.0
CNOR,PV_PP_ex,2019-04-03 11:00:00,856344.0
CNOR,PV_PP_ex,2019-04-03 12:00:00,675637.0
CNOR,PV_PP_ex,2019-04-03 13:00:00,608879.0
CNOR,PV_PP_ex,2019-04-03 14:00:00,596218.0
CNOR,PV_PP_ex,2019-04-03 15:00:00,453494.0
CNOR,PV_PP_ex,2019-04-03 16:00:00,279693.0
CNOR,PV_PP_ex,2019-04-03 17:00:00,73664.0
CNOR,PV_PP_ex,2019-04-03 18:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 19:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 20:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 21:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 22:00:00,0.0
CNOR,PV_PP_ex,2019-04-03 23:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 00:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 01:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 02:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 03:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 04:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 05:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 06:00:00,75900.0
CNOR,PV_roof_ex,2019-04-01 07:00:00,420750.0
CNOR,PV_roof_ex,2019-04-01 08:00:00,775500.0
CNOR,PV_roof_ex,2019-04-01 09:00:00,1039500.0
CNOR,PV_roof_ex,2019-04-01 10:00:00,1206150.0
CNOR,PV_roof_ex,2019-04-01 11:00:00,1250700.0
CNOR,PV_roof_ex,2019-04-01 12:00:00,1207800.0
CNOR,PV_roof_ex,2019-04-01 13:00:00,1100550.0
CNOR,PV_roof_ex,2019-04-01 14:00:00,894300.0000000001
CNOR,PV_roof_ex,2019-04-01 15:00:00,598950.0
CNOR,PV_roof_ex,2019-04-01 16:00:00,323400.0
CNOR,PV_roof_ex,2019-04-01 17:00:00,112200.00000000001
CNOR,PV_roof_ex,2019-04-01 18:00:00,1650.0
CNOR,PV_roof_ex,2019-04-01 19:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 20:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 21:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 22:00:00,0.0
CNOR,PV_roof_ex,2019-04-01 23:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 00:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 01:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 02:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 03:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 04:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 05:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 06:00:00,37950.0
CNOR,PV_roof_ex,2019-04-02 07:00:00,161700.0
CNOR,PV_roof_ex,2019-04-02 08:00:00,306900.0
CNOR,PV_roof_ex,2019-04-02 09:00:00,433950.0
CNOR,PV_roof_ex,2019-04-02 10:00:00,511500.0
CNOR,PV_roof_ex,2019-04-02 11:00:00,577500.0
CNOR,PV_roof_ex,2019-04-02 12:00:00,579150.0
CNOR,PV_roof_ex,2019-04-02 13:00:00,488400.0
CNOR,PV_roof_ex,2019-04-02 14:00:00,374550.0
CNOR,PV_roof_ex,2019-04-02 15:00:00,264000.0
CNOR,PV_roof_ex,2019-04-02 16:00:00,156750.0
CNOR,PV_roof_ex,2019-04-02 17:00:00,57750.00000000001
CNOR,PV_roof_ex,2019-04-02 18:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 19:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 20:00:00,0.0
CNOR,PV_roof_ex,2019-04-02 21:00:00,0.0
