carriers,techs,systemwide_capacity_factor
Power,Bio_PP_ex,0.0
Power,CCGT_PP_ex,0.22053017991191362
Power,Coal_PP_ex,0.23505792067431125
Power,Geo_PP_ex,1.0
Power,Hydrodam_PP_ex,0.3571871409726739
Power,Hydroror_PP_ex,0.45286500919647565
Power,Oil_PP_ex,0.34795364065262985
Power,PHS_PP_ex,9.624869686884346e-08
Power,PV_PP_ex,0.17638490691741587
Power,PV_roof_ex,0.17431173803151948
Power,Trans:CNOR,0.010682702954206922
Power,Trans:CSUD,0.0
Power,Trans:NORD,0.0
Power,Trans:SARD,0.02604378008114007
Power,Trans:SICI,0.0
Power,Trans:SUD,0.033379271075534324
Power,USC_PP_ex,0.996941090375737
Power,WTE_PP_ex,1.0
Power,Wind_PP_ex,0.10769040034388215
Power,Wind_off_PP_1,0.14905555555555555
Power,Wind_off_PP_2,0.22858333333333333
Power,Wind_off_PP_3,0.20693055555555556
Power,Wind_off_PP_4,0.30041666666666667
Power,Wind_off_PP_5,0.2705416666666667
